original_ID,ndimage_ID
799,798
1305,1304
683,683
428,427
816,815
1519,1518
1291,1290
1670,1669
528,529
1044,1043
2517,2515
1173,1172
334,333
628,627
862,862
487,486
444,443
1399,1398
523,522
2236,2235
373,372
1892,1891
807,806
983,982
609,608
1939,1938
1457,1457
498,496
1077,1078
1090,1088
1952,1950
385,386
2308,2307
1599,1598
435,434
542,541
1293,1293
1825,1824
1918,1917
2364,2364
456,455
1605,1604
1843,1842
2462,2461
464,463
1459,1456
1946,1945
1922,1918
2223,2222
863,861
1735,1734
1213,1212
1606,1605
1103,1102
2416,2416
887,887
1917,1916
941,941
188,188
554,553
1809,1808
936,935
1118,1117
2262,2261
378,377
1382,1380
549,548
553,552
860,859
2283,2282
1480,1479
494,493
2041,2041
1437,1436
1351,1350
731,730
784,783
1355,1354
1238,1238
438,437
2507,2506
2355,2354
2419,2418
1205,1203
423,422
817,816
1348,1347
1296,1295
1876,1875
1904,1903
573,572
1191,1190
1905,1904
1673,1673
788,787
858,857
1309,1308
2524,2523
