,PCA01 (55.60),PCA02 (19.22),PCA03 (9.02),PCA04 (4.79),PCA05 (2.47),PCA06 (1.90),PCA07 (1.48),PCA08 (1.28),PCA09 (0.81),PCA10 (0.67),PCA11 (0.54),PCA12 (0.37),gene_ID,ndimage_ID
0,1.0515226,-1.8100749,-0.51596683,0.46220618,0.020929925,0.08268268,-0.07504161,0.040746376,0.32755056,-0.015257773,-0.15836829,0.14845745,85,742
1,5.2298923,-0.36936274,3.736012,-1.2572242,0.08137567,-0.22615089,0.1066501,-0.091044635,-0.50879806,0.18617064,0.50533897,-0.34087813,85,842
2,5.1436205,-2.5043802,1.9486519,-0.43834195,0.10332095,0.5027256,-0.39211446,0.074001305,-0.15757726,0.037111234,0.045762558,-0.3575776,85,2052
3,2.6592667,-2.2703276,-0.99855554,0.4234503,0.38035265,-0.120620005,-0.055359926,0.31455848,0.03962801,0.19551536,-0.42059413,-0.18447453,85,1145
4,4.1665525,-1.6848773,1.0500928,-0.6822275,-0.14905424,0.5143317,-0.42039037,0.17692018,-0.07765453,-0.0050281724,0.06460397,-0.119769774,85,896
5,6.1487603,-3.16093,1.2229214,-0.2235953,-0.13807352,0.6261786,-0.67450136,-0.0018440112,-0.10711819,0.099947445,-0.034012172,-0.18918054,85,2152
6,0.9863021,-1.2896345,0.37673196,-0.22455476,0.17727078,0.4466958,-0.09849684,0.39729372,0.30550376,-0.33837903,-0.14836119,0.10099525,85,558
7,3.1308334,2.4320421,4.7404747,-0.51798415,0.19696923,-2.362596,2.475607,-0.7316558,0.9273434,0.2336555,-0.29832298,0.59476745,85,751
8,2.8577435,0.4875381,2.9550989,-1.176667,0.0763668,-0.4398285,0.54880106,0.15296976,-0.19579653,-0.11067593,0.23190671,-0.1304656,85,746
9,5.896743,-2.2065403,2.4813142,-0.7648146,0.03541711,0.47778836,-0.46484634,-0.09831063,-0.3681532,0.2551193,0.10357842,-0.47148016,85,236
10,1.6160645,-2.497186,-0.7349844,0.98403865,0.21202078,-0.18400966,-0.11373758,0.13081388,0.1961707,-0.013042466,-0.2665599,0.16498588,85,810
11,7.5173707,-3.6091633,0.8964943,-0.13925609,-0.51999557,0.70137256,-1.0152961,-0.42900908,-0.21643679,0.5677793,-0.03872461,-0.41026875,85,1526
12,7.3750257,-4.5290036,0.97107655,0.4528445,0.1126754,0.5756726,-0.81279826,0.00017049906,-0.02352109,0.23160504,-0.16174912,-0.21412855,85,2064
13,3.740641,-2.0522115,0.35166657,-0.19181284,0.47365618,0.37384927,-0.57318425,0.5494591,-0.085712574,0.08673405,-0.40041032,-0.18336147,85,1980
14,1.3936715,0.38373932,1.5991738,-0.8777643,0.74203044,-0.24300808,0.35018155,0.26267135,-0.08372844,0.14252172,0.0442649,-0.043177336,85,1775
15,1.9371389,1.5682043,3.309072,-0.5924025,0.70274216,-1.259038,1.4537151,-0.63666373,0.4428184,0.16605994,-0.26637807,0.46158785,85,302
16,1.3457261,-1.6654058,-0.6420274,0.20652442,-0.2776502,0.23038103,-0.07439533,-0.21936947,0.40878353,0.1462259,-0.03652735,0.10349463,85,1645
17,3.2955494,-3.2169464,-1.3915555,1.0261257,-0.19439095,-0.14817084,-0.06878774,-0.2212515,0.30389988,0.19169007,-0.13397469,0.1484063,85,1323
18,3.2196834,-2.1874113,-0.22769092,-0.009579804,-0.18103041,0.37750688,-0.3635071,-0.020553952,0.094785884,0.17363225,-0.18483621,-0.18162192,85,2156
19,1.8175795,-1.3089523,0.5899494,-0.44013065,-0.12303511,0.57815593,-0.23335442,0.046775535,0.24294773,-0.042671524,-0.009982254,-0.074075155,85,2308
20,1.254534,0.478421,2.1761162,-1.1835067,0.27702892,-0.30696583,0.94273156,0.19746391,0.037712563,-0.22739524,0.1697216,0.067334905,85,618
21,0.9933345,1.372226,2.4198315,-0.90746677,0.43552557,-0.9608714,1.3556199,-0.17975451,0.34004727,0.15928876,-0.26211938,0.18093726,85,325
22,1.9963758,-1.6017401,0.23105243,-0.20972095,-0.1162078,0.4567029,-0.18507695,0.08242556,0.26454347,-0.10411976,-0.056935288,0.03492073,85,2108
23,5.173916,-4.0080595,-1.1411481,0.95361733,-0.22265258,0.09463167,-0.30920455,-0.275547,0.2911591,0.3481722,-0.16183195,0.02899226,85,1964
24,4.5090585,-1.7138095,2.0654085,-0.7644143,0.2770484,0.29219717,-0.060858708,0.09124453,-0.20559855,0.12568411,0.14574666,-0.41167572,85,611
25,0.5770333,-1.4393654,-0.0043001003,0.22492173,0.11693958,0.24381538,-0.1552698,0.15789239,0.33126217,-0.122442685,-0.14807282,0.19597755,85,1641
26,5.5487623,-4.417837,0.42954433,0.85346246,0.6265237,0.35249498,-0.4787625,0.5624074,0.2334366,-0.24579392,-0.36631337,0.13560173,85,2056
27,2.179173,-1.8139833,0.5694994,-0.2008144,0.12395179,0.55694747,-0.26120934,0.25601083,0.27958244,-0.15450609,-0.12740389,-0.0055356063,85,598
28,3.2628326,-2.6861537,0.51181513,0.16998605,0.19758277,0.53663665,-0.3783113,0.23068053,0.3241952,-0.12351985,-0.147979,0.09772128,85,813
29,4.668093,-1.1993393,3.1082802,-1.0047756,0.33346817,-0.1346909,0.5440832,0.39567807,-0.19631673,-0.4495354,0.4293492,0.21947795,85,1862
30,2.0135093,-1.4937532,0.5298633,-0.28208885,-0.16744363,0.50388134,-0.25751927,-0.03176093,0.22058275,-0.010550476,0.023102023,-0.028293226,85,1060
31,3.5527728,-3.0458043,-0.016507644,0.50479424,0.13461255,0.35816127,-0.40330568,0.2026167,0.28111917,-0.10247395,-0.22060722,0.17223778,85,1614
32,4.9201736,0.0024789749,3.9303555,-1.0957651,0.2124402,-0.5188364,0.24984635,-0.04034118,-0.41651714,0.12803164,0.26746774,-0.3277292,85,797
33,0.52470523,-1.7715712,-1.5320598,0.99519455,-0.014469779,-0.8925864,0.6179795,0.022291275,-0.18151602,-0.19002773,0.14339836,-0.011497647,85,1394
34,1.775279,-1.5058198,-0.3718456,-0.09795579,0.13438916,0.24940504,-0.17854626,0.29318658,0.09888582,0.030620907,-0.35587552,-0.16611406,85,954
35,2.0985746,-0.028564021,2.4914925,-1.1581954,0.37756675,-0.09717129,0.6705706,0.15530722,-0.036479466,-0.104504354,0.14706685,-0.11591706,85,227
36,4.1973104,-4.2918553,-1.7386943,1.7318002,0.1605717,-0.5515469,0.05983743,0.03488581,0.2018558,0.024803208,-0.2505915,0.23798612,85,1021
37,4.4849744,-1.1553586,3.0052633,-1.2047436,0.15653276,0.28743464,0.15051094,0.21044771,-0.23106395,-0.24098179,0.3810815,-0.102748595,85,1434
38,3.2236443,-2.8690338,-0.14930198,0.4788865,0.15404177,0.3229168,-0.36041138,0.2045883,0.2616014,-0.03233193,-0.29304585,0.030751346,85,671
39,6.3192606,-1.7496536,3.6990497,-1.037845,-0.4240427,0.19603655,-0.0256272,-0.37522742,-0.44485602,-0.078748524,0.63858855,-0.16819653,85,1796
40,3.7194042,-3.9484737,-1.3994089,1.5137823,0.19755778,-0.39644554,0.03361218,0.11471388,0.28191835,-0.096737444,-0.22231628,0.3297875,85,1859
41,3.4370377,-2.0073817,0.66594046,-0.49034327,-0.26942846,0.6906693,-0.19889426,-0.05827145,0.34569204,-0.095286325,0.14547163,0.042874478,85,387
42,2.8604836,-2.0318265,-0.49288934,-0.010822476,-0.5406895,0.45385203,-0.3307762,-0.37014028,0.3102311,0.2728434,-0.0058036847,0.0055792723,85,1827
43,6.938453,-3.0558367,3.3392234,-0.65268356,0.34510028,0.5049487,-0.21760644,0.226023,-0.22790611,-0.22655466,0.29136065,-0.19542079,85,2010
44,0.97096795,0.5891801,1.4957418,-1.0933887,-0.28810284,-0.09415637,0.4312937,-0.0049258657,-0.050400864,-0.08490106,0.085726924,-0.19011334,85,1146
45,10.687259,-3.794584,4.8902283,-0.9953804,0.17585966,0.3272222,-0.04948116,-0.13737461,-0.43328792,-0.026239442,0.7512931,-0.0043673147,85,1722
46,5.9656506,-1.7082648,3.6617231,-1.1471379,-0.118564054,0.29898286,0.060358454,-0.2818514,-0.35465878,0.054528892,0.5027461,-0.38605398,85,2037
47,0.35778266,-1.246269,-0.20099676,0.160131,0.031828303,0.18964191,-0.06367799,0.14208746,0.30591705,-0.14588176,-0.13904788,0.14802326,85,1880
48,1.761698,-0.70728445,1.4524567,-0.8872518,0.2079822,0.39618838,0.08422582,0.34166774,0.009668359,-0.23481992,0.057234813,-0.17207636,85,1587
49,3.6952353,-3.3053067,-0.2850348,0.74692,0.27137434,0.11273565,-0.2612377,0.29857382,0.16972154,-0.124295644,-0.27854493,0.069220126,85,2146
50,3.4014008,-3.8638418,-1.5502208,1.6875995,0.189062,-0.54789454,-0.012888547,0.007802027,0.15120587,0.093297385,-0.2683599,0.2007171,85,1193
51,0.09122306,-0.3619826,0.06768761,-0.6060829,0.19504523,0.37597743,-0.010614987,0.44839558,0.1723341,-0.14471988,-0.263553,-0.16374958,85,1159
52,3.421444,-2.1280475,0.080809236,-0.17745195,-0.1454457,0.52791345,-0.46829227,0.013876878,0.11903186,0.21443725,-0.2078303,-0.22214976,85,1041
53,2.5778544,-3.2978873,-1.3415341,1.4600402,0.21522005,-0.54800624,0.09078785,0.10569848,0.104848266,-0.058921706,-0.20445538,0.20504177,85,1751
54,7.7563343,-4.5893197,2.082619,0.19659054,0.5242924,0.586872,-0.578101,0.35315356,-0.08716381,-0.14023022,0.03851957,-0.13053344,85,556
55,5.0739064,-0.40276328,3.8085957,-1.2908081,-0.3517707,-0.2605885,0.41938615,-0.46581298,-0.44122243,0.20032239,0.37364024,-0.49454665,85,1619
56,3.059359,-2.3382435,-0.34845105,0.08214285,-0.24751666,0.37970755,-0.15585642,-0.08881669,0.3543267,0.0346546,-0.013913389,0.058102343,85,1379
57,0.89328635,-1.7140146,-0.5172297,0.45667905,0.029821016,0.038043607,-0.05534196,0.08137384,0.2704319,-0.06734249,-0.1658605,0.13917536,85,1708
58,2.3654385,-2.4202619,0.34526974,0.32108185,0.3433105,0.3072331,-0.20669584,0.41359138,0.27563435,-0.31765202,-0.19842012,0.19649614,85,1065
59,4.135363,-3.8120756,-0.38056043,1.0277053,0.3220985,0.13892193,-0.38856566,0.24068347,0.2715472,-0.025276609,-0.34429154,0.13788,85,1027
60,2.276803,-1.5429637,-0.24447013,0.62234986,1.6362262,0.044587776,-0.60228103,0.30448952,0.06360118,0.2589753,-0.5322206,0.1801846,85,1303
61,4.2948318,-3.133426,0.43520302,0.24688831,0.2093853,0.48706573,-0.44900486,0.24306697,0.18960918,-0.034564752,-0.22755204,-0.05601981,85,750
62,3.943393,-1.5741483,2.2111988,-0.8459969,0.030461457,0.4822718,-0.07058307,0.044342376,-0.06042791,-0.069633685,0.22880284,-0.22702467,85,662
63,2.0297036,-2.724767,-0.7327059,1.0279895,0.20254944,-0.17036489,-0.14243217,0.09974535,0.1937884,0.01925696,-0.25186872,0.15275955,85,1802
64,6.214583,-1.4133799,3.649995,-1.1360207,0.14945509,0.13871904,-0.18080993,0.14445403,-0.50729966,-0.024437932,0.39286333,-0.30271256,85,931
65,4.0825562,-2.1212282,1.3661574,0.14482632,1.6746275,0.43291232,-0.6041453,0.18130106,0.01406964,0.11331377,-0.31000346,0.28313255,85,512
66,5.6746345,-2.2419498,2.696944,-0.8809783,0.02589803,0.5960876,-0.2703681,0.03743254,-0.17221338,-0.07759665,0.28752437,-0.1760442,85,2119
67,4.61872,-2.5121434,1.6200022,-0.34491995,0.14044777,0.5039531,-0.2963236,0.20828292,-0.016378852,-0.15108193,0.0730945,-0.108921245,85,2323
68,6.265849,-2.2412984,3.549,-0.84725296,-0.12599261,0.36059976,-0.15197724,0.021664783,-0.31533387,-0.4040678,0.6330148,0.19764763,85,1155
69,-0.25399107,-0.7285479,-0.14114438,-0.11678686,-0.028219253,0.25538364,0.021962998,0.15551937,0.32697058,-0.18832968,-0.10409348,0.10264926,85,1667
70,5.329443,-2.7901747,2.4884412,-0.49528864,0.27795538,0.58515346,-0.13886505,0.25944275,0.07752896,-0.36863294,0.32253164,0.13936484,85,516
71,10.169157,-4.9589496,3.109961,-0.18663092,0.07137042,0.7288738,-0.7151467,-0.1486849,-0.24884196,0.08893735,0.3991964,-0.17161514,85,2135
72,4.1051283,-0.59536874,3.5180652,-1.3123574,0.2668178,-0.06894164,0.59604007,0.08722478,-0.2340896,-0.18218546,0.39868322,-0.13985,85,256
73,6.5886736,-4.434428,-1.475348,0.9061917,-0.6255625,0.16803338,-0.4545633,-0.4096809,0.24474181,0.2881634,-0.10505481,0.16986251,85,1890
74,3.6923666,-1.7868128,0.8804675,0.38183382,1.7956618,0.27226436,-0.72609794,0.5366033,0.19857086,0.09338624,-0.033761997,0.2577599,85,1643
75,0.99250436,0.09126579,1.4428201,-1.103185,0.018519785,0.19190262,0.36844358,0.19136475,0.0327287,-0.1856882,0.13705142,-0.119238354,85,550
76,3.480497,-1.9132317,1.5885677,-0.5163828,0.122454,0.51734096,-0.10977157,0.28952256,0.14893973,-0.33663905,0.15657888,0.15108342,85,1031
77,6.424427,-2.5915308,2.6122727,-0.57871306,-0.36192244,0.4163356,-0.371497,-0.4774122,-0.33424503,0.26363456,0.4179821,-0.46034175,85,1624
78,1.4764465,-1.2528892,0.31248352,-0.33445007,-0.13376828,0.5247377,-0.24143414,0.00071236375,0.24235861,0.050601732,-0.07821419,-0.14435129,85,1970
79,5.4887495,-1.519676,4.5011363,-1.3969626,0.5488734,0.10641129,0.804349,0.4477035,-0.122426055,-0.7337902,0.7390229,0.2634499,85,743
80,1.1197755,-1.8058221,-0.2897171,0.37805194,0.08966044,0.18185297,-0.14916122,0.13620752,0.32152647,-0.07436488,-0.19929753,0.1335545,85,1475
81,4.4571643,-4.370237,-0.69179916,1.5078188,0.5041342,-0.16763775,-0.3076137,0.37287688,0.17945184,-0.12257851,-0.42093423,0.21995956,85,2433
82,4.517884,-4.3550754,-0.52650535,1.4036452,0.6148754,-0.12582603,-0.2900888,0.5533329,0.13634625,-0.266742,-0.45688793,0.17869733,85,1682
83,1.6676228,2.109713,2.6401925,-0.1726394,0.34710643,-1.2495499,0.76166517,-0.5879209,0.59746933,0.38456133,-0.20805629,0.23523013,85,1225
84,1.6392055,-1.876376,0.09771367,0.15914397,0.07503778,0.36898676,-0.22651303,0.14296901,0.3357942,-0.10115441,-0.14357215,0.124388024,85,1800
85,2.4712403,-1.8727946,0.01747359,-0.0596096,-0.00137487,0.3238444,-0.23800483,0.2530165,0.101585254,-0.12515552,-0.18966809,-0.055707995,85,1998
86,2.283605,-2.9780293,-1.4778738,1.2835207,0.02627307,-0.48927915,0.15903069,-0.083260395,0.1992173,0.06662214,-0.120233245,0.17551471,85,1480
87,4.898895,0.79853535,4.9854817,-0.6474267,0.39532277,-2.3825774,2.7832298,-0.856903,0.19520369,0.100302115,0.22503312,0.5617614,85,326
88,2.1051688,-1.9506135,-0.28389072,0.074029535,-0.07474768,0.36084905,-0.17914656,0.18451059,0.32688838,-0.17944431,-0.17503956,0.1555653,85,1245
89,5.674383,-2.4876192,2.137554,-0.44105583,0.43363187,0.2064422,-0.09042523,0.4466139,-0.09361816,-0.16347978,0.019435897,-0.021458954,85,1237
90,8.737983,-5.655889,0.24420987,1.1105286,0.24539748,0.2461814,-0.8527077,0.21723361,-0.14221483,0.09223539,-0.38245028,-0.07083223,85,2150
91,6.3112726,-1.8200942,4.0927544,-1.1349872,-0.3696985,0.2670953,0.19045551,-0.3828939,-0.22789095,-0.27806637,0.8784519,0.30095756,85,845
92,-0.02721886,1.9978077,1.4162822,-0.01487192,0.72396964,-0.9598916,0.85616314,-0.20703325,1.0408924,0.3549485,-0.39906356,0.36547568,85,800
93,2.4220965,-1.5827348,0.7067801,-0.43411437,-0.004405058,0.50851774,-0.10312512,0.15586102,0.25268787,-0.12909912,0.010519447,0.029126847,85,1777
94,3.9993975,-3.2370536,-0.14043644,0.57316655,-0.08258845,0.38939983,-0.48214403,-0.1317598,0.33605406,0.16563024,-0.11750682,0.18439156,85,1214
95,8.827474,-5.616752,1.4276727,0.6947871,0.53694606,0.64343774,-0.8550179,0.45133924,0.037131112,-0.16202512,-0.2167415,0.03523519,85,482
96,3.2269611,-1.2805811,-0.2725856,-0.23854962,0.3114192,0.006644637,-0.33879185,0.20068492,-0.17548853,0.27365026,-0.31370896,-0.050863657,85,1714
97,3.9437237,-3.4806416,-0.10231468,0.748501,0.24933533,0.28315252,-0.40166047,0.2246145,0.30208445,-0.07151394,-0.26576763,0.17394686,85,503
98,7.7426343,-1.0348597,5.364626,-1.3869604,-0.28294787,-0.44708443,0.4791835,-0.50158465,-0.6406857,0.10525869,0.57109356,-0.42135572,85,560
99,4.841473,-2.7222762,1.6799188,-0.32499886,0.15565461,0.6125552,-0.36136818,0.27006233,0.072830915,-0.25687182,0.11348912,0.07235948,85,811
100,6.0717893,-5.98509,-2.0933664,2.7356243,0.52781075,-1.0764414,0.037160315,0.1845905,-0.117002994,0.028131459,-0.33970493,0.18564509,85,2226
101,-0.52764034,-0.67054117,-0.33392066,0.06243557,-0.1604676,0.15235256,-0.014641891,-0.13182499,0.33465508,0.077123836,-0.03151419,0.10494992,85,1611
102,1.695589,-0.51259005,1.9455032,-1.0230112,0.45006278,0.2153243,0.47917753,0.4887143,0.085130505,-0.41828218,0.14629267,0.042211965,85,2265
103,4.688238,-0.45032656,4.017625,-1.2395238,0.3692283,-0.49934536,0.9544838,0.09810158,-0.20360291,-0.21953963,0.39453357,0.044706535,85,665
104,1.3099952,-1.8815869,-0.14639047,0.33732376,0.11004357,0.25550056,-0.20024425,0.15080972,0.34036058,-0.08394769,-0.19915664,0.14949283,85,2182
105,1.3159106,-2.3070638,-1.2695786,1.0755254,-0.008133308,-0.47755587,0.15524623,-0.09456861,0.11121149,0.0635438,-0.08529804,0.12501,85,971
106,2.710825,-0.0989946,0.15050498,-0.97796506,-1.1261238,0.4345256,-0.7680112,-0.7612559,-0.37409827,0.76168066,-0.110078335,-0.5811,85,2275
107,0.030941818,-1.4288105,-0.5984236,0.7089849,0.11146907,-0.3015308,0.049073134,0.037329864,0.06789734,-0.006661425,-0.09762182,0.11629402,85,1728
108,2.3248258,0.23572157,2.4732811,-1.16675,0.31041986,-0.1908339,0.4567843,-0.03185214,-0.22732796,0.16098318,0.11677847,-0.31103778,85,511
109,3.9980085,-1.4247056,2.1218472,-0.92341155,-0.21880977,0.4778809,-0.07159409,-0.010324598,-0.054204185,-0.21122545,0.33514583,0.008124518,85,1630
