,tSNE01,tSNE02,gene_ID,ndimage_ID
0,2.4404647,5.0604277,85,742
1,3.1446733,2.3871214,85,842
2,2.8981311,3.1744454,85,2052
3,2.219782,4.275095,85,1145
4,2.7578971,2.8955116,85,896
5,2.8764334,3.304623,85,2152
6,2.8033006,4.335244,85,558
7,3.3294468,1.6252267,85,751
8,3.2605762,1.9694529,85,746
9,3.1992984,2.660879,85,236
10,1.962717,5.2827287,85,810
11,2.3833618,3.3392801,85,1526
12,2.4823992,3.9095466,85,2064
13,2.7127078,3.4735277,85,1980
14,3.294866,1.7681665,85,1775
15,3.2334151,1.8358209,85,302
16,2.4454455,4.9387627,85,1645
17,1.7177968,4.5361977,85,1323
18,2.393197,4.1143074,85,2156
19,2.996099,3.620289,85,2308
20,3.3259957,2.2286482,85,618
21,3.0725873,1.6832371,85,325
22,2.5666976,3.9195511,85,2108
23,1.8812922,4.1808386,85,1964
24,3.1228247,2.9081073,85,611
25,2.447643,4.8310227,85,1641
26,2.2815096,4.0079446,85,2056
27,2.5854821,4.2912245,85,598
28,2.236366,3.945555,85,813
29,3.1676319,2.1152132,85,1862
30,2.9489636,3.7798705,85,1060
31,2.5060163,4.771833,85,1614
32,3.2373948,2.0078783,85,797
33,1.7055506,5.251842,85,1394
34,2.6139956,4.5937967,85,954
35,3.3643498,2.3880143,85,227
36,1.7446402,4.5775576,85,1021
37,3.1853917,2.498876,85,1434
38,2.3506372,4.6097336,85,671
39,3.1245604,2.3881857,85,1796
40,1.6313014,4.424415,85,1859
41,2.9191825,3.5657504,85,387
42,2.2923212,3.8878744,85,1827
43,2.984974,2.8550172,85,2010
44,3.3035233,2.295818,85,1146
45,2.8519402,2.2267416,85,1722
46,3.0968676,2.7709053,85,2037
47,2.4764783,4.9929476,85,1880
48,3.1685767,3.4101882,85,1587
49,2.2320194,4.3208723,85,2146
50,1.9387045,5.1073713,85,1193
51,3.2995853,3.4154305,85,1159
52,2.6389134,3.4788158,85,1041
53,1.6466715,4.626551,85,1751
54,2.455803,3.2296124,85,556
55,3.0967906,1.9971066,85,1619
56,2.0796056,4.1707172,85,1379
57,2.0672336,5.1428413,85,1708
58,2.5054224,4.280124,85,1065
59,2.2964015,4.5845327,85,1027
60,3.295793,2.6186974,85,1303
61,2.4216921,4.1348667,85,750
62,3.1640515,2.8332455,85,662
63,1.9336752,5.1380606,85,1802
64,2.9656022,2.5412207,85,931
65,3.1981547,2.2296786,85,512
66,2.8752873,2.7477252,85,2119
67,2.9876356,3.0950794,85,2323
68,2.9688082,2.688411,85,1155
69,2.7207935,4.832551,85,1667
70,2.8946745,3.020979,85,516
71,2.707695,2.929283,85,2135
72,3.2897584,2.5834856,85,256
73,1.8273008,3.6156147,85,1890
74,3.2308328,2.2891932,85,1643
75,3.4075696,2.8130486,85,550
76,2.9349172,3.0473413,85,1031
77,2.9031992,3.054728,85,1624
78,2.824927,4.3655643,85,1970
79,3.14064,2.6181223,85,743
80,2.4472551,5.1123147,85,1475
81,2.0455563,4.484656,85,2433
82,2.0949233,4.634879,85,1682
83,3.3333871,1.6133437,85,1225
84,2.5645351,4.394842,85,1800
85,2.7276435,3.4070516,85,1998
86,1.9341836,5.123699,85,1480
87,3.1936235,1.7540253,85,326
88,2.4895904,3.8831844,85,1245
89,3.181411,2.1143522,85,1237
90,1.9676307,3.62845,85,2150
91,3.191795,2.5744247,85,845
92,3.3301544,1.5886828,85,800
93,2.813801,3.1790211,85,1777
94,2.444239,3.6091242,85,1214
95,2.236945,3.4329464,85,482
96,2.7075672,2.9249706,85,1714
97,2.1041374,4.434673,85,503
98,3.066559,2.3502233,85,560
99,2.8959086,3.068639,85,811
100,1.6728618,4.610224,85,2226
101,2.0157864,5.3889484,85,1611
102,3.4581935,2.8454819,85,2265
103,2.9298732,1.83137,85,665
104,2.3329222,4.7035465,85,2182
105,1.9448279,5.3360457,85,971
106,2.8764281,3.5775921,85,2275
107,1.9513228,5.4231067,85,1728
108,3.2971194,2.2453182,85,511
109,2.8110938,2.8471096,85,1630
110,3.3481772,1.7282314,85,715
111,2.8129253,2.8373399,85,1425
112,3.243876,2.390816,85,1254
113,3.2127576,2.7547815,85,490
114,2.2321901,4.734656,85,1493
115,3.2869723,2.306972,85,1113
116,2.264399,4.769825,85,1129
117,2.1419392,5.0297894,85,1353
