gene_ID,ndimage_ID,PCA01 (69.86),PCA02 (12.61),PCA03 (7.09),PCA04 (3.86),PCA05 (2.12)
85,742,0.27881923,-0.14404227,0.094578244,-0.16898578,-0.013038332
85,842,0.2635955,0.2360393,0.13422517,-0.39896128,0.41336203
85,2052,0.7183614,0.41472322,0.012183158,-0.3752323,-0.022995753
85,1145,0.18166938,-0.24739382,0.09775995,-0.08360591,0.08067125
85,896,0.59275484,0.065281905,-0.23777756,-0.35632437,0.13413486
85,2152,0.57449675,0.40427148,-0.014229957,-0.47682625,0.105557844
85,558,0.019874066,-0.1134256,0.2441657,-0.16804504,0.08945636
85,751,0.12150245,0.59457517,0.5034619,0.021070505,0.20264441
85,746,0.25357664,0.5014739,0.33889845,-0.32613334,0.39348045
85,236,0.6046565,0.89529854,0.07266887,-0.20981325,0.07066133
85,810,0.29004306,-0.23108281,-0.14590478,-0.05783863,0.011007562
85,1526,0.64416665,0.19948491,-0.33456972,-0.47054917,0.22612451
85,2064,0.48469523,0.06366323,-0.056119412,-0.3392432,-0.00037308974
85,1980,0.10041466,-0.06105898,0.1633474,-0.22031075,0.1038348
85,1775,0.3056021,0.66067594,0.33273166,-0.24146597,0.37716284
85,302,0.007826492,0.5172628,0.56427264,0.24853218,-0.11164907
85,1645,-0.06742516,-0.19222558,0.20621328,-0.089379646,0.09296512
85,1323,0.6298908,-0.32212707,-0.37980196,-0.020563541,-0.021409484
85,2156,0.12609561,-0.11893538,0.122449175,-0.17947567,0.05036941
85,2308,0.39398763,0.20141326,0.14660011,-0.3349803,-0.026671167
85,618,0.25960684,1.0533428,0.21957554,0.23575751,0.38374174
85,325,0.21037611,0.81476474,0.08403047,0.68722534,0.40164763
85,2108,0.43318155,-0.021317571,-0.12599616,-0.27736768,0.030136174
85,1964,0.75330234,-0.24975686,-0.21790221,-0.15067475,-0.074064866
85,611,0.41925812,0.42267004,0.1824063,-0.3683673,0.05626482
85,1641,0.40944403,-0.09935518,0.0053082574,-0.21236171,-0.03905144
85,2056,0.35695237,-0.023888282,0.026733,-0.27464798,0.01888454
85,598,0.558468,0.16841435,0.020049637,-0.36068067,-0.06808684
85,813,0.60789466,-0.02195172,-0.07597633,-0.2869548,-0.07996569
85,1862,0.2602479,0.3867471,0.3519335,-0.25829244,0.09935108
85,1060,0.45238987,0.26795697,0.015319549,-0.41458675,0.08263262
85,1614,0.04530544,-0.10119055,0.22152779,-0.18211845,0.054962102
85,797,0.30147377,0.50287753,0.2956457,-0.3543276,0.41133803
85,1394,-0.048714545,-0.2773828,-0.0012208273,0.053525914,0.10775835
85,954,0.006394532,-0.096706875,0.2623043,-0.17878363,0.061339084
85,227,0.022168249,0.46174034,0.5760383,0.15121832,-0.11719256
85,1021,0.52908885,-0.32500237,-0.27722102,-0.017665945,-0.004761982
85,1434,0.230131,0.3088591,0.3847891,-0.25910938,0.23594043
85,671,0.4657775,-0.08513486,-0.056319393,-0.22971909,-0.039710514
85,1796,0.47837874,0.467821,0.013678814,-0.53117573,0.5267539
85,1859,0.51648384,-0.31665674,-0.29478192,-0.02044403,0.03788741
85,387,0.069705,0.03654819,0.36829966,-0.22387685,0.012475681
85,1827,0.1673305,-0.15795952,-0.023488961,-0.13483688,0.07609616
85,2010,0.67754084,0.6220054,-0.032817982,-0.52013075,0.17107253
85,1146,0.045550447,0.09910728,0.43759438,-0.2113085,0.056553666
85,1722,0.797742,0.79261696,-0.05099005,-0.26817414,0.08722652
85,2037,0.7031161,0.62595755,-0.0824327,-0.5680103,0.17893206
85,1880,-0.08375108,-0.17507651,0.1943033,-0.09881424,0.08356633
85,1587,0.08619719,0.1307018,0.41578197,-0.2280237,0.00149798
85,2146,0.58329064,-0.1349799,-0.1486046,-0.20652346,0.026922582
85,1193,0.025183104,-0.20399918,-0.038227662,-0.03916545,0.07644017
85,1159,-0.027491223,-0.026836138,0.43176097,-0.17419441,0.0032624956
85,1041,0.20973022,-0.008125964,0.09044239,-0.273272,0.09862171
85,1751,0.4798158,-0.38672236,-0.15160693,0.012016426,0.021668866
85,556,0.92339724,0.35416856,-0.34715137,-0.57294303,0.042091176
85,1619,0.4983979,1.0122806,0.13253689,-0.29877698,0.5286201
85,1379,0.36947188,-0.21433993,-0.017946167,-0.13144495,0.032244615
85,1708,0.0009947742,-0.25749525,0.103148066,-0.02701067,0.110267475
85,1065,0.45685667,0.022708725,0.03999054,-0.2908909,-0.04897539
85,1027,0.42978895,-0.13000704,-0.16396898,-0.18688008,-0.0022484483
85,1303,0.06516976,0.061389573,0.44445565,-0.17440042,-0.049434416
85,750,0.4603846,-0.008901133,-0.058362927,-0.28847373,-0.013788494
85,662,0.57429713,0.8033742,0.118325785,-0.3318157,0.13184683
85,1802,0.06282614,-0.24183422,-0.03425653,-0.01825875,0.069981545
85,931,0.5565874,0.43017927,-0.12936532,-0.5710581,0.54233176
85,512,0.16096075,0.3242984,0.47089207,-0.0748178,-0.12733272
85,2119,0.8890819,0.82078534,-0.26676372,-0.7300475,0.38819283
85,2323,0.2531324,0.22032829,0.28429118,-0.3133051,0.06473791
85,1155,0.28435656,0.20276053,-0.017964335,-0.4075375,0.49952385
85,1667,-0.042679083,-0.114182465,0.31273654,-0.1563234,0.050136473
85,516,0.50992256,0.34,-0.13541393,-0.52665126,0.2963432
85,2135,0.9611603,0.5664553,-0.38405186,-0.6819762,0.19346355
85,256,0.1306766,0.36013705,0.47320727,-0.17678095,0.060730524
85,1890,0.8275619,-0.23497917,-0.33501378,-0.17439249,0.015296406
85,1643,0.13527328,0.15700094,0.44340247,-0.16251513,-0.07681664
85,550,0.4562818,0.7706612,0.20769091,-0.22201234,0.08651726
85,1031,0.27509445,0.16867895,0.017798718,-0.38744733,0.3252264
85,1624,0.4952804,0.32404578,-0.11600688,-0.5053891,0.32535154
85,1970,0.0152262505,-0.024380071,0.35849863,-0.2036809,0.036770776
85,743,0.4112803,0.5431999,0.1265489,-0.5027928,0.38799378
85,1475,-0.06838805,-0.16101901,0.22610135,-0.11834962,0.07586748
85,2433,0.24970224,-0.17645276,-0.0802047,-0.1288205,0.041980837
85,1682,0.58015865,-0.13905306,-0.17697385,-0.20223033,-0.05474377
85,1225,0.096450344,0.5726641,0.52579707,0.009743587,0.18885148
85,1800,0.013652538,-0.12687555,0.20259792,-0.15913634,0.06485493
85,1998,0.41843396,0.04224449,-0.13418718,-0.3210038,0.13543878
85,1480,0.21833691,-0.29336247,0.014059473,-0.036744706,0.051974684
85,326,0.82929707,0.29179162,0.45822737,0.48651084,0.8175029
85,1245,0.25885114,-0.09490686,0.07379569,-0.20739204,0.02708276
85,1237,0.34821737,0.47764087,0.34120324,-0.16920017,0.15607163
85,2150,0.95351845,-0.021538202,-0.379536,-0.34182382,-0.036650002
85,845,0.21708156,0.15709579,0.118982345,-0.35663688,0.35465047
85,800,0.018959431,0.6895564,0.49798134,0.38856176,0.13561739
85,1777,0.36442462,0.16211107,0.124905415,-0.351089,0.06019826
85,1214,0.5608379,-0.03246532,-0.21728145,-0.28301018,0.0455932
85,482,0.8029601,0.055711217,-0.2984947,-0.37312898,-0.0067806067
85,1714,0.43741226,0.07991878,0.13651341,-0.2733265,-0.031134687
85,503,0.6321283,-0.1413623,-0.14852193,-0.21482645,-0.06631964
85,560,0.5550034,0.646829,0.017190848,-0.5717684,0.48040718
85,811,0.3698289,0.09457966,-0.06242863,-0.35398933,0.15434007
85,2226,0.4080325,-0.3122945,-0.16720563,-0.026769882,0.010595598
85,1611,-0.1281109,-0.19739005,0.11108799,-0.042026743,0.094312504
85,2265,0.0060469103,0.42015162,0.5979925,0.15512393,-0.13538253
85,665,0.28606594,0.7968444,0.32354498,-0.00030153614,0.2148098
85,2182,0.14318094,-0.094530344,0.16642624,-0.1969075,0.042413075
85,971,-0.078958906,-0.23173262,0.06694674,-0.011005462,0.10198857
85,2275,0.14477745,0.18567577,0.4058469,-0.21990135,-0.033112995
85,1728,-0.17243077,-0.1952332,0.03797936,0.0074909255,0.09034296
85,511,0.28823936,0.8183305,0.32433248,0.10260213,0.30085957
85,1630,0.6242344,0.35644078,-0.15754917,-0.53423584,0.27365428
85,715,0.13344443,0.38954702,0.46392038,-0.20129935,0.26191562
85,1425,0.45616838,0.17576578,-0.13894227,-0.43135446,0.27541143
85,1254,0.090692654,0.046183363,0.27181402,-0.26366654,0.1925537
85,490,0.33110827,0.20289026,0.15254891,-0.35629103,0.07751112
85,1493,0.0072315903,-0.1874685,0.08830767,-0.09107956,0.078050576
85,1113,0.12427593,0.50496864,0.49378237,0.072172605,-0.07489306
85,1129,0.05688651,-0.15647428,0.16983145,-0.1396464,0.05172152
85,1353,-0.045310643,-0.22644494,-0.00840286,0.0023185005,0.080129996
85,306,0.5248497,0.5600448,0.05383797,-0.5043639,0.20847991
85,938,0.60173595,0.25393698,0.22058012,-0.054262772,-0.046302896
85,681,0.40273273,0.275576,-0.043552905,-0.4691977,0.3617774
85,272,0.07258746,0.36652005,0.53673404,-0.09974035,0.027815307
85,1267,0.50197756,-0.25067925,0.0555062,-0.111430824,-0.018651705
85,947,0.2644742,-0.31213984,-0.15255044,0.021501856,0.038157757
85,1305,0.18314669,0.27800784,0.30937842,-0.33699173,0.3474496
85,2036,0.10926977,-0.07881212,0.112111546,-0.20977962,0.09836707
85,502,0.36814064,1.0679744,0.20251143,-0.03217085,0.5709657
85,1655,0.045090917,0.59851974,0.4672895,0.41261682,-0.10436276
85,1576,0.22408073,-0.07810418,-0.010557648,-0.21829465,0.10070682
85,706,-0.002007144,0.20437455,0.5840529,-0.07202742,-0.10239358
85,946,0.007806821,-0.24073885,0.028457722,-0.021926556,0.082324654
85,1578,-0.09440728,-0.28535217,-0.12609358,0.16905788,0.097642265
85,661,0.038460463,-0.052553438,0.32677642,-0.19347987,0.025624705
85,1976,0.5547724,-0.043906182,-0.19974469,-0.27488437,-0.004195522
85,224,0.013519634,0.38120246,0.5973195,0.054607634,-0.095731646
85,2360,0.66307366,-0.16827542,-0.39920467,-0.16924915,0.051385168
85,1625,-0.034098532,-0.05531143,0.40099204,-0.17263383,0.018443527
85,2438,0.45421562,-0.05694222,0.056263834,-0.23562822,-0.06652969
85,1349,0.0616183,0.33775872,0.5631073,0.036213767,-0.14105828
85,1258,0.5919762,-0.35090214,-0.31444734,-0.0051881457,0.011221922
85,978,0.1440775,0.27250776,0.3457758,-0.3087273,0.3353064
85,1133,0.050417375,-0.2686232,-0.045569148,0.018877707,0.07311955
85,1403,0.09955601,-0.11309489,0.2574214,-0.1655502,0.017604455
85,398,-0.0015322762,0.31062832,0.60950583,0.03062371,-0.134824
85,344,0.56405187,0.69292384,-0.008562593,-0.6082545,0.47106045
85,1150,0.3980805,-0.11649815,-0.052529432,-0.21534742,0.07128396
85,1090,0.12501937,0.6726707,0.48938963,0.050750066,0.27580005
85,1038,0.5131699,0.1396558,-0.21184932,-0.41159225,0.1922612
85,498,0.29485798,-0.41994303,-0.15725936,0.11463962,0.088102005
85,1264,0.18926637,-0.14775258,0.0053433357,-0.1518988,0.072560415
85,1495,0.17471708,0.22709852,0.3143591,-0.32684264,0.19528325
85,1736,0.7214323,0.4398115,-0.06602884,-0.4738733,-0.03364298
85,1497,0.45674676,-0.26676232,-0.18150012,-0.08182729,0.004415489
85,2050,0.015015756,-0.0065438445,0.39883393,-0.19525997,0.022133278
85,475,0.55941993,0.49669152,0.11409954,-0.3764597,-0.033059563
85,1140,0.09358494,-0.22226249,-0.13042606,-0.007886963,0.060470637
85,1731,0.15260041,0.0365801,0.43657142,-0.16785653,0.08525713
85,639,-0.0008524507,0.46183154,0.58972305,0.20772156,-0.13879378
85,2011,0.035287,-0.14040974,0.16485454,-0.15023641,0.06569072
