,tSNE01,tSNE02,gene_ID,ndimage_ID
0,0.6945227,-1.2735059,85,742
1,1.9074651,-0.256775,85,842
2,1.8923247,-0.5780551,85,2052
3,1.2558398,-1.0658792,85,1145
4,1.6937917,-0.33261627,85,896
5,1.9908344,-0.8019228,85,2152
6,0.96290207,-0.9726724,85,558
7,1.8344628,0.05090271,85,751
8,1.8146739,-0.05451946,85,746
9,1.9769878,-0.4736617,85,236
10,0.8505474,-1.2667489,85,810
11,2.0031364,-0.9015262,85,1526
12,1.9276649,-0.9244758,85,2064
13,1.6660751,-0.7267205,85,1980
14,1.7608423,0.056785423,85,1775
15,1.7715262,0.08530291,85,302
16,0.9281708,-1.167077,85,1645
17,1.3053614,-1.2441751,85,1323
18,1.6253154,-0.9611572,85,2156
19,1.5094914,-0.78012437,85,2308
20,1.7603109,-0.020506447,85,618
21,1.6911597,0.13019218,85,325
22,1.2519146,-0.9529461,85,2108
23,1.5799885,-1.1977948,85,1964
24,1.9107357,-0.51756227,85,611
25,0.8051668,-1.2174165,85,1641
26,1.6276278,-1.0639588,85,2056
27,1.4980474,-0.838502,85,598
28,1.4899048,-1.0001786,85,813
29,1.876297,-0.21154822,85,1862
30,1.6316981,-0.7264569,85,1060
31,1.3168277,-1.0657405,85,1614
32,1.8789662,-0.07022677,85,797
33,-0.13780093,-1.3220005,85,1394
34,1.3622068,-0.8110917,85,954
35,1.7378395,-0.09092203,85,227
36,1.1683067,-1.2428784,85,1021
37,1.9222907,-0.29978332,85,1434
38,1.5697036,-1.1126413,85,671
39,1.9709424,-0.4072459,85,1796
40,0.8877637,-1.1873327,85,1859
41,1.7596791,-0.80905044,85,387
42,1.3931824,-0.92160326,85,1827
43,1.9773326,-0.5279705,85,2010
44,1.5947642,-0.3095766,85,1146
45,2.073555,-0.7039497,85,1722
46,1.9774708,-0.4855762,85,2037
47,0.7893956,-1.1944441,85,1880
48,1.5496927,-0.41304594,85,1587
49,1.5035661,-1.0929122,85,2146
50,1.2592534,-1.2575558,85,1193
51,1.2670584,-0.35960117,85,1159
52,1.7381939,-0.87819153,85,1041
53,1.0773735,-1.2431611,85,1751
54,2.0076118,-0.85665894,85,556
55,1.8925419,-0.15870036,85,1619
56,1.2011214,-1.0531584,85,1379
57,0.8582672,-1.2375615,85,1708
58,1.2966961,-1.0599979,85,1065
59,1.5100776,-1.1589562,85,1027
60,1.4446554,-0.11341379,85,1303
61,1.7686279,-0.97024566,85,750
62,1.9063808,-0.46186888,85,662
63,0.8752798,-1.2598524,85,1802
64,1.9119557,-0.27417922,85,931
65,1.5425705,-0.11074321,85,512
66,1.9902741,-0.5182212,85,2119
67,1.9330665,-0.5933663,85,2323
68,1.9932189,-0.4869437,85,1155
69,0.6535052,-1.2348073,85,1667
70,1.8478632,-0.6008965,85,516
71,2.0586371,-0.76218766,85,2135
72,1.8967233,-0.25493267,85,256
73,1.7380561,-1.1442842,85,1890
74,1.6415395,-0.39902282,85,1643
75,1.6065422,-0.25352323,85,550
76,1.7006438,-0.5956509,85,1031
77,2.052561,-0.6682569,85,1624
78,1.2882097,-0.9393876,85,1970
79,1.9291575,-0.3243058,85,743
80,0.7970116,-1.2266765,85,1475
81,1.5496457,-1.2065187,85,2433
82,1.4996852,-1.2126592,85,1682
83,1.7709563,0.058872845,85,1225
84,1.0146329,-1.0832406,85,1800
85,1.323203,-0.6432834,85,1998
86,0.8017283,-1.2414302,85,1480
87,1.856138,0.033771664,85,326
88,1.0570096,-0.84549767,85,1245
89,1.8984202,-0.4347217,85,1237
90,1.8558673,-1.0637982,85,2150
91,1.9405099,-0.4458906,85,845
92,1.6088659,0.15838593,85,800
93,1.4897352,-0.7467302,85,1777
94,1.6341598,-1.0075463,85,1214
95,1.9776454,-0.91249204,85,482
96,1.2567902,-0.1360606,85,1714
97,1.5216882,-1.1912563,85,503
98,1.9891385,-0.34831467,85,560
99,1.8276176,-0.72442836,85,811
100,1.4812608,-1.237451,85,2226
101,0.2237654,-1.7446591,85,1611
102,1.4588745,-0.26401737,85,2265
103,1.8441479,-0.073840305,85,665
104,0.92149854,-1.1729776,85,2182
105,0.43078303,-1.3156818,85,971
106,1.678236,-0.38320017,85,2275
107,-0.08493341,-2.0326402,85,1728
108,1.8426821,-0.09631414,85,511
109,1.7404283,-0.49793366,85,1630
110,1.7732711,-0.03439122,85,715
111,2.0401769,-0.7847429,85,1425
112,1.6692989,-0.28823727,85,1254
113,1.9067186,-0.56489164,85,490
114,1.2990752,-1.1848364,85,1493
115,1.7472138,-0.44074386,85,1113
116,1.0503794,-1.182414,85,1129
117,0.9201192,-1.1069931,85,1353
118,1.9166224,-0.29366812,85,306
119,1.5585699,-0.54176354,85,938
120,2.0642264,-0.6984525,85,681
121,1.8704419,-0.1542401,85,272
122,1.2208263,-1.1459634,85,1267
123,1.2250342,-1.254883,85,947
124,1.8635993,-0.078481495,85,1305
125,1.4967862,-0.79194605,85,2036
126,1.8768845,-0.054350793,85,502
127,1.3842251,0.1129804,85,1655
128,1.6164244,-1.0408671,85,1576
129,1.3920277,-0.54197264,85,706
130,1.1514753,-1.2467855,85,946
131,-1.0539281,-1.1027014,85,1578
132,0.9562915,-0.91921073,85,661
133,1.724198,-1.1220334,85,1976
134,1.8416367,-0.075236924,85,224
135,1.6752623,-1.1600296,85,2360
136,1.0987535,-0.8798292,85,1625
137,1.5209389,-1.0872004,85,2438
138,1.2730311,0.1525619,85,1349
139,1.494476,-1.2165148,85,1258
140,1.9046066,-0.25270438,85,978
141,0.7405943,-1.2232248,85,1133
142,1.2652994,-0.6833168,85,1403
143,1.6007453,-0.21319218,85,398
144,1.9232897,-0.35052097,85,344
145,1.7555873,-1.1040817,85,1150
146,1.6971693,0.08759816,85,1090
147,2.0099616,-0.8337166,85,1038
148,-0.7914395,-0.7428136,85,498
149,1.226578,-1.0509077,85,1264
150,1.8436153,-0.5723762,85,1495
151,1.777356,-0.5449431,85,1736
152,1.3791419,-1.2122252,85,1497
153,1.6631501,-0.4711827,85,2050
154,1.7985193,-0.446,85,475
155,1.0101283,-1.2329259,85,1140
156,1.6992986,-0.36939758,85,1731
157,1.6798702,0.08307995,85,639
158,1.2836208,-1.1302868,85,2011
159,1.2635132,-1.1879439,85,1168
160,1.9873506,-0.64045,85,2279
161,1.1386608,-1.2423216,85,985
162,0.93928796,-1.2260851,85,852
163,1.6887485,-0.24757496,85,574
164,1.415259,-1.0683304,85,1131
165,1.6026961,-1.0347823,85,2106
166,0.88322484,-1.0849738,85,1995
167,1.4776969,-1.0716982,85,1545
168,1.8508575,-0.30099723,85,582
169,1.4369342,-0.38681868,85,713
170,1.6104085,-1.1822579,85,1543
