,PCA01 (50.20),PCA02 (25.71),PCA03 (9.10),PCA04 (5.85),PCA05 (2.88),PCA06 (2.34),PCA07 (1.32),PCA08 (0.74),PCA09 (0.57),PCA10 (0.35),PCA11 (0.29),PCA12 (0.15),gene_ID,ndimage_ID
0,-0.24011187,0.18531592,-0.091950536,-0.26864663,0.049324278,-0.15594985,-0.029425085,0.00072076306,0.010076657,0.000359893,0.03606817,-0.019168045,85,742
1,-0.345855,0.46978122,-0.06370836,-0.28147385,0.2737442,0.3043048,0.18487681,0.0048609665,0.26195675,-0.012468498,-0.16556408,-0.089287505,85,842
2,0.070925705,0.7924519,0.078020215,-0.26694682,-0.014885491,0.22843912,0.021655392,-0.002649011,-0.14475666,0.032192238,-0.017363526,-0.014171327,85,2052
3,-0.31113502,0.02414331,-0.06850579,-0.17648803,0.006997193,-0.05937223,0.07020444,-0.028432462,-0.0062799486,-0.043058023,0.012653209,0.03757991,85,1145
4,0.03247286,0.39846793,0.23708992,-0.42751667,0.12066226,0.09461396,0.12424663,-0.09911763,-0.041434642,-0.014728913,-0.0385957,0.0050846157,85,896
5,-0.073180065,0.7452279,0.07343254,-0.37143907,0.12012451,0.26037258,0.060403585,0.009188708,-0.108656615,-0.025221534,0.022892527,-0.0039257216,85,2152
6,-0.50788957,0.14840254,-0.20105697,-0.19567215,0.0732954,-0.049650062,0.040847424,-0.015841907,-0.0019541343,-0.024693903,-0.009464496,-0.0013604708,85,558
7,-0.5407705,0.7627111,-0.21435513,0.29011947,-0.007254866,0.27185977,0.06496216,0.014165015,0.418943,0.101780705,-0.024295287,0.11056837,85,751
8,-0.4089676,0.7133547,-0.168376,-0.066878445,0.17810147,0.42998353,0.14276539,0.08931062,0.39998898,0.03849573,-0.09469974,-0.039941546,85,746
9,-0.12831913,1.1303992,0.17326978,0.056625407,0.11658583,0.34953013,-0.087636955,-0.057426035,-0.067635424,0.021612395,0.031408586,0.022037515,85,236
10,-0.18669276,0.04642143,0.15753306,-0.23084925,0.008807628,-0.15217134,-0.014062565,-0.061233483,0.02370467,0.016508283,0.023339763,0.019782912,85,810
11,0.050821085,0.514267,0.3383713,-0.4976605,0.1977592,0.23126748,0.18438257,-0.15700158,-0.102551386,-0.03273328,-0.09473431,0.023467638,85,1526
12,-0.08228998,0.4306958,0.06363037,-0.39426515,0.02047964,0.00874064,0.09831147,-0.05800603,-0.09631561,-0.021923799,0.0033643753,0.034400508,85,2064
13,-0.4376987,0.21192513,-0.12583525,-0.24861439,0.078972585,-0.013936646,0.084522665,-0.050877936,-0.006545811,-0.026665205,-0.03933917,0.0057963007,85,1980
14,-0.3855575,0.83150107,-0.101787575,0.08124009,0.1940251,0.5044858,0.04361992,0.073043905,0.29062465,0.033461343,-0.025834827,-0.05129575,85,1775
15,-0.62605375,0.695661,-0.24170794,0.45217872,-0.16410111,0.019464906,-0.030159371,-0.10620221,0.009265015,0.03761484,0.009844067,0.0118010165,85,302
