gene_ID,ndimage_ID,PCA01 (46.64),PCA02 (22.94),PCA03 (8.03),PCA04 (5.95),PCA05 (3.47),PCA06 (2.63)
85,742,-0.3546988,0.40601167,0.19943541,0.12290364,-0.051373903,-0.123742335
85,842,0.7879714,2.1235433,0.29874375,0.017238865,0.027483942,0.23142864
85,2052,-0.0061976607,1.4597205,0.5600051,0.34134197,-0.21914542,-0.1801091
85,1145,0.49049628,0.9218254,0.21336281,-0.59354305,0.78918856,-0.047457755
85,896,0.79570067,1.9887159,0.10896433,0.06876283,-0.20718402,0.38776937
85,2152,0.56325465,2.5199594,0.7803718,0.29267892,-0.08823182,-0.10075882
85,558,-0.44552904,0.05727659,0.05394962,0.034603834,0.009971575,-0.07071517
85,751,0.6949791,2.3875167,0.6537842,0.062137842,0.11833565,-0.026190948
85,746,0.2064874,1.2531154,0.27296713,0.02259378,0.03689182,0.061274324
85,236,0.96773607,2.2331443,0.51777494,-0.3541885,0.5799808,0.018369894
85,810,-0.3974816,0.50668836,0.30435622,0.22384313,-0.13665159,-0.23008628
85,1526,0.8059175,3.4554262,1.0905517,0.6043786,-0.41382468,-0.13207307
85,2064,0.24369045,2.4215133,0.9943574,0.54227185,-0.2826715,-0.3776041
85,1980,0.3449422,1.2622583,0.21653944,-0.13014247,0.21704608,0.098177984
85,1775,0.543541,1.1608269,0.07508785,-0.34922653,0.27665037,0.17639914
85,302,0.05766458,1.3296189,0.43967775,0.1864405,-0.05684201,-0.09316421
85,1645,-0.24950229,0.6590743,0.25064707,0.16522741,-0.10649087,-0.08421732
85,1323,-0.12062118,1.3803946,0.6069037,0.40606055,-0.26502207,-0.26882216
85,2156,0.1898513,1.4141245,0.40487203,0.123274915,-0.018794468,-0.008819615
85,2308,-0.267401,0.71946347,0.29569408,0.2262809,-0.16586144,-0.12380627
85,618,-0.16779356,0.6823816,0.109529994,0.18635863,-0.22691853,0.09610088
85,325,-0.24610338,0.7367926,0.29059097,0.20852152,-0.15155303,-0.10285808
85,2108,-0.26874432,0.6321181,0.24103169,0.1799691,-0.1343763,-0.07996654
85,1964,0.24543488,2.1147518,0.79422176,0.3838153,-0.16910559,-0.2436142
85,611,0.51979935,1.7998255,0.6098429,-0.033556208,0.15957825,-0.080858655
85,1641,-0.43891433,0.16246244,0.101479806,0.09787231,-0.06715336,-0.08681705
85,2056,0.0981691,1.6495097,0.6575257,0.2613732,-0.025662025,-0.25701773
85,598,-0.23749752,0.8027833,0.3470323,0.21377906,-0.11588692,-0.15796234
85,813,-0.18928005,0.9658717,0.38289467,0.27673247,-0.19721699,-0.1408376
85,1862,0.313892,1.5537428,0.36498436,0.1043897,-0.033170566,0.05671881
85,1060,-0.18390724,0.9303783,0.40023234,0.21388012,-0.094912,-0.18165277
85,1614,-0.28001222,0.76745296,0.35136595,0.25149238,-0.16905993,-0.1750292
85,797,1.0484155,1.8034747,0.09537908,-0.43091276,0.34469548,0.3466303
85,1394,0.084468916,0.73967004,0.2515853,-0.28072956,0.531506,-0.110936604
85,954,-0.12916972,0.7340595,0.23091576,0.060525317,0.023835884,-0.04389851
85,227,-0.15120754,0.82739586,0.2970418,0.13966185,-0.055443626,-0.09672246
85,1021,-0.0122043695,1.4475089,0.57388085,0.3118216,-0.14954,-0.21088369
85,1434,0.5611367,1.6848968,0.45436534,-0.24881305,0.4814554,-0.059175503
85,671,-0.12850212,1.3180971,0.5888556,0.36536336,-0.21350561,-0.27100497
85,1796,0.15121807,2.0247798,0.7288191,0.5169154,-0.40007988,-0.17332213
85,1859,-0.026459407,1.1708357,0.39131978,0.21429802,-0.10309319,-0.10230391
85,387,0.12859085,1.5126494,0.40971735,0.30485812,-0.278157,0.007021528
85,1827,0.093648426,1.3283875,0.31065822,0.24413864,-0.24963431,0.079831704
85,2010,0.26699355,2.1118624,0.753398,0.4025201,-0.19920559,-0.21661828
85,1146,-0.3875637,0.29417938,0.114382684,0.13784605,-0.13432486,-0.04105161
85,1722,1.9703912,3.2295494,0.83271414,-1.0242863,1.4765444,-0.13607138
85,2037,0.057924908,1.8406441,0.697067,0.5115392,-0.40599886,-0.19819471
85,1880,-0.41490933,0.16150673,0.08877451,0.06287202,-0.020507809,-0.073682755
85,1587,-0.31763825,0.41215986,0.14497897,0.11255647,-0.07346831,-0.046173822
85,2146,-0.04545928,1.2238902,0.52504414,0.16923271,0.05491706,-0.24517322
85,1193,-0.2564967,1.1291485,0.58314,0.4025498,-0.25761494,-0.34695578
85,1159,-0.32879397,-0.059821524,-0.046509217,-0.17909831,0.24367641,0.0016756976
85,1041,0.28708187,1.5268941,0.41636023,0.03919417,0.116465144,-0.019068498
85,1751,-0.12891875,1.2197278,0.4955117,0.34636572,-0.24985728,-0.17927611
85,556,0.41427565,2.6533728,1.0134844,0.5367949,-0.30647573,-0.29410428
85,1619,0.44800395,1.926336,0.43471274,0.18634558,-0.16257267,0.10376412
85,1379,-0.060896017,1.091374,0.32559124,0.26108003,-0.21177992,-0.052733835
85,1708,-0.3302196,0.5470597,0.2609907,0.1794135,-0.10448382,-0.14574736
85,1065,-0.23808238,0.81283844,0.37209547,0.20526427,-0.08633231,-0.19313256
85,1027,-0.1424598,1.2976815,0.6181995,0.34193912,-0.14257729,-0.33035937
85,1303,0.014205399,-0.317382,0.03260326,-0.6342994,0.6911569,-0.010361346
85,750,0.0008629377,1.6420738,0.6643839,0.42048997,-0.2771484,-0.23985513
85,662,0.035863418,1.4253509,0.4914043,0.2775814,-0.16155842,-0.10564388
85,1802,-0.3847244,0.53111905,0.30498356,0.22596702,-0.14146237,-0.21837938
85,931,0.67488366,1.7936794,0.41942593,-0.26261523,0.44223177,0.007793201
85,512,0.5262093,-0.16440888,0.19142012,-1.1057532,1.1956455,-0.08024221
85,2119,0.7715286,2.5556228,0.6425319,0.123563975,0.028661242,0.04218474
85,2323,0.3512273,1.9596225,0.6766772,0.16372131,0.05967521,-0.17060739
85,1155,0.5004569,2.0961125,0.57808924,0.19854511,-0.060956687,0.029787237
85,1667,-0.46584544,-0.13594642,-0.066025205,-0.032333266,0.033034008,0.017113023
85,516,-0.11451665,1.2900507,0.5712761,0.3288428,-0.1662658,-0.2662648
85,2135,0.80330485,3.3183222,1.2066206,0.44202432,-0.12335183,-0.30729645
85,256,-0.0017000993,1.4138654,0.5167799,0.30990058,-0.18695484,-0.14487444
85,1890,1.0159106,3.052591,0.7186852,0.24668635,-0.031420086,0.025338303
85,1643,0.3478993,-0.2835248,0.15872955,-0.9622975,1.0315815,-0.0549424
85,550,-0.38258925,0.31207058,0.16444957,0.10165706,-0.035644155,-0.115086436
85,1031,-0.112491846,1.0132596,0.38341397,0.19149731,-0.07470267,-0.13328077
85,1624,0.14724071,2.2050245,0.88250625,0.6081868,-0.47209334,-0.2809729
85,1970,-0.39227068,0.40532002,0.21057634,0.18398075,-0.14220977,-0.13090836
85,743,0.05215537,1.8296448,0.82150024,0.3916461,-0.113721155,-0.40054175
85,1475,-0.44611487,0.13328262,0.1067205,0.07373213,-0.01629902,-0.113828264
85,2433,0.13969925,1.9095489,0.82133764,0.3230918,-0.018911894,-0.3691318
85,1682,-0.11109574,1.489659,0.71893346,0.4120693,-0.19751783,-0.3883624
85,1225,0.42243302,1.3023455,0.008049157,0.029575454,-0.18652411,0.33203104
85,1800,-0.3431085,0.4104069,0.16409339,0.13895176,-0.10502419,-0.06484905
85,1998,0.1442626,0.82280624,0.13175815,-0.14002551,0.22410832,0.09048382
85,1480,-0.22330147,0.9291441,0.41806868,0.26395836,-0.14925809,-0.20297366
85,326,0.39973786,2.3253062,0.80522823,0.41124582,-0.26327524,-0.13145334
85,1245,0.002679784,0.7959843,0.16528258,-0.026722718,0.12015419,0.030506002
85,1237,0.8364573,1.3267812,0.30764386,-0.6883889,0.85735583,-0.0076377476
85,2150,0.6528077,2.9265382,1.0066878,0.38063735,-0.07278883,-0.23157252
85,845,-0.024537155,1.5858914,0.62794167,0.4419769,-0.3358151,-0.2148709
85,800,-0.022508472,0.74762475,0.13351181,-0.011623623,0.028173137,0.0631339
85,1777,-0.09482766,0.9264972,0.27309054,0.16613162,-0.12159305,-0.016396713
