,tSNE01,tSNE02,gene_ID,ndimage_ID
0,-1.5126442,3.1793761,85,742
1,0.44795015,4.603853,85,842
2,-0.24575128,4.9424,85,2052
3,0.41191062,3.6883137,85,1145
4,0.5468877,4.3864455,85,896
5,0.42165592,5.115115,85,2152
6,-1.995332,2.0117388,85,558
7,0.4331006,4.977451,85,751
8,-0.016205706,4.3466096,85,746
9,0.5044009,4.5706944,85,236
10,-2.0795631,3.722115,85,810
11,0.45535168,5.1862307,85,1526
12,0.2924151,5.19377,85,2064
13,0.12486548,4.16133,85,1980
14,0.2906168,3.8909771,85,1775
15,-0.2515484,4.655053,85,302
16,-1.0559981,3.7472742,85,1645
17,-0.34989548,4.93059,85,1323
18,-0.04952958,4.5679865,85,2156
19,-1.0901352,3.9740167,85,2308
20,-0.76942664,3.5917227,85,618
21,-1.0465648,3.9222274,85,325
22,-1.0782611,3.734097,85,2108
23,0.2287678,5.112729,85,1964
24,0.26705313,4.7773714,85,611
25,-2.4290023,2.777731,85,1641
26,-0.030947449,4.904096,85,2056
27,-1.0514861,4.059182,85,598
28,-0.8159943,4.4200835,85,813
29,0.06995187,4.5738792,85,1862
30,-0.8753128,4.2713614,85,1060
31,-1.0774957,4.114027,85,1614
32,0.7449321,4.0882473,85,797
33,-0.29319686,3.5983055,85,1394
34,-0.7575715,3.6899097,85,954
35,-0.8579489,3.9445412,85,227
36,-0.2590439,4.881924,85,1021
37,0.39210993,4.4940405,85,1434
38,-0.4257829,4.8709993,85,671
39,0.17770612,5.1510634,85,1796
40,-0.44693178,4.5961494,85,1859
41,-0.084429525,4.7990794,85,387
42,-0.17705642,4.5300817,85,1827
43,0.23161831,5.122319,85,2010
44,-1.4340287,2.921772,85,1146
45,0.5921285,4.622447,85,1722
46,0.058085985,5.1210437,85,2037
47,-1.7950053,2.5897675,85,1880
48,-1.3692486,3.1409264,85,1587
49,-0.35654494,4.6214504,85,2146
50,-0.5796546,4.775754,85,1193
51,-0.4669978,2.1226923,85,1159
52,0.10541473,4.5395513,85,1041
53,-0.5463311,4.7500806,85,1751
54,0.35926238,5.2030473,85,556
55,0.236838,4.825978,85,1619
56,-0.66447294,4.4167547,85,1379
57,-1.3619134,3.5811296,85,1708
58,-1.0533828,4.072909,85,1065
59,-0.46476668,4.830663,85,1027
60,0.6083534,2.3466516,85,1303
61,-0.17649685,5.0126696,85,750
62,-0.2259618,4.812804,85,662
63,-1.9813119,3.7389834,85,1802
64,0.42454973,4.506555,85,931
65,0.77339184,2.6242812,85,512
66,0.4495532,5.0433393,85,2119
67,0.24121276,4.918815,85,2323
68,0.28694737,4.9173226,85,1155
69,-1.2462797,1.3346927,85,1667
70,-0.4590382,4.8312535,85,516
71,0.4646019,5.177225,85,2135
72,-0.25741437,4.8693786,85,256
73,0.48582053,5.121834,85,1890
74,0.7490905,2.525312,85,1643
75,-1.6290463,3.043962,85,550
76,-0.7320369,4.2861786,85,1031
77,0.20864011,5.1868186,85,1624
78,-1.5699933,3.2689455,85,1970
79,0.026188493,5.037394,85,743
80,-2.4405339,2.6448817,85,1475
81,0.087805204,5.02487,85,2433
82,-0.32399496,4.9562902,85,1682
83,0.2344394,4.0549974,85,1225
84,-1.3900204,3.1649137,85,1800
85,-0.27746126,3.6557493,85,1998
86,-0.8684231,4.388674,85,1480
87,0.2969092,5.162744,85,326
88,-0.47986218,3.6665967,85,1245
89,0.56700414,3.9040766,85,1237
90,0.4502437,5.163167,85,2150
91,-0.20420949,5.0105963,85,845
92,-0.54624295,3.5773516,85,800
93,-0.75911987,4.030199,85,1777
94,-0.27530628,4.6735277,85,1214
95,0.41985926,5.188922,85,482
96,0.6934531,3.2870023,85,1714
97,-0.4231882,4.8860106,85,503
98,0.505214,5.0886807,85,560
99,0.116597086,4.7913857,85,811
100,0.29460445,5.2110224,85,2226
101,-2.2474241,0.36602286,85,1611
102,-1.8089783,2.6441739,85,2265
103,0.046489604,4.4601336,85,665
104,-1.5604658,3.185475,85,2182
105,-1.1865239,3.7685304,85,971
106,0.0096125165,4.400625,85,2275
107,-2.6971245,2.2777689,85,1728
108,-0.21519609,4.529118,85,511
109,-0.29496986,4.4619393,85,1630
110,-0.04396,4.288959,85,715
111,0.5856596,4.5478106,85,1425
112,-0.4558119,3.6638675,85,1254
113,0.25173151,4.402576,85,490
114,-0.17643164,4.2400064,85,1493
115,-0.053389076,4.066635,85,1113
116,-0.8129882,4.014061,85,1129
117,-0.48662087,3.2808213,85,1353
118,0.0685827,4.8672547,85,306
119,0.7365009,3.4158466,85,938
