,PCA01 (50.64),PCA02 (15.65),PCA03 (9.97),PCA04 (5.49),PCA05 (3.97),PCA06 (3.39),PCA07 (2.19),PCA08 (1.47),PCA09 (1.37),PCA10 (1.06),PCA11 (0.91),PCA12 (0.65),gene_ID,ndimage_ID
0,-0.22384013,0.052199207,0.026529545,-0.0522048,-0.027420182,0.0032048426,0.022395287,0.01029042,0.021000866,0.008031458,-0.012175961,0.0016669314,85,742
1,-0.10322075,-0.18140885,-0.015879922,0.13838023,0.13756217,-0.039694875,-0.06213939,-0.061229154,-0.10957612,-0.030946942,0.01623629,-0.016793745,85,842
2,-0.09190422,-0.19470245,-0.016597632,0.14079276,0.14225517,-0.035893183,-0.05631877,-0.062694326,-0.10462002,-0.029428476,0.007967984,-0.013117209,85,2052
3,-0.1595464,-0.014365631,-0.026778046,0.024225473,-0.033443592,-0.048653908,-0.042863753,0.040147077,0.026694827,0.013008819,0.05590111,-0.015092628,85,1145
4,0.09899189,-0.37980613,-0.053086627,0.1783198,0.18814501,-0.029750895,-0.0033404562,-0.05344673,-0.063495286,-0.03384982,-0.05468886,0.018462036,85,896
5,-0.09957894,-0.18446931,-0.02891626,0.15285806,0.13154283,-0.061400004,-0.080206014,-0.042323004,-0.112149045,-0.037490882,0.036602225,-0.0182862,85,2152
6,-0.21248034,0.023250708,0.02152819,-0.024212701,-0.0018323064,-0.0047098547,0.006979915,-0.002658662,-0.0055309697,-0.00034679915,-0.0051227026,-0.003151185,85,558
7,-0.14948183,-0.04079664,-0.028773548,0.043295924,-0.010919544,-0.056209013,-0.048645012,0.03797307,0.007914488,0.0032058829,0.05430249,-0.013665176,85,751
8,-0.06958544,-0.17629007,-0.059957676,0.14242008,0.072540335,-0.0892839,-0.082194276,0.02218073,-0.050294876,-0.024912123,0.05549706,-0.010051125,85,746
9,0.017784994,-0.27564123,-0.10879249,0.21757653,0.09185886,-0.13192758,-0.120774664,0.04447973,-0.051285233,-0.029508846,0.086114205,-0.012644446,85,236
10,-0.21270026,0.022770409,0.02084382,-0.022199027,-0.0011840266,-0.0066790166,0.0042138025,-0.0022882689,-0.008044837,-0.0014075626,-0.0018797824,-0.0044194683,85,810
11,-0.07049392,-0.24396892,-0.05020222,0.21853283,0.16977632,-0.09380124,-0.12761936,-0.047269,-0.15624525,-0.053353734,0.07468909,-0.03161201,85,1526
12,-0.15720716,-0.084403634,-0.007452272,0.076240234,0.06989969,-0.04239563,-0.050349236,-0.022432998,-0.07177071,-0.023656754,0.02946041,-0.016030135,85,2064
13,-0.16769853,-0.04471248,-0.0078825625,0.041454535,0.024907276,-0.04028139,-0.036734182,0.007594809,-0.027505446,-0.010279783,0.031440597,-0.011079151,85,1980
14,-0.094668224,-0.15345949,-0.015995499,0.08903694,0.090709254,-0.02756161,-0.020313827,-0.02613592,-0.045454595,-0.017151944,-0.013192721,0.003341935,85,1775
15,-0.2178907,0.03728195,0.023158215,-0.03670341,-0.014900137,-0.0026163848,0.012477562,0.0052525946,0.006979159,0.0032595342,-0.0057348507,-0.0015036807,85,302
16,-0.13239048,-0.13989612,-0.018515076,0.12783286,0.11358395,-0.057659704,-0.078153975,-0.041369777,-0.11352992,-0.03701746,0.04304963,-0.023475,85,1323
17,-0.1733191,-0.054839294,0.00085631834,0.049539898,0.05135578,-0.032484837,-0.03582562,-0.017664649,-0.055665128,-0.018020177,0.02125278,-0.013144023,85,2156
18,-0.17983545,-0.019092236,-0.0011510123,0.016051037,0.0068361047,-0.030667687,-0.020950839,0.0131368255,-0.009684057,-0.00430654,0.020795953,-0.006861247,85,2308
19,-0.12977654,-0.11719631,-0.02323074,0.10085602,0.07517216,-0.057530895,-0.062250793,-0.0094599575,-0.06785759,-0.025444377,0.038459036,-0.013877132,85,618
20,-0.16295378,-0.0677226,-0.006652059,0.06200819,0.053280454,-0.040939946,-0.044675797,-0.012190676,-0.056385554,-0.0189871,0.029533258,-0.014324509,85,2108
21,-0.09828885,-0.20026284,-0.021899756,0.16276799,0.15570103,-0.0506861,-0.07903472,-0.06799708,-0.13195829,-0.038838737,0.02650458,-0.021047113,85,1964
