,PCA01 (39.03),PCA02 (26.82),PCA03 (7.41),PCA04 (7.29),PCA05 (3.99),PCA06 (3.10),PCA07 (2.82),PCA08 (1.64),PCA09 (1.47),PCA10 (1.16),gene_ID,ndimage_ID
0,-1.9368149,0.2186464,-0.31019887,-0.15298435,0.23738365,0.019337837,0.2613963,-0.22350053,0.032866593,-0.17873791,85,742
1,-0.7341439,-1.3526089,-0.45231146,0.90972334,0.81725365,0.19390446,0.06765008,-0.2824838,-0.13993584,0.010404663,85,842
2,-1.7302037,-0.5551122,-0.29014882,0.65053236,0.87290144,-0.18649322,0.51938826,-0.49892128,0.23147437,-0.0651652,85,2052
3,-0.81950635,0.023468474,-1.2921937,-0.0162286,0.48104393,0.6525222,-0.40206635,-0.12129523,-0.41727445,0.11753088,85,1145
4,-0.6980829,-1.450644,-0.12096202,0.8532258,0.46851614,-0.025163274,0.17528273,-0.06293077,-0.043883085,0.040029105,85,896
5,-1.1375482,-1.4588536,-0.6037728,1.3791615,1.3746487,0.1424691,0.5797794,-0.55723846,0.05815404,-0.17536949,85,2152
6,-1.9836569,0.47210518,-0.28302643,-0.43681782,-0.015494892,0.052515004,0.1255035,-0.099315,-0.030222801,-0.15826777,85,558
7,-0.85570085,-1.404819,-0.8614481,1.2269703,1.1725029,0.42611584,0.4298824,-0.34256187,-0.12643337,-0.21754068,85,751
8,-1.330456,-0.56408674,-0.4736826,0.41661352,0.48557326,0.15425633,0.20736958,-0.127695,-0.06226008,-0.079625905,85,746
9,-0.41646513,-1.1827042,-1.2938514,0.94844514,1.0474521,0.76240075,-0.004348704,-0.23394269,-0.42202434,-0.056261785,85,236
10,-2.0218563,0.22982702,-0.27762803,-0.10466243,0.34708223,-0.07689772,0.35627848,-0.3585802,0.13115285,-0.17493165,85,810
11,-1.0510259,-2.2184467,-0.4042719,2.1600058,1.9057603,-0.2006012,0.93984926,-0.7899337,0.35554978,-0.10106901,85,1526
12,-1.5925672,-1.1813312,-0.48758563,1.3573521,1.5877755,-0.104312226,0.86266184,-0.8734151,0.29585692,-0.2238395,85,2064
13,-1.1247163,-0.5584608,-0.6351146,0.3398996,0.46424824,0.32590562,0.022866236,-0.10529067,-0.2087954,-0.04147294,85,1980
14,-0.7078155,-0.5675569,-0.89320844,0.2587376,0.13394949,0.505256,0.06531183,0.21995968,-0.2084694,-0.16809759,85,1775
15,-1.5725058,-0.52573603,-0.44904995,0.5193172,0.741041,0.08974998,0.3736265,-0.3675114,0.0342864,-0.17590186,85,302
16,-1.8597654,-0.015940303,-0.2700766,0.06343269,0.34671706,-0.059537333,0.31166938,-0.22543927,0.093011245,-0.118328385,85,1645
17,-1.8667172,-0.42130125,-0.28481874,0.57294506,0.8932707,-0.19655603,0.58857286,-0.58887017,0.27298325,-0.13323292,85,1323
18,-1.4437237,-0.6174697,-0.38605124,0.58779275,0.7020129,0.018071124,0.26400653,-0.2914963,-0.010790151,-0.031629294,85,2156
19,-1.9052528,-0.02836844,-0.22559421,0.096729785,0.40130433,-0.12634152,0.35695106,-0.29937762,0.14876688,-0.11395277,85,2308
20,-1.7866914,-0.14434755,-0.013618661,0.060795326,0.16438255,-0.26751763,0.19144338,-0.09824859,0.1686332,0.04429621,85,618
21,-1.8772985,-0.07003996,-0.24412856,0.13580884,0.4043071,-0.1107393,0.3667497,-0.26038745,0.14053513,-0.113126434,85,325
