,PCA01 (39.04),PCA02 (25.32),PCA03 (9.55),PCA04 (6.39),PCA05 (3.89),PCA06 (3.42),PCA07 (2.49),PCA08 (1.80),PCA09 (1.30),PCA10 (1.20),PCA11 (0.84),PCA12 (0.75),gene_ID,ndimage_ID
0,-1.2992975,0.09396511,-0.022610668,-0.26133966,0.009188501,-0.056546517,-0.0032900795,-0.077594616,0.047340453,0.035432093,-0.0144716315,0.08018747,85,742
1,-0.8709104,-0.6779491,-0.123528294,0.35076463,0.29997528,0.1287416,-0.39422068,-0.23660262,0.0105932895,0.113467865,0.19279626,0.09502119,85,842
2,-1.1042057,-0.35927078,-0.06115622,0.14510512,0.17437802,0.05274954,-0.31948408,-0.15680002,0.03149321,0.10847422,0.17876981,0.05547239,85,2052
3,-0.8713896,-0.054964274,-0.31959853,-0.34788957,0.24305472,0.0123913195,0.17458175,-0.21242867,0.008969268,-0.045736983,-0.11381802,0.1347466,85,1145
4,-0.5474952,-0.91705644,-0.0513258,0.46935967,0.18437345,0.0966088,-0.3426402,-0.11438233,-0.0047944044,0.044488,0.13605493,0.045760076,85,896
5,-0.8405528,-0.64727896,-0.30009645,0.2350718,0.54311275,0.1143477,-0.29780614,-0.4552564,0.13472667,0.15326145,0.14153793,0.27055857,85,2152
6,-1.3552008,0.18346794,0.027112003,-0.31163663,-0.084234126,-0.08306829,0.025951488,0.0036136415,0.02768149,0.014306859,-0.030847346,0.024076985,85,558
7,-0.821911,-0.47443575,-0.28976735,0.049148403,0.4146484,0.041989084,-0.10695209,-0.32191965,0.11488421,0.07771974,0.017509295,0.18878272,85,751
8,-0.9464225,-0.37431988,-0.13398306,0.05578135,0.20027733,0.00255276,-0.14405997,-0.14044936,0.0682998,0.053594954,0.041634414,0.062375464,85,746
9,-0.5523916,-0.42141414,-0.5114936,-0.17154528,0.5333711,0.061333243,0.1422188,-0.39479223,0.076855555,-0.014492384,-0.11752994,0.2327787,85,236
10,-1.354488,0.12519573,0.017609091,-0.24744152,-0.036340695,-0.058828697,-0.059940297,-0.04566949,0.03619332,0.050882418,0.043869246,0.051467583,85,810
11,-0.8188006,-1.0449338,-0.21881798,0.71846473,0.600524,0.22912624,-0.78287745,-0.46245256,0.09296146,0.27532288,0.47075343,0.17715624,85,1526
12,-1.122645,-0.43323147,-0.15414263,0.20082957,0.38588306,0.09366923,-0.43435684,-0.37710083,0.116530865,0.20899065,0.28847194,0.21991472,85,2064
13,-0.95224947,-0.35538712,-0.17882717,0.01627666,0.25838307,0.02284163,-0.10757058,-0.20303905,0.06757394,0.051464822,0.013398443,0.109142035,85,1980
14,-0.6616039,-0.446655,-0.39279065,-0.06044107,0.43046534,-0.0011277287,0.04769757,-0.26238334,0.11979001,0.036212146,-0.09402125,0.11880312,85,1775
15,-1.2244117,-0.10771627,-0.0485534,-0.078905806,0.10545687,0.0026403952,-0.15789917,-0.14382228,0.041731317,0.07769211,0.085839175,0.09445595,85,302
16,-1.2769282,0.011144882,-0.032591075,-0.1798333,0.052796695,-0.03766636,-0.07959471,-0.10389999,0.056670696,0.061794605,0.037246335,0.081503995,85,1645
17,-1.1914668,-0.28214186,-0.066815145,0.10404227,0.20096312,0.052348144,-0.34964737,-0.20859703,0.053657863,0.14195625,0.22700945,0.09849353,85,1323
18,-1.1184999,-0.29389,-0.09472667,0.0707845,0.20384333,0.042337082,-0.25646925,-0.19441026,0.058746953,0.09966702,0.14012137,0.09827653,85,2156
19,-1.2384937,-0.06788996,-0.02915356,-0.10635266,0.059371755,-0.024406126,-0.12660976,-0.088806115,0.04608803,0.06340379,0.058949955,0.052179188,85,2308
20,-1.185727,-0.19589005,0.03639327,0.04090944,-0.020751446,0.010236884,-0.22978587,0.011822646,-0.03116829,0.044930074,0.11218806,-0.057596773,85,618
21,-1.2709265,-0.01267377,-0.03424867,-0.15588558,0.06354805,-0.03308003,-0.10060092,-0.109036796,0.05932446,0.06886425,0.05007566,0.07997982,85,325
22,-1.2402225,-0.07977991,-0.064302735,-0.107399724,0.12848091,-0.009706653,-0.14593597,-0.16711111,0.06957866,0.091604374,0.085002676,0.115572646,85,2108
23,-1.0855663,-0.44195947,-0.15364411,0.18995512,0.36211666,0.08728591,-0.38538942,-0.34158963,0.10150921,0.17753124,0.2374638,0.19385435,85,1964
24,-0.9385757,-0.27706274,-0.2533739,0.09491558,0.30674583,0.14260542,-0.19605584,-0.27522218,0.13401932,0.00065136794,0.10105312,0.16010736,85,611
25,-1.3232137,0.0947189,-0.0010770002,-0.23835082,-0.01137228,-0.0574898,-0.041288745,-0.05728334,0.044066697,0.04510576,0.016263485,0.05792247,85,1641
26,-1.1350423,-0.25424096,-0.10041433,0.023660172,0.20363489,0.03167663,-0.21776007,-0.20220852,0.059501026,0.09765909,0.11476069,0.11220658,85,2056
27,-1.2644883,-0.060185947,-0.01902602,-0.096431695,0.056759924,-0.016601015,-0.15941596,-0.0964426,0.041093774,0.075819544,0.0912399,0.056209516,85,598
28,-1.1906686,-0.26194024,-0.020334229,0.09977999,0.110298514,0.03645673,-0.3230696,-0.112236716,0.019546567,0.10821693,0.19492306,0.022902826,85,813
29,-0.79386103,-0.54215014,-0.19936027,0.14065088,0.3015285,0.01440793,-0.1501172,-0.19770066,0.10306353,0.0625038,0.026472384,0.09949642,85,1862
30,-1.2610941,-0.039069846,-0.038447183,-0.13021098,0.0762438,-0.014324584,-0.13250117,-0.12400372,0.04471921,0.071791776,0.07952883,0.0841677,85,1060
31,-1.3222865,0.038790986,-0.008672519,-0.17607228,0.031444557,-0.03505522,-0.122002125,-0.09995621,0.051132143,0.078221075,0.084673464,0.079751134,85,1614
32,-0.46516898,-0.8259573,-0.42187792,0.2690441,0.5507555,0.05384185,-0.17353015,-0.29544514,0.14593607,0.07291367,0.02768389,0.09041018,85,797
33,-1.0645975,-0.012713653,-0.21243337,-0.3181262,0.204479,0.01050518,0.116619535,-0.24232191,0.027423277,-0.014018646,-0.08550963,0.19294178,85,1394
34,-1.2303039,-0.05889886,-0.06602696,-0.13711289,0.11229993,-0.019406524,-0.10325732,-0.14824758,0.06608135,0.0726577,0.049511325,0.10550163,85,954
