,tSNE01,tSNE02,gene_ID,ndimage_ID
0,2.2688842,0.68240935,85,742
1,1.183592,-1.5887094,85,842
2,1.7414417,-1.3189921,85,2052
3,1.1007566,0.05357113,85,1145
4,0.44748712,-1.5668455,85,896
5,1.1570579,-1.5981157,85,2152
6,2.1553302,1.3520477,85,558
7,1.334915,-1.252045,85,751
8,1.4816724,-1.0743729,85,746
9,0.8675273,-0.77942127,85,236
10,2.4404469,0.6770635,85,810
11,1.0567585,-1.7404115,85,1526
12,1.5910043,-1.5678254,85,2064
13,1.5074179,-1.0766683,85,1980
14,0.9329851,-1.0071677,85,1775
15,2.3087778,-0.59099334,85,302
16,2.4198718,-0.04702402,85,1645
17,1.9478282,-1.2777128,85,1323
18,1.8777778,-1.2048708,85,2156
19,2.3408496,-0.2982618,85,2308
20,1.7420312,-0.7359609,85,618
21,2.4164379,-0.13141762,85,325
22,2.3341923,-0.57371366,85,2108
23,1.591343,-1.5382278,85,1964
24,1.5915054,-1.250595,85,611
25,2.4102945,0.5915878,85,1641
26,1.9451925,-1.1171972,85,2056
27,2.3918667,-0.4473894,85,598
28,1.8913776,-1.2094113,85,813
29,1.2251508,-1.2732835,85,1862
30,2.4082167,-0.3383539,85,1060
31,2.4815052,-0.08394221,85,1614
32,0.4704593,-1.4481863,85,797
33,1.627702,0.0026692555,85,1394
34,2.3170717,-0.38957173,85,954
35,2.305938,-0.21676894,85,227
36,2.0594127,-1.0425792,85,1021
37,1.2656845,-1.0142982,85,1434
38,2.1061716,-1.1146001,85,671
39,1.2576091,-1.6226056,85,1796
40,1.7466261,-1.2449015,85,1859
41,1.6596575,-1.3204615,85,387
42,1.6324095,-1.3940505,85,1827
43,1.3525776,-1.5317812,85,2010
44,2.4292397,0.4325009,85,1146
45,-0.346972,-0.04740289,85,1722
46,1.6479627,-1.4741659,85,2037
47,2.2229714,1.1455324,85,1880
48,2.4164622,0.19641973,85,1587
49,2.1946075,-0.9249965,85,2146
50,2.4006064,-0.590475,85,1193
51,1.377416,1.4637978,85,1159
52,1.3609533,-1.2565422,85,1041
53,1.6645924,-1.515626,85,1751
54,1.1306425,-1.7279377,85,556
55,0.56585264,-1.502989,85,1619
56,1.7959467,-0.63221484,85,1379
57,2.4394822,0.15245065,85,1708
58,2.3173687,-0.5426679,85,1065
