ndimage_cellID,orig_cellID
2529,2530
1287,1288
1889,1890
2320,2322
2576,2577
469,470
2201,2201
1825,1826
775,775
814,815
464,465
1966,1966
1834,1838
1442,1443
2288,2288
1856,1857
1329,1330
705,706
1089,1089
1501,1502
1049,1050
1702,1703
1343,1344
1328,1329
1935,1936
1023,1024
2066,2066
782,783
308,309
2223,2224
1219,1220
2370,2371
1364,1365
867,871
1910,1911
586,587
1429,1430
235,236
2536,2537
1636,1637
1694,1694
1224,1225
364,365
1830,1831
1151,1152
2437,2438
467,468
1247,1248
1462,1463
897,897
693,693
2330,2331
1594,1595
1273,1274
2250,2251
2252,2253
1544,1545
1870,1871
1035,1037
703,705
