ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,nuclei_volume,cyto_volume,total_volume,number_nuclei,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
169,7546,8030,2873,3274,484,401,109932,3144,106788,0.9714005021285884,50304,4456908,4507212,1,7789.81,3044.15,7789.38,3043.66,169
188,7823,8444,2945,3685,621,740,236885,0,236885,1.0,0,9712285,9712285,0,8140.63,3270.25,8140.11,3270.17,188
199,7234,7567,2994,3402,333,408,102388,0,102388,1.0,0,4197908,4197908,0,7409.51,3189.6,7409.04,3189.21,199
209,8633,8941,3024,3292,308,268,42671,0,42671,1.0,0,1749511,1749511,0,8798.83,3143.15,8798.15,3142.66,209
224,6094,6532,3110,3429,438,319,79031,0,79031,1.0,0,3240271,3240271,0,6297.68,3275.99,6297.28,3275.46,225
227,5826,6141,3123,3504,315,381,74991,0,74991,1.0,0,3074631,3074631,0,5987.6,3290.28,5987.13,3290.01,228
233,8463,8898,3142,3490,435,348,89384,1005,88379,0.98875637698022,21105,3643639,3664744,1,8697.72,3315.05,8697.11,3314.48,234
235,8871,9334,3152,3701,463,549,142872,6174,136698,0.9567864942046028,154350,5703402,5857752,1,9124.86,3405.09,9124.13,3404.81,236
236,7558,8023,3155,3652,465,497,131025,6763,124262,0.9483838962030148,87919,5284106,5372025,1,7778.17,3415.52,7777.69,3414.96,237
243,8376,8596,3205,3527,220,322,37872,0,37872,1.0,0,1552752,1552752,0,8473.29,3379.18,8472.9,3378.49,244
256,5396,5848,3264,3707,452,443,111129,0,111129,1.0,0,4556289,4556289,0,5623.2,3491.47,5622.65,3490.89,256
261,5145,5561,3280,3726,416,446,92740,0,92740,1.0,0,3802340,3802340,0,5353.36,3516.46,5353.01,3515.73,261
271,9607,9942,3327,3723,335,396,95272,0,95272,1.0,0,3906152,3906152,0,9777.48,3520.06,9776.91,3519.55,271
272,6005,6504,3329,3709,499,380,106784,0,106784,1.0,0,4378144,4378144,0,6262.35,3522.75,6261.7,3522.21,273
274,7002,7340,3331,4028,338,697,142927,0,142927,1.0,0,5860007,5860007,0,7178.59,3669.85,7178.07,3669.57,274
276,9174,9490,3341,3931,316,590,120463,6474,113989,0.9462573570307896,164826,4774157,4938983,1,9343.31,3642.94,9342.85,3642.34,277
282,7271,7746,3371,3880,475,509,134144,0,134144,1.0,0,5499904,5499904,0,7470.9,3623.71,7470.75,3623.55,283
290,9335,9758,3413,4082,423,669,149003,829,148174,0.9944363536304638,33989,6075134,6109123,1,9553.94,3772.0,9553.24,3771.78,290
291,8788,9036,3418,3779,248,361,58158,0,58158,1.0,0,2384478,2384478,0,8910.37,3605.68,8909.87,3605.15,291
293,8510,8816,3422,3653,306,231,50851,2591,48260,0.9490472163772592,51820,2033071,2084891,1,8670.98,3543.0,8670.37,3542.41,293
294,8192,8511,3426,3668,319,242,42104,1074,41030,0.9744917347520424,44034,1682230,1726264,1,8341.29,3537.62,8340.96,3537.1,294
301,10064,10339,3471,3936,275,465,71585,3190,68395,0.9554375916742336,66990,2867995,2934985,1,10204.26,3695.63,10203.78,3695.24,302
