gene_ID,ndimage_ID,PCA01 (42.92),PCA02 (22.11),PCA03 (7.87),PCA04 (6.69),PCA05 (3.68),PCA06 (2.66)
85,169,-0.5926033,0.6577959,0.7118908,0.27560318,-0.0049152765,-0.24684386
85,188,0.54023993,0.7860599,0.020019663,0.42823595,0.35335246,-0.3126458
85,199,-0.8287396,-0.40870446,-0.2967272,-0.10184665,0.065749794,-0.26750824
85,209,-0.9388977,0.02890414,0.58613783,-0.0039129974,0.057324354,0.16734102
85,224,-0.6239493,0.6450099,0.6241621,0.10717578,-0.15365626,-0.02081663
85,227,-0.6011947,0.74859846,0.71939886,0.120514944,-0.043105427,-0.12567322
85,233,-0.6617799,0.029064639,0.54508126,-0.008579788,0.13659401,0.07678523
85,235,-0.011874477,0.35923168,0.216798,-0.55432886,0.45631534,-0.21739016
85,236,-1.4081687,0.85333955,-0.70090646,-0.15793143,1.7504916,1.0604055
85,243,-0.97051114,-0.14070728,0.18287973,-0.09919455,0.13104765,0.013186286
85,256,-0.5175347,0.58136976,0.41992927,-0.34182024,0.24924396,0.11786468
85,261,-0.64180845,1.3552907,-0.1507758,0.1657841,-0.19906287,0.3092661
85,271,-0.5734775,0.94183797,0.6060909,0.213307,0.314546,-0.19362417
85,272,-0.58178526,0.58646,0.45432743,-0.24794576,0.12927993,0.118115775
85,274,-0.6144176,0.05577267,0.3568817,-0.26338723,0.2624698,-0.005535699
85,276,-0.27440012,1.1010858,0.29379314,-0.1855163,0.1637276,-0.25993863
85,282,-0.72110057,0.016748868,0.38751775,-0.23131049,0.22065136,0.05329249
85,290,-0.19441213,1.0200808,-0.23214264,0.653107,-0.004078849,-0.5360462
85,291,-0.69815934,0.74778324,0.81745017,0.35018972,0.11392326,-0.21304718
85,293,-0.7713884,0.8540386,0.78813,0.5249562,-0.014891809,-0.27577242
85,294,-0.7035422,0.3905664,0.8365285,0.295415,-0.06587868,-0.021119535
85,301,-0.320565,0.51226497,0.6764181,-0.16425367,0.23446472,-0.010714327
85,302,-0.77856266,1.0058264,0.3065812,0.28351858,-0.38347533,0.0729725
85,303,-0.37445426,-0.37949955,0.30333838,0.19207917,-0.15001245,0.105569
85,304,-0.54569006,0.0445419,0.45348907,-0.22226252,0.31919828,0.00543886
85,305,-0.6326144,0.49604043,0.7806599,0.09544084,0.29772657,-0.07797643
85,306,-1.2480009,0.5409434,-0.35862422,-0.48875812,0.81035125,0.053009283
85,308,-0.880057,1.1432025,0.3363611,0.75303227,-0.18494506,-0.24094078
85,314,-0.61112297,0.7950762,0.69169587,0.15683395,0.06965026,-0.10779928
85,320,-0.17848703,0.31045726,0.42404088,-0.14094347,0.37507334,-0.36432335
85,324,-1.3506569,-0.12522578,-0.11176349,0.15111572,-0.2151679,-0.18398
85,325,-1.0554489,1.2102326,-0.05718452,1.0187399,0.2778273,-0.35641545
85,326,-1.3109305,-0.010814814,-0.2735507,0.1326001,-0.1794276,-0.12104032
85,331,-1.6310349,0.39855993,0.07199998,-0.052186437,0.23197077,-0.041890074
85,333,-0.6155743,0.72595966,0.5967982,0.60289925,-0.08500224,-0.37054226
85,336,-1.2639623,-0.14234495,0.13251288,0.099522725,-0.056987368,0.0053801727
85,340,-1.2418576,1.1084888,-0.2999695,1.0187296,0.4419323,-0.013895362
85,341,-0.57593685,-0.1852441,0.2672807,-0.1336865,0.2611855,0.02120992
85,344,-0.81485033,1.196676,-0.72171634,0.019846046,1.0425262,-0.21413627
85,356,-0.7816204,0.22325453,0.5917373,-0.14279194,0.026955906,0.119462594
85,364,-0.33172315,0.2279142,0.39436415,-0.28407636,0.2749194,-0.10555539
85,366,0.45513418,-0.738376,-0.30584306,-0.31062466,0.48893553,-0.24409065
85,367,-0.63403535,0.40645012,0.77858627,0.10454801,0.20207861,-0.017544115
85,369,-0.8519127,-0.16603342,0.033388674,-0.26221487,0.11673668,-0.09121286
85,372,-0.5737192,0.085121535,0.57629645,-0.005936258,0.17077808,0.028251164
85,373,-0.7827872,0.7746919,0.3617344,-0.20644027,0.1073041,0.447069
85,375,-0.5721641,0.8838382,0.55308306,0.3660577,-0.1419245,-0.21234813
85,377,0.048102323,-0.54933935,0.23912805,0.5006178,-0.22876562,0.0073536295
85,383,-1.280294,0.941338,-0.731869,-0.048084486,1.2228358,0.64531326
85,385,0.41534093,1.8676236,0.29671407,1.179086,0.040813137,-0.89983124
85,386,-0.8726298,1.111675,0.40450442,0.78957444,-0.15446536,-0.33336422
85,387,-0.5206538,-0.06370617,0.2148681,-0.36708695,0.27519402,-0.08584546
85,393,-0.7236371,1.2972611,-0.06809341,0.4133622,-0.08974152,0.0472773
85,395,-0.70876026,0.11809692,0.6541292,-0.040748976,0.21971096,0.06988232
85,397,-0.67854255,0.9032281,0.57054615,0.16195232,-0.12842336,0.032271467
85,398,-0.80101866,0.71958846,0.5269022,0.004555108,-0.37322146,0.13184763
85,401,-0.025999004,0.0032444417,0.078165755,-0.66137534,0.54700655,-0.106062606
85,405,-0.5798399,0.7892543,0.4715611,-0.06587464,-0.13311909,-0.0090274075
85,406,0.0072748647,0.3058593,0.34833756,-0.5962309,0.29609072,-0.07659529
85,407,-0.7761025,-0.17455176,-0.17564936,-0.39125845,0.065974005,-0.20814936
85,422,-0.8581416,-0.13104662,0.559689,0.21982898,0.09658292,0.17065358
85,424,-0.65574163,0.5585049,0.6049551,-0.13838191,-0.044410724,0.07414875
85,426,-0.6906293,0.47830704,-1.4129131,0.4158215,1.9259163,1.0802824
85,427,-0.71218693,0.27707183,0.70942026,-0.006098938,-0.02077556,0.055394527
85,428,0.23325108,-0.694238,-0.7661754,-0.66044253,0.38874677,-0.5506727
85,433,-0.33426487,-0.4398086,0.0094205,-0.14711341,0.26722822,-0.079506665
85,434,-0.1656546,-0.70292574,0.03964891,-0.02098673,0.30995172,0.020212445
85,437,-0.49932864,-0.25942698,0.22626653,-0.14370741,0.23767893,-0.018431734
85,439,0.10118321,0.14852013,-0.12191803,-0.89004797,0.46388838,-0.23757252
85,442,-1.1021036,0.817196,-0.37378192,-0.30128652,0.66302407,-0.059820905
85,447,0.0006207126,-0.37338856,-0.33526683,-0.73463726,0.481765,-0.38450855
85,453,-1.0720484,-0.14233518,0.0662783,-0.12255987,0.059775144,-0.07910715
85,455,-0.61081165,0.17717756,0.5162345,-0.1743631,0.10384955,0.071964756
85,461,-0.7789821,0.19708732,0.79419035,0.08583697,0.17233695,0.09616477
85,464,-0.26413187,-0.18389599,0.18157342,-0.36425266,0.3558254,-0.08885703
85,465,-0.9281419,-0.055884644,0.61497146,0.13812225,0.11918771,0.18663017
85,466,-0.7133616,0.79798543,0.50205404,0.08538685,-0.32136974,0.07719003
85,467,-0.79822373,0.30334833,0.9080981,0.22381863,0.16287483,0.04293641
85,468,-0.5842056,1.2939714,-1.5718898,-0.42936498,2.4406948,1.6313486
85,469,-0.59091777,0.44978264,0.3338907,-0.478695,-0.029177392,0.05058152
85,471,-0.8298978,1.0847224,0.17672186,0.4716295,-0.34277874,0.098639116
85,474,-0.98737246,-0.25369647,0.32750133,0.19480492,-0.014974383,0.16372374
85,475,-1.3662505,1.1038593,-0.788157,0.230288,1.7769401,1.64955
85,476,-0.738867,0.55993533,0.87739605,0.30804175,-0.08547995,-0.06957712
85,480,-1.54056,0.5397787,-0.17087515,-0.17829253,0.71968776,0.24481457
85,482,-0.71635,1.3353082,-1.8336354,-0.20936625,2.7572732,1.6934767
85,484,-0.75541157,-0.21175127,0.11676215,-0.14388949,0.16320696,-0.03164057
85,485,-1.4647082,0.018324431,0.028044175,0.13163404,-0.19074318,-0.12163208
85,486,-1.1066465,-0.16777484,0.32294393,0.14847846,0.0679523,0.13298653
85,490,-0.6749015,0.21488768,0.11677749,-0.434304,-0.07096248,-0.0013979296
85,492,-0.63480794,0.34044933,0.48226494,-0.019603984,-0.22735144,0.08622737
85,493,-1.3784257,0.8855346,-0.29344913,0.8846017,0.6846883,-0.32888415
85,494,-0.6592551,0.5961523,0.30633754,-0.3349369,-0.21171555,0.10915438
85,495,-0.7761708,0.9385245,0.5948228,0.44278178,-0.30649388,-0.12606797
85,496,-0.78801584,0.32383144,0.8681388,0.14987925,0.10043154,0.08454473
85,497,-0.8347559,-0.09700056,0.53123885,0.06272346,0.22099309,0.12250193
85,498,-0.40256032,-1.0509124,-0.5654148,0.41072905,-0.20316562,-0.15688412
85,500,-0.33426327,0.7949908,0.47771782,-0.14403036,0.47156137,-0.18806829
85,501,-0.82022864,0.111696705,0.4520667,-0.21155429,0.053103745,0.09205197
85,502,-0.44387177,1.3826671,-0.15083179,-0.049188193,-0.11151206,0.20123678
85,503,-0.64633155,0.6845472,-0.51176405,0.17706329,-0.14422445,0.17628579
85,504,-0.6370656,0.7000456,0.7947687,0.21367694,0.08395808,-0.15295099
85,507,-0.4387143,0.67236054,0.60560524,-0.17024812,0.1084991,-0.10994998
85,508,-0.67720586,0.9398272,0.4309275,0.22914307,-0.25718242,0.010050288
85,509,-0.71103364,0.6937137,0.6281383,0.040927555,-0.22514625,0.05427223
85,510,-0.79253924,0.290394,0.7133694,-0.02923792,-0.0664477,0.10235305
85,511,-0.53062433,0.87272596,0.3781966,-0.25225008,0.048142437,0.080648616
85,512,-0.42857432,0.7144799,0.29004744,-0.14811268,-0.24380018,-0.14949964
85,513,-0.66034645,-0.5561836,-0.16341268,0.00046940538,0.014221426,-0.09089565
85,516,-0.5539306,0.3152371,-0.022504095,-0.7258378,0.18582562,-0.07635639
85,522,0.3414008,0.31781006,1.1121172,0.30890182,-0.19537324,0.26149428
85,535,-0.92661214,-0.3102796,-0.03231374,0.027878048,0.035541188,-0.059460934
85,537,-0.7356992,0.4915068,0.49219623,-0.23927125,-0.12169902,0.10190215
85,540,-0.76324874,0.020481417,0.5176573,-0.026863642,0.31343377,0.103284776
85,541,-1.2197747,-0.12492675,0.08897835,0.027221233,-0.03347452,-0.039440386
85,542,-0.6211212,0.3546083,0.27727193,-0.52906036,0.062612146,0.033576556
85,544,-1.1450617,1.1616117,-0.3252959,0.7487201,0.25668854,0.38065603
85,545,-0.5566749,0.2094522,0.36940667,-0.3884939,0.22507115,0.05006529
85,546,-0.67053777,0.49843973,0.18088324,-0.55849636,-0.0520323,0.13093193
85,547,-0.8051878,0.9760372,0.45190245,0.36380118,-0.3879979,0.012507649
85,548,-0.7532757,0.53054553,0.9207097,0.39523914,0.0020549335,-0.12358139
85,549,-1.1014436,-0.3307663,-0.1995653,0.17526302,-0.1582983,-0.16275875
85,550,-1.1820548,0.95348084,-0.2050818,0.114904225,0.1171901,0.9513776
85,552,-1.0316223,-0.09585962,0.56750965,0.18144153,0.13523842,0.20669211
85,553,-0.8278404,0.08111028,0.6084,0.008272311,-0.06320889,0.13625582
85,556,-0.6054735,0.31496575,-0.8957259,-0.8477841,1.4786799,0.2127329
85,558,-1.0505565,-0.13376234,0.1672441,-0.036858104,0.068316855,0.032256372
85,560,-1.3175393,0.8659502,-0.7203987,-0.2207803,1.5573099,0.75152576
85,561,-0.91930556,-0.19650674,0.13787921,-0.05843276,0.1198046,-0.009067292
85,566,-0.8550248,-0.07007763,0.565482,0.09619842,0.0022245552,0.1599737
85,569,-0.79709417,-0.47401237,-0.34956852,0.027498858,-0.005968619,-0.25863472
85,571,-0.8497724,0.1298359,0.72529405,0.03872245,0.066323005,0.14490995
85,572,-0.94620776,0.020389752,0.7531082,0.20188509,0.17959395,0.19359142
85,574,-0.46790785,0.48538196,0.38656527,-0.40136606,-0.10699847,0.07263466
85,577,-0.2870217,0.012747303,0.42931437,-0.090771176,0.072832525,-0.14611427
85,578,-1.0849334,0.93491554,0.026139135,0.33340353,-0.40245342,0.433894
85,579,-0.66411144,0.14129786,0.43526316,-0.12943453,-0.074753076,0.081054226
85,580,-0.9021538,-0.032693863,0.52711755,0.02820435,0.16208664,0.14544266
