Cell.ID..,05G203100 Cytoplasm transcript density,17G195900 Cytoplasm Transcript Density,Cytoplasm Trans Density,Bact
743,0,0.006807939,0.032141145,Infected
843,0,0.011730656,0.031749695,Infected
2053,9.76686E-06,0.009776632,0.03137117,Infected
1146,2.35499E-05,0.006605751,0.031144761,Infected
896,0,0.009232947,0.03106639,Infected
2153,0,0.009133962,0.030896825,Infected
559,0,0.008223581,0.030846304,Infected
752,0,0.01464797,0.030595094,Infected
747,1.3285E-05,0.012780147,0.030236605,Infected
237,1.6348E-05,0.010609863,0.030121221,Infected
811,0,0.006243467,0.030043103,Infected
1527,6.97345E-06,0.008647081,0.029595331,Infected
2065,0,0.008217047,0.029419964,Infected
1981,0,0.0083775,0.029374679,Infected
1776,0,0.013389775,0.029105047,Infected
303,2.89595E-05,0.014986534,0.029017405,Infected
1646,1.7485E-05,0.006801651,0.028990069,Infected
1323,2.02577E-05,0.006077303,0.028796289,Infected
2157,1.19305E-05,0.007814457,0.028716639,Infected
2309,0,0.00913957,0.028473276,Infected
620,0,0.013679212,0.028350698,Infected
326,1.98866E-05,0.016048523,0.028338471,Infected
2109,0,0.007988777,0.028233904,Infected
1965,0,0.007139977,0.028165787,Infected
612,1.10791E-05,0.009583426,0.028140926,Infected
1642,0,0.006753832,0.028089012,Infected
2057,0,0.007875275,0.02806614,Infected
599,0,0.008684515,0.028037237,Infected
814,3.02624E-05,0.008312066,0.027952347,Infected
1863,0,0.012041851,0.027860632,Infected
1061,0.000484562,0.008994685,0.027847181,Infected
1615,0,0.007955757,0.02776899,Infected
798,0,0.012667012,0.027684222,Infected
1395,0.000447037,0.003501788,0.027652418,Infected
955,5.87441E-05,0.007548611,0.027536274,Infected
228,0,0.012011686,0.02748828,Infected
1021,1.94033E-05,0.006024739,0.027475139,Infected
1435,2.9217E-05,0.011268017,0.027454227,Infected
672,0,0.007488698,0.027451519,Infected
1797,8.25273E-06,0.011289737,0.02743208,Infected
1860,8.78094E-05,0.006006164,0.027431662,Infected
387,0,0.00918326,0.027407318,Infected
1828,1.2949E-05,0.007626965,0.027361251,Infected
2010,7.49243E-06,0.010654239,0.027302425,Infected
1147,0,0.012649601,0.027289332,Infected
1723,5.002E-06,0.010759304,0.02727591,Infected
2038,9.28496E-06,0.011076963,0.027251372,Infected
1881,1.94594E-05,0.006713499,0.027223725,Infected
1588,1.67297E-05,0.009870512,0.027219192,Infected
2147,0.000913474,0.007345463,0.027215881,Infected
1194,0,0.005892332,0.027196766,Infected
1160,0,0.008663448,0.027180742,Infected
1042,0,0.00844565,0.027152984,Infected
1751,0,0.005609539,0.027101955,Infected
557,0,0.008411709,0.027083979,Infected
1620,1.10702E-05,0.013018498,0.027077591,Infected
1383,0,0.007722008,0.027061195,Infected
1709,0,0.0059653,0.027016951,Infected
1066,0,0.007446819,0.027012188,Infected
1029,1.97595E-05,0.007380183,0.027011273,Infected
1304,0,0.007518152,0.027005287,Infected
751,0,0.008324117,0.02687811,Infected
664,2.25073E-05,0.010612199,0.026828719,Infected
1803,0,0.006189462,0.026754016,Infected
932,0,0.010943726,0.026736168,Infected
513,8.34425E-06,0.009262118,0.026693257,Infected
2119,1.6407E-05,0.010721991,0.026620399,Infected
2324,2.17693E-05,0.008976192,0.026616549,Infected
1155,0,0.009864232,0.026536173,Infected
1668,0,0.006723811,0.026535954,Infected
517,0,0.009691993,0.026526783,Infected
2136,0,0.009639038,0.026503053,Infected
256,0,0.011139463,0.026495093,Infected
1891,5.95586E-06,0.006706293,0.026485688,Infected
1643,8.45838E-06,0.008678294,0.026457801,Infected
551,0,0.011862082,0.026418999,Infected
1032,0,0.009901982,0.02641363,Infected
1624,8.10774E-06,0.009745498,0.026309602,Infected
1971,0,0.008650412,0.026281562,Infected
744,6.9811E-06,0.011469939,0.026269861,Infected
1476,0,0.007234398,0.026234418,Infected
2434,2.02105E-05,0.006527978,0.026192754,Infected
1683,0,0.006659342,0.026147382,Infected
1226,1.53886E-05,0.015357863,0.026083745,Infected
1801,3.01805E-05,0.007786564,0.026075934,Infected
1999,0,0.007640439,0.025984225,Infected
1481,0,0.0058746,0.025980035,Infected
327,1.68845E-05,0.014731706,0.025968325,Infected
1246,3.69458E-05,0.007610837,0.025948276,Infected
1241,1.62017E-05,0.010377175,0.025914585,Infected
2150,0,0.00742229,0.025897759,Infected
846,0,0.010539831,0.025896431,Infected
801,9.57717E-05,0.018172676,0.025858354,Infected
1778,0,0.009326335,0.025853468,Infected
1215,0,0.006961453,0.025848607,Infected
483,0,0.008497811,0.025834185,Infected
1715,0.000861838,0.007803128,0.025831848,Infected
504,0.00030185,0.007317564,0.02580356,Infected
561,0,0.011732337,0.025781205,Infected
812,2.77367E-05,0.008949704,0.025767382,Infected
2227,0,0.005778541,0.025730127,Infected
1612,0,0.006044023,0.025727937,Infected
2266,0,0.011184774,0.025720627,Infected
666,0,0.012612058,0.025653224,Infected
2183,0,0.007315458,0.025611803,Infected
973,0.000957899,0.004941358,0.025571235,Infected
2276,0,0.009614496,0.025570861,Infected
1729,0,0.004558569,0.025543374,Infected
512,0,0.012731553,0.025540549,Infected
1631,4.29217E-05,0.010269012,0.025516938,Infected
716,0.000210892,0.0127885,0.025467337,Infected
1425,1.42943E-05,0.008905343,0.025436691,Infected
1255,0,0.01031438,0.02541208,Infected
491,1.68821E-05,0.008567642,0.025407491,Infected
1494,0,0.006050122,0.025396743,Infected
1114,0,0.009935451,0.025324038,Infected
1130,1.099E-05,0.006692896,0.025298927,Infected
1354,0,0.005731671,0.025282167,Infected
307,0,0.010923732,0.025270291,Infected
942,5.68269E-05,0.007647283,0.025239282,Infected
682,0,0.010013377,0.025213371,Infected
273,0,0.011111852,0.025184959,Infected
1268,0,0.005865887,0.025177706,Infected
948,3.94762E-05,0.005654959,0.025175916,Infected
1306,0,0.01238596,0.025173491,Infected
2036,0,0.008767466,0.025167326,Infected
503,3.56598E-05,0.012430998,0.025161539,Infected
1656,0.000115043,0.008585111,0.025151354,Infected
1576,2.72569E-05,0.007323012,0.025139919,Infected
707,0,0.010164516,0.025126509,Infected
947,1.02732E-05,0.005331772,0.025097338,Infected
1579,0.000594872,0.002225757,0.025078202,Infected
662,0,0.008535117,0.025070234,Infected
1977,0,0.007590203,0.025066183,Infected
225,0,0.012796698,0.025064499,Infected
2361,3.92687E-05,0.006294212,0.025047824,Infected
1626,0,0.00870462,0.025041254,Infected
2439,0,0.007586017,0.025030413,Infected
1350,0.000129168,0.006652171,0.025026372,Infected
1259,0,0.006360775,0.024997484,Infected
979,0,0.012093212,0.024982983,Infected
1134,4.23974E-05,0.005525799,0.024972088,Infected
1404,0,0.007554214,0.024966823,Infected
399,3.75834E-05,0.012007893,0.02495537,Infected
345,7.79579E-05,0.010125859,0.024946512,Infected
1151,5.3616E-05,0.007590496,0.024939108,Infected
1091,1.26374E-05,0.014065462,0.024933653,Infected
1039,0,0.008843441,0.024925128,Infected
499,0.001042799,0.004048512,0.024922009,Infected
1265,1.41369E-05,0.007591501,0.024909171,Infected
1496,3.61069E-05,0.010389775,0.024886714,Infected
1736,2.09344E-05,0.009015736,0.024856076,Infected
1498,0.000122779,0.006277098,0.024847485,Infected
2050,0,0.009609434,0.024800047,Infected
476,1.19235E-05,0.00981304,0.024788954,Infected
1141,0,0.005910365,0.024767244,Infected
1732,0,0.010407314,0.024732675,Infected
639,3.72807E-05,0.015788395,0.024717132,Infected
2012,4.9504E-05,0.00698006,0.024712382,Infected
1169,3.7415E-05,0.006491502,0.024684545,Infected
2280,0,0.009066814,0.024669002,Infected
985,1.12575E-05,0.006191602,0.024665091,Infected
853,1.03964E-05,0.005603668,0.024660297,Infected
574,0,0.011611351,0.024646546,Infected
1133,4.46907E-05,0.00685556,0.024642474,Infected
2106,0,0.008138571,0.024631381,Infected
1996,0,0.00657508,0.024629475,Infected
1546,0,0.006490978,0.024619351,Infected
583,1.02616E-05,0.010928569,0.024607239,Infected
714,0,0.009877662,0.024580879,Infected
1544,0.001233835,0.00634769,0.024540199,Infected
712,9.48737E-05,0.010594225,0.024509029,Infected
633,7.19761E-05,0.007866988,0.024500666,Infected
1099,0,0.008305309,0.024495567,Infected
1273,0,0.007317923,0.024494715,Infected
2312,0,0.008735607,0.024487213,Infected
1781,0,0.007204864,0.024478965,Infected
2097,0,0.008254227,0.024469342,Infected
293,2.11927E-05,0.011698385,0.024456407,Infected
994,0,0.01329254,0.024410884,Infected
1239,1.18206E-05,0.007813423,0.024409561,Infected
584,0,0.011466494,0.024402572,Infected
1970,0,0.008990146,0.024392478,Infected
1049,0,0.012859428,0.024385742,Infected
1538,0,0.008220052,0.024372392,Infected
627,0,0.010383387,0.024366647,Infected
1276,0,0.006056313,0.024336375,Infected
951,0,0.011581067,0.024330312,Infected
616,1.69355E-05,0.009907278,0.024319404,Infected
315,1.03556E-05,0.011784686,0.024314976,Infected
407,0,0.008097942,0.024308577,Infected
1991,0,0.005740616,0.024286242,Infected
582,0,0.010012252,0.024254154,Infected
2369,1.56542E-05,0.008281087,0.024240574,Infected
998,0,0.009388578,0.024232923,Infected
748,0.000726,0.006608463,0.024218619,Infected
199,0,0.007000218,0.024203304,Infected
1368,0,0.005378786,0.024044241,Infected
2254,0.000133233,0.008846649,0.024044056,Infected
1903,0,0.005914703,0.024031866,Infected
1453,2.7027E-05,0.007081081,0.024,Infected
1286,0,0.012155592,0.023979667,Infected
1120,0,0.006297009,0.023963617,Infected
261,9.90197E-05,0.012586505,0.023929762,Infected
2145,6.81775E-06,0.009940277,0.023909842,Infected
1256,3.26275E-05,0.012194525,0.023907795,Infected
402,0,0.009917339,0.023893127,Infected
216,6.72959E-06,0.006490688,0.023839567,Infected
746,3.12422E-05,0.01269995,0.023837791,Infected
1007,0,0.007594476,0.023810288,Infected
717,0,0.00977491,0.023807251,Infected
1316,0,0.011785772,0.023798707,Infected
670,0,0.010506922,0.023752614,Infected
2007,0,0.009615248,0.023750727,Infected
972,0.000489301,0.005673252,0.023737734,Infected
2108,0,0.008006652,0.023712007,Infected
2573,0,0.007288207,0.023709737,Infected
2432,0,0.008376862,0.023691317,Infected
1681,1.97405E-05,0.00990972,0.023688574,Infected
692,0,0.006587652,0.023683173,Infected
1197,0.000201557,0.010657328,0.023682951,Infected
440,0,0.009204291,0.023679587,Infected
1789,0,0.00692089,0.023668196,Infected
1211,2.52625E-05,0.008286106,0.02366256,Infected
655,0,0.008575723,0.023654456,Infected
780,1.40201E-05,0.006603483,0.023637944,Infected
1647,1.73378E-05,0.008625547,0.023631399,Infected
271,0,0.012994489,0.023622467,Infected
1512,0,0.005419775,0.023569938,Infected
2098,4.17537E-05,0.008100209,0.023549061,Infected
2059,0.000540844,0.00510721,0.023536983,Infected
581,0,0.009470501,0.023530348,Infected
646,1.19946E-05,0.012318432,0.023521368,Infected
2022,0,0.00714614,0.023511071,Infected
653,1.12882E-05,0.010577053,0.023456902,Infected
760,0.000269479,0.009693959,0.023444669,Infected
1879,0,0.005939669,0.023442811,Infected
882,0,0.00870242,0.02344229,Infected
481,0,0.011865301,0.023435026,Infected
667,0,0.010119366,0.02342515,Infected
1446,0,0.007381971,0.023409651,Infected
1733,1.29781E-05,0.006281391,0.023399478,Infected
1614,5.89609E-06,0.0067805,0.023383882,Infected
2206,1.24463E-05,0.008718651,0.023374199,Infected
2404,4.31092E-06,0.007169061,0.023373813,Infected
1652,1.14189E-05,0.006954119,0.023328842,Infected
422,0,0.009266806,0.023325485,Infected
495,0.000174754,0.011463855,0.023323819,Infected
1277,1.52293E-05,0.015031296,0.023316023,Infected
1800,0,0.008692287,0.023313019,Infected
591,0,0.008540711,0.02329437,Infected
1229,0,0.011976464,0.023275997,Infected
1745,4.36424E-05,0.010997883,0.023272307,Infected
1170,0.00060635,0.008839052,0.023271901,Infected
1914,5.94421E-06,0.006235474,0.023265629,Infected
576,0,0.013548004,0.023250122,Infected
1861,1.70959E-05,0.0064879,0.023241899,Infected
1062,0,0.010668384,0.023240837,Infected
1757,1.45237E-05,0.005649718,0.023208865,Infected
821,0.000870066,0.002936474,0.023198147,Infected
1517,1.97568E-05,0.006934635,0.023194476,Infected
1497,0,0.009050325,0.023173701,Infected
2245,0.000135055,0.010827702,0.023164297,Infected
1926,9.71298E-05,0.005475693,0.023147249,Infected
2111,3.25664E-05,0.009590803,0.023138423,Infected
1109,1.77934E-05,0.008612023,0.023131467,Infected
1712,0,0.009744528,0.02312392,Infected
2362,0,0.008992463,0.023122239,Infected
546,1.24931E-05,0.009832092,0.023112288,Infected
1381,0,0.007614014,0.023098455,Infected
1784,0,0.007221683,0.023095259,Infected
1649,7.82634E-05,0.010736316,0.02306636,Infected
1955,0,0.005713269,0.023057756,Infected
1808,0,0.007012585,0.023050875,Infected
1206,6.63482E-05,0.010195506,0.02304494,Infected
1753,3.66113E-05,0.006919528,0.023019331,Infected
688,0,0.016540839,0.023015466,Infected
376,0,0.012910613,0.022998263,Infected
274,4.26191E-05,0.008942905,0.022985893,Infected
1829,0,0.006247827,0.022974919,Infected
291,1.75617E-05,0.013223982,0.02295318,Infected
630,0,0.00841078,0.022947732,Infected
2446,0,0.009047247,0.022939238,Infected
277,5.3496E-05,0.012027675,0.022931935,Infected
809,1.78868E-05,0.014220044,0.022930939,Infected
1025,4.31642E-05,0.011452908,0.022920204,Infected
1758,0,0.014522884,0.022906686,Infected
1269,0,0.007359641,0.022884979,Infected
1485,0,0.007998679,0.022876956,Infected
1335,0,0.009177479,0.022871774,Infected
779,1.83392E-05,0.007940874,0.022841476,Infected
429,6.40482E-05,0.006596961,0.022817159,Infected
1156,0,0.007434512,0.022797235,Infected
825,0,0.01027697,0.022777408,Infected
1387,8.7184E-06,0.006861378,0.02277245,Infected
2320,0,0.009798429,0.022763105,Infected
593,0.00023017,0.00705854,0.022753927,Infected
1270,0.001023138,0.004231101,0.022722186,Infected
2137,1.41165E-05,0.00753822,0.022699361,Infected
992,2.60552E-05,0.010070349,0.022668056,Infected
2016,1.75812E-05,0.007577489,0.022662142,Infected
643,0.000197591,0.00761485,0.022654558,Infected
1313,0,0.00739869,0.022615524,Infected
448,0,0.007365246,0.02261407,Infected
1198,0,0.00775527,0.02260312,Infected
1935,0,0.006733087,0.022597998,Infected
770,0,0.012415849,0.022595448,Infected
919,0,0.008364246,0.022588191,Infected
2347,0,0.00710456,0.022583933,Infected
708,0,0.008422855,0.02250506,Infected
562,0,0.008155517,0.02248335,Infected
787,1.91362E-05,0.005626041,0.022446754,Infected
1973,2.07185E-05,0.006806033,0.022438155,Infected
728,1.40891E-05,0.011581216,0.022429801,Infected
1131,9.48671E-05,0.00793919,0.022400493,Infected
331,1.54314E-05,0.014274031,0.022375507,Infected
1564,0,0.007829245,0.022371398,Infected
719,0,0.00812258,0.022371128,Infected
1641,3.82336E-05,0.009163321,0.02236666,Infected
1150,0,0.014236543,0.022354976,Infected
1933,0,0.007131906,0.022338311,Infected
1444,2.76274E-05,0.00634048,0.022336722,Infected
995,0,0.01169351,0.022336391,Infected
538,6.65868E-05,0.010631686,0.02228437,Infected
778,0,0.009951856,0.022283973,Infected
930,0,0.009318396,0.022272775,Infected
1816,9.73745E-05,0.005099991,0.022262254,Infected
1583,0,0.008843471,0.022258038,Infected
469,1.07028E-05,0.009370301,0.02225112,Infected
394,0,0.01433532,0.022218573,Infected
1900,0,0.007267633,0.022214439,Infected
302,0,0.010284313,0.022212921,Infected
1714,4.89141E-05,0.007483858,0.0221907,Infected
946,0,0.008195172,0.022180225,Infected
1321,0,0.006058628,0.022156959,Infected
1628,0,0.008713784,0.022148299,Infected
730,0,0.01143249,0.022116943,Infected
949,1.63119E-05,0.005758095,0.022061822,Infected
1766,8.75841E-06,0.00528132,0.022053672,Infected
2278,0,0.007275495,0.022014715,Infected
2368,7.98142E-06,0.00759033,0.022012754,Infected
921,1.25033E-05,0.009877593,0.022005777,Infected
268,0,0.016810058,0.021969581,Infected
1361,1.71449E-05,0.011152735,0.021962573,Infected
169,2.85826E-05,0.009155956,0.021951429,Infected
794,0,0.006844261,0.021940469,Infected
1623,0,0.00727067,0.021916775,Infected
570,8.63267E-06,0.006319115,0.021901087,Infected
234,0,0.009333625,0.02185912,Infected
2235,0,0.009918387,0.021848196,Infected
1106,0,0.007879125,0.021824661,Infected
370,0,0.008001123,0.021817598,Infected
1178,7.97022E-06,0.006232715,0.021814501,Infected
2231,1.86578E-05,0.011045394,0.021810922,Infected
1380,1.8387E-05,0.00613512,0.021806949,Infected
1054,2.06941E-05,0.01045051,0.021790866,Infected
1812,8.82581E-06,0.004483513,0.021782108,Infected
2078,7.4173E-05,0.009197448,0.021775065,Infected
1244,0.000945368,0.007331856,0.021764477,Infected
1467,0,0.013438997,0.021755507,Infected
2453,0,0.009493083,0.021753158,Infected
1493,1.84604E-05,0.006479601,0.021727894,Infected
1550,0,0.005670336,0.021716182,Infected
1762,1.02746E-05,0.004880455,0.021700042,Infected
543,2.79458E-05,0.011080526,0.021699946,Infected
305,1.49477E-05,0.009970105,0.021689088,Infected
1441,0,0.006841215,0.021669911,Infected
874,0,0.0080582,0.021650974,Infected
1328,4.04809E-05,0.007907272,0.021643795,Infected
800,1.68398E-05,0.008689356,0.02162235,Infected
427,7.62422E-06,0.006450088,0.021599408,Infected
721,0.001485636,0.008667847,0.02158599,Infected
1582,0,0.005922442,0.021577721,Infected
550,0.000179394,0.005426658,0.021572086,Infected
547,0.000679631,0.009875447,0.021540126,Infected
1223,0,0.009378831,0.021536575,Infected
384,0,0.013563635,0.02152909,Infected
1116,8.16173E-06,0.005868286,0.02152249,Infected
1063,2.57374E-05,0.01088691,0.021516446,Infected
677,1.21948E-05,0.01282278,0.021511539,Infected
1601,5.59218E-05,0.008761083,0.021492615,Infected
911,0,0.015808689,0.021485944,Infected
1954,0,0.009891243,0.021470092,Infected
509,0,0.012896031,0.021460025,Infected
619,0,0.014732483,0.021455813,Infected
1658,0,0.008076389,0.021452909,Infected
1171,2.88434E-05,0.003980387,0.021430632,Infected
1780,0.000378696,0.008558531,0.02141905,Infected
772,8.93719E-06,0.007087191,0.021413506,Infected
818,2.03316E-05,0.010663929,0.021399018,Infected
1761,0,0.006927711,0.021385542,Infected
1390,2.83142E-05,0.009754233,0.021377201,Infected
722,0,0.011828432,0.021363033,Infected
2239,0,0.009622843,0.02135447,Infected
819,7.89353E-06,0.010419462,0.021344111,Infected
937,0,0.005112297,0.021342598,Infected
1234,0,0.008941983,0.021341802,Infected
1174,0,0.009570059,0.021333257,Infected
785,0,0.009978121,0.021331963,Infected
1684,2.57089E-05,0.006195851,0.021325552,Infected
1184,0,0.007843211,0.021324902,Infected
2233,3.09527E-05,0.006582613,0.021295475,Infected
1820,0.000372636,0.010216439,0.02127131,Infected
1033,0,0.005091485,0.021271093,Infected
1868,0,0.009526544,0.021260847,Infected
541,0,0.00991924,0.021255514,Infected
579,0,0.013552914,0.021242511,Infected
443,0,0.012477705,0.021242069,Infected
993,1.27559E-05,0.006531029,0.021238599,Infected
1036,1.46744E-05,0.010169342,0.021233822,Infected
2172,0,0.011905159,0.021222722,Infected
1001,1.79178E-05,0.013510003,0.021214646,Infected
723,3.2042E-05,0.012336185,0.02121183,Infected
1254,2.07525E-05,0.005810696,0.02120904,Infected
2270,9.89844E-06,0.011066458,0.021202463,Infected
1591,1.91281E-05,0.008062511,0.02117485,Infected
909,3.35087E-05,0.010169889,0.021160741,Infected
1137,2.42395E-05,0.009162526,0.021136832,Infected
2549,1.49365E-05,0.009992532,0.021120239,Infected
1358,2.09562E-05,0.008906399,0.021092448,Infected
1228,0,0.00650229,0.02109138,Infected
1552,0,0.008819468,0.021073524,Infected
1680,0.001159251,0.006604215,0.021065574,Infected
508,9.62223E-06,0.011517811,0.021063064,Infected
1547,1.92522E-05,0.012802742,0.021061954,Infected
1362,0.000659169,0.003426051,0.021060855,Infected
1098,6.4871E-05,0.008147802,0.021057138,Infected
1068,2.22787E-05,0.005814731,0.021031056,Infected
1378,0,0.012103867,0.021030798,Infected
727,0,0.007371053,0.021001945,Infected
510,0,0.012077164,0.020993191,Infected
1907,0,0.007922831,0.020985207,Infected
497,0,0.008198273,0.020978491,Infected
924,8.24906E-05,0.013742926,0.020969099,Infected
1411,0,0.006942368,0.02095527,Infected
1108,5.42452E-06,0.008489379,0.020949509,Infected
806,0,0.005875821,0.020944911,Infected
2216,0,0.008399279,0.020923126,Infected
2054,0,0.005435184,0.020904552,Infected
496,0,0.012020832,0.020900475,Infected
1586,6.52529E-05,0.00954323,0.020897227,Infected
1185,0.00020139,0.012939281,0.02089417,Infected
626,0,0.010694496,0.020886567,Infected
1279,0,0.010427082,0.02087797,Infected
595,0,0.008914827,0.020874567,Infected
974,2.65611E-05,0.007025419,0.020863768,Infected
791,4.12027E-05,0.013782305,0.02085887,Infected
838,7.7312E-06,0.010220648,0.020858782,Infected
900,6.35647E-05,0.006292906,0.020849225,Infected
1100,0.000240088,0.005464856,0.020841908,Infected
658,0,0.015584613,0.020830166,Infected
368,0,0.010680196,0.020827242,Infected
1058,0,0.004728814,0.020821954,Infected
1092,0,0.005873385,0.020817772,Infected
739,3.1292E-05,0.008847827,0.020817035,Infected
1593,1.42377E-05,0.011959679,0.020801298,Infected
1840,0,0.007539767,0.020780499,Infected
1477,0,0.007510072,0.020774922,Infected
572,3.55118E-05,0.009457972,0.020774394,Infected
1281,0,0.008884886,0.020767429,Infected
1976,0,0.010290113,0.020759609,Infected
1432,0,0.009492025,0.020735007,Infected
1506,4.79925E-06,0.006867723,0.02072795,Infected
1190,0,0.005461165,0.020724421,Infected
1501,3.16451E-05,0.010411228,0.020711698,Infected
1413,0,0.008734923,0.020686237,Infected
701,3.73441E-05,0.010736425,0.020669953,Infected
875,1.17633E-05,0.006152217,0.020668157,Infected
2132,0,0.008311006,0.020653955,Infected
1718,2.71054E-05,0.009893476,0.020640772,Infected
902,0.000470961,0.00367611,0.020624154,Infected
1070,0,0.009975194,0.020604375,Infected
1561,6.90441E-06,0.007560327,0.020588946,Infected
1250,0,0.01005725,0.020575759,Infected
501,0,0.011614601,0.020553068,Infected
2170,2.11126E-05,0.016573419,0.020542595,Infected
1654,1.95521E-05,0.007576424,0.020539441,Infected
901,1.76438E-05,0.008442578,0.020537431,Infected
1621,0,0.009960094,0.020530326,Infected
1101,0,0.010206742,0.020525237,Infected
996,2.21356E-05,0.008710377,0.020519745,Infected
321,1.08179E-05,0.006863949,0.020516121,Infected
1447,4.1941E-05,0.006731535,0.020514407,Infected
970,1.2437E-05,0.008904919,0.020496238,Infected
325,0.00128976,0.004105433,0.020490835,Infected
1553,0,0.0100183,0.020490763,Infected
1300,1.53681E-05,0.005985861,0.020485631,Infected
885,0,0.012089012,0.02048202,Infected
1511,7.13348E-06,0.006334532,0.020480226,Infected
808,0.000152422,0.01093625,0.0204626,Infected
1416,0,0.005889777,0.020454644,Infected
1504,9.59647E-05,0.012043568,0.020440478,Infected
367,0,0.007354997,0.020426262,Infected
1105,1.05556E-05,0.00650228,0.020425182,Infected
2133,9.43414E-06,0.006302006,0.020424914,Infected
1549,1.1465E-05,0.005835684,0.020407695,Infected
749,0,0.011815855,0.020406017,Infected
1959,0,0.006367737,0.020400342,Infected
507,0,0.011991595,0.020396419,Infected
614,1.24502E-05,0.009798307,0.020393426,Infected
2457,0,0.005716899,0.020390274,Infected
1085,0,0.014959566,0.020383388,Infected
2494,0,0.008989874,0.020383257,Infected
2094,0,0.008645978,0.020379805,Infected
2158,0,0.007974428,0.020373486,Infected
596,0,0.010932384,0.0203645,Infected
2514,0,0.007828595,0.020358093,Infected
2553,0,0.007713006,0.020345493,Infected
1727,0.000384769,0.011742575,0.020321496,Infected
150,0.000127262,0.008647751,0.020295248,Infected
1597,2.15885E-05,0.006901118,0.020293172,Infected
1645,9.93502E-06,0.014316371,0.020247581,Infected
889,1.46658E-05,0.004707711,0.020246092,Infected
607,0,0.008596805,0.020237837,Infected
306,0,0.010509931,0.020235155,Infected
702,0,0.014096299,0.020230325,Infected
1097,7.88463E-06,0.00965079,0.020216197,Infected
1175,0.000262726,0.006261631,0.020207991,Infected
340,0,0.015453729,0.020197664,Infected
2011,0,0.006626155,0.020194789,Infected
881,2.24613E-05,0.005121179,0.020170257,Infected
1282,0,0.006579121,0.020168348,Infected
2473,0,0.005158119,0.020126117,Infected
645,1.2779E-05,0.007494872,0.020120506,Infected
1571,0,0.007420272,0.020070256,Infected
1473,1.37078E-05,0.006031446,0.020068265,Infected
1247,2.98481E-05,0.006297943,0.020067855,Infected
1521,0.000546796,0.003628736,0.020062434,Infected
454,0.000130306,0.007356338,0.020055202,Infected
1515,0,0.009009009,0.02004436,Infected
472,2.50947E-05,0.013777008,0.020013049,Infected
374,0,0.010628302,0.020003759,Infected
1669,0,0.011320421,0.019987618,Infected
1507,2.00648E-05,0.006320415,0.01998455,Infected
1115,0,0.007282044,0.019980671,Infected
884,0.000100194,0.005276869,0.019971946,Infected
954,0,0.009099113,0.019960037,Infected
1284,0,0.009634957,0.019948433,Infected
904,0,0.006256154,0.019937644,Infected
2299,1.43839E-05,0.007098472,0.019936135,Infected
