ndimage_ID,GLYMA_17G195900_-_vs_-_GLYMA_05G216000,GLYMA_17G195900_-_vs_-_GLYMA_17G185800,GLYMA_17G195900_-_vs_-_GLYMA_05G203100,GLYMA_17G195900_-_vs_-_GLYMA_15G210100,GLYMA_17G195900_-_vs_-_GLYMA_05G092200,GLYMA_05G216000_-_vs_-_GLYMA_17G185800,GLYMA_05G216000_-_vs_-_GLYMA_05G203100,GLYMA_05G216000_-_vs_-_GLYMA_15G210100,GLYMA_05G216000_-_vs_-_GLYMA_05G092200,GLYMA_17G185800_-_vs_-_GLYMA_05G203100,GLYMA_17G185800_-_vs_-_GLYMA_15G210100,GLYMA_17G185800_-_vs_-_GLYMA_05G092200,GLYMA_05G203100_-_vs_-_GLYMA_15G210100,GLYMA_05G203100_-_vs_-_GLYMA_05G092200,GLYMA_15G210100_-_vs_-_GLYMA_05G092200
742,322.830349304387,,,278.09321244881687,411.8082761690323,,,285.3903272782694,222.85011271112808,,,,,,418.24896250806313
842,798.1165783094071,625.8529882094904,,976.4725610340245,618.1128171186638,385.60289120157825,,457.19251026862116,359.1071001335415,,376.00643021866745,173.9990534106982,,,468.5564471716805
2052,690.7507253819409,736.3986305328568,,766.9052930777111,498.03892526951046,406.6880437493846,,375.2215295736722,614.5694171215804,,70.91318780078389,613.1294433221805,,,636.4320651000215
1145,682.5261535711554,434.58375451253767,412.0781367961976,433.6397881531112,250.19998853662534,861.0986118810645,998.2114642312349,811.1373201628746,748.7360158059503,189.73517228383253,128.3256429774391,331.16236560180425,274.8059820568984,322.9145627665144,344.6431347394899
896,487.77033285424926,648.7672851976489,,658.4463732815411,610.9982323094407,478.4525693058277,,418.38613135771004,495.5242320841051,,207.65742937320917,303.428351471749,,,192.4255962391443
2152,779.991716048489,813.8172943886109,,857.0429430279708,843.8045180112982,779.9385189056823,,707.194996425678,1100.1131976328866,,134.18579400469991,790.3060811250571,,,856.7320168933345
558,629.1185779796476,331.7807360483054,,409.25500950838966,518.4508212762082,602.2567752803404,,564.2978191977718,778.6444953252944,,96.24643961527646,577.4054278346888,,,648.8946836713125
751,939.3041567215976,986.7633387836117,,930.9246559098065,756.9144338319385,332.3076681057571,,371.85669376094205,438.0637586998104,,245.00470075064254,558.8009073622916,,,632.2994780797484
746,653.6213584778664,491.4682827097016,,818.6401189408786,483.4109668099995,387.14067893922106,,385.26860483821935,306.6010207238191,,406.2280055045647,313.4070499492235,,,428.3831074496286
236,957.5558328200691,907.7818340839701,558.4373354897788,1058.71178908823,575.5751109649594,421.65545571212283,897.3454014782222,541.910966766579,980.0444479107204,590.481627253705,287.5529344219456,793.9612378787424,571.6806243013659,575.7707502706565,1021.1544440423494
