ndimage_ID,GLYMA_17G195900_-_vs_-_GLYMA_05G216000,GLYMA_17G195900_-_vs_-_GLYMA_17G185800,GLYMA_17G195900_-_vs_-_GLYMA_05G203100,GLYMA_17G195900_-_vs_-_GLYMA_15G210100,GLYMA_17G195900_-_vs_-_GLYMA_05G092200,GLYMA_05G216000_-_vs_-_GLYMA_17G185800,GLYMA_05G216000_-_vs_-_GLYMA_05G203100,GLYMA_05G216000_-_vs_-_GLYMA_15G210100,GLYMA_05G216000_-_vs_-_GLYMA_05G092200,GLYMA_17G185800_-_vs_-_GLYMA_05G203100,GLYMA_17G185800_-_vs_-_GLYMA_15G210100,GLYMA_17G185800_-_vs_-_GLYMA_05G092200,GLYMA_05G203100_-_vs_-_GLYMA_15G210100,GLYMA_05G203100_-_vs_-_GLYMA_05G092200,GLYMA_15G210100_-_vs_-_GLYMA_05G092200
742,375.69393414846104,,,201.76168727811012,479.7732688545255,,,340.0426414325642,322.78497828652326,,,,,,321.67415601980036
842,471.67585029376437,457.55211494371775,,374.64606892798287,490.72283043464716,444.2608452675761,,349.1218087916847,417.2195776938937,,468.79123021773216,157.23617419636798,,,532.5844467635375
2052,610.5625730502321,411.496727478572,,382.3798460591073,769.420842550211,334.41691262657315,,313.5574898386004,642.9615981566534,,89.14771688202877,501.86947974863375,,,581.4395988872276
1145,833.0486070357407,396.8067781055396,358.9415696145452,268.8602346121662,318.29713201006706,938.5734462698927,966.5431007993459,715.9332549610921,861.6958708589168,178.712948802925,387.7832573210925,199.6352187088377,284.1018929099331,270.16222890866663,311.55134219347616
896,512.0331977834545,727.7202682625513,,294.4698898268881,251.68962971928525,855.1360337592565,,284.3485977876352,407.7337614574834,,681.0625568023712,615.0371024024364,,,228.18897746172223
2152,987.0288026729431,413.4877201535278,,448.8702550149411,803.076239968694,771.7947896679652,,721.6065893773692,875.16925553774,,137.87109927881593,526.8914282077715,,,582.589329306886
558,779.3921678299885,262.67915699655583,,272.40195142893947,499.4021937384731,574.1194739621274,,597.4594730878082,624.3200216726058,,130.38223709162548,342.9139542091127,,,446.4056542590012
751,993.6302172242538,519.1824062716996,,485.8303428751922,758.9030256827186,764.2418983683262,,863.6040727613051,425.38162241266076,,649.7397673128901,513.9557238058514,,,723.3113177802257
746,404.9388996592477,298.33600762462174,,235.6869867029551,392.54627035649696,431.2466623518239,,356.5953570076412,320.04831694091104,,428.51096552369614,252.7689427908488,,,432.72917671237747
236,1338.954724677814,986.3667910249446,,470.7548824436698,640.0729926389505,410.175880857356,,1409.0354841121518,801.8187208680481,,1029.5978489514234,511.6317525113117,,,756.6992146880993
810,905.2133888575638,437.4632902685427,,340.63449800959603,493.70411879716744,480.8191542293643,,913.2872596893936,457.48893899302,,509.82259329154886,127.10690858024923,,,566.0634218201735
1526,1812.594308788413,1173.4893613718698,629.7567954288105,922.0097133139694,410.8905824626316,675.4340595127569,1229.185040907224,1578.2414058598245,1442.0753254230963,583.3036325350447,1018.6651872583049,805.3219624909892,648.8283884684555,294.31000822266594,643.0852522678388
2064,1565.4098083527808,1066.2482852572653,,570.3124682930063,1237.2059773556423,931.834130911583,,1233.702521413892,662.097182639752,,599.0923328868539,763.7442370297762,,,929.8476483398847
1980,376.0771388642452,349.4112714639207,,416.30680277494656,374.72662351361237,303.06637735602663,,186.16865316441672,263.92111289822515,,293.3849120382226,304.7167777264124,,,349.9403616195066
1775,222.38374817100362,442.7818557830494,,224.95109365592742,163.78286097348018,346.70282095495634,,148.86327118199605,238.5471131234883,,381.27649967917597,415.1133445273722,,,269.7868807358528
302,338.51968060376885,274.7227895475089,361.41352149686867,233.52532477524488,422.2066277133821,204.14198467276685,408.21825099056576,213.6424146617942,379.94842841619163,277.5003630160832,150.66778665139975,407.57904307650205,196.83273617170227,281.7839185769357,290.39401755908733
1645,708.3344414079133,412.9167278352214,,239.30025193075824,246.98917723709044,390.23849113127085,,491.4697653221133,536.5384209027216,,186.90360846788292,300.70284758927215,,,151.45892072141478
1323,882.4679645379725,371.5320463185587,423.6342247039041,356.67757193274497,345.38894119602895,594.1704733241762,529.8579623700265,691.3886910267498,613.6307311540079,93.08070979906003,404.2997680073805,308.7032960008697,416.7845016551455,299.2401358204965,232.0882964503272
2156,412.1824727179205,293.3668519894496,,319.27469637411326,455.25338827695634,381.44560859300685,,186.57798358605467,247.3216698001092,,284.6510500095328,336.92053638912233,,,293.37980227080755
2308,376.9482287408555,288.58918480623026,,192.43741443908954,332.0503008324897,152.76431993994964,,248.4885745063992,223.7775650845915,,230.6566238191439,160.94385135547202,,,298.3600746393753
618,451.90035779491933,316.3077757619073,,246.55356452881276,328.8215985398323,152.32794571809282,,222.16105140027335,218.63929216950382,,99.86531850606875,110.75526409976976,,,150.84132188563498
325,822.2027821231998,264.0158110263856,,234.03994276545922,260.65878230107745,585.7097428369495,,608.0290307346127,612.2267777203066,,51.59062797164716,133.55516173674943,,,127.55297431540939
2108,264.7696916517356,213.2094741056505,,213.80852646467892,680.2497829402977,89.26239919896685,,90.31077468818913,433.7909814205192,,33.770775205375664,500.4310292264894,,,502.8327966880242
1964,592.6484282890169,496.99871536859143,,423.92433137423296,522.9437471421758,472.71670696061665,,212.60083276094423,220.82516454640773,,361.62672333334723,418.3514763883697,,,279.4189757108349
611,751.0977637926976,419.2400911825235,,324.2891699370133,597.5453738937739,512.4666144585751,,600.4165461626151,358.97375653934023,,258.99766293401086,393.21542298327955,,,460.50896603824077
1641,628.1156637409707,,,263.29822164573113,393.2258663636776,,,510.99296760511237,317.4638807460533,,,,,,343.2451919162322
2056,872.6392290888942,544.1334543517198,,484.2976691535075,1043.470266824617,594.0851851859039,,771.9547882945158,883.3577292250724,,317.41042119382087,533.7613598652332,,,787.2563301475953
598,626.8110337646654,522.1191576006756,,223.9702090617349,597.6063977518271,160.1260811908549,,508.3007958980604,274.0731008025634,,458.92242325972666,189.98276003000643,,,543.1954775563111
813,998.2190086315177,767.7741175426305,326.70526810419744,597.0864332070681,687.6044439107657,960.5738682809267,812.0924786967848,486.6689330803084,1012.4857444769189,462.894037476969,635.0862133011794,412.57187145265794,350.9772133582477,382.72436384510394,595.5503233355531
1862,637.4105457566532,408.99534048677094,,437.81864523490316,537.9863468466465,618.5890793090982,,605.6795381846588,563.5579804526701,,94.10218396878246,407.55907757254255,,,422.46930950606315
1060,652.2441305537229,272.5234287133744,721.0425353438799,255.07723661835078,484.8031393657737,550.0835469554881,741.338358858374,654.910167987912,393.53008798414373,485.6534876271,116.82046975468367,269.4542081093263,524.2853311136622,501.5845654469389,373.286184989512
1614,1183.5878777006553,514.5680133253918,,400.4945245795383,497.7561023968683,721.645843059419,,849.44487610785,751.9507411254259,,188.47262679731986,141.71795880094402,,,202.86132945021544
797,730.9379122212672,352.7007947470564,,688.6015865227844,545.443740650551,728.1639576843506,,472.5297304100109,610.8323046003699,,683.4361804272588,358.6572687907505,,,565.5378427614384
1394,381.6836392175111,310.0694418606537,573.9739750727703,363.2645641105064,275.2806060764618,368.1455494321111,523.4827831251573,265.75666464391384,260.1120811115057,666.4204755846733,349.09278137785657,267.32539386979454,655.2830560627565,458.5414638320135,366.2050299340744
