ndimage_ID,GLYMA_17G195900_-_vs_-_GLYMA_05G216000,GLYMA_17G195900_-_vs_-_GLYMA_17G185800,GLYMA_17G195900_-_vs_-_GLYMA_05G203100,GLYMA_17G195900_-_vs_-_GLYMA_15G210100,GLYMA_17G195900_-_vs_-_GLYMA_05G092200,GLYMA_05G216000_-_vs_-_GLYMA_17G185800,GLYMA_05G216000_-_vs_-_GLYMA_05G203100,GLYMA_05G216000_-_vs_-_GLYMA_15G210100,GLYMA_05G216000_-_vs_-_GLYMA_05G092200,GLYMA_17G185800_-_vs_-_GLYMA_05G203100,GLYMA_17G185800_-_vs_-_GLYMA_15G210100,GLYMA_17G185800_-_vs_-_GLYMA_05G092200,GLYMA_05G203100_-_vs_-_GLYMA_15G210100,GLYMA_05G203100_-_vs_-_GLYMA_05G092200,GLYMA_15G210100_-_vs_-_GLYMA_05G092200
742,375.69393414846087,,,201.76168727811006,479.7732688545254,,,340.04264143256415,322.78497828652314,,,,,,321.67415601980036
842,471.675850293764,457.5521149437176,,374.6460689279826,490.722830434648,444.26084526757654,,349.1218087916847,417.21957769389286,,468.7912302177323,157.23617419636813,,,532.5844467635375
2052,610.5625730502319,411.49672747857176,,382.3798460591072,769.4208425502111,334.4169126265732,,313.5574898386,642.9615981566533,,89.14771688202887,501.8694797486336,,,581.4395988872275
1145,833.0486070357407,396.80677810553937,358.9415696145449,268.8602346121658,318.2971320100678,938.5734462698927,966.5431007993461,715.9332549610922,861.6958708589167,178.712948802925,387.7832573210925,199.63521870883764,284.10189290993304,270.1622289086665,311.551342193476
896,512.0331977834545,727.7202682625509,,294.46988982688816,251.68962971928545,855.1360337592563,,284.34859778763513,407.73376145748324,,681.062556802371,615.0371024024361,,,228.1889774617218
2152,987.0288026729438,413.48772015352756,,448.8702550149409,803.0762399686936,771.7947896679651,,721.606589377369,875.1692555377399,,137.87109927881704,526.8914282077712,,,582.5893293068859
558,779.3921678299885,262.67915699655566,,272.40195142893936,499.4021937384729,574.1194739621274,,597.4594730878082,624.3200216726061,,130.38223709162554,342.9139542091125,,,446.40565425900104
751,993.6302172242536,519.1824062716992,,485.830342875192,758.903025682718,764.2418983683262,,863.6040727613049,425.38162241266235,,649.7397673128901,513.9557238058513,,,723.3113177802254
746,404.93889965924745,298.33600762462163,,235.68698670295447,392.54627035649827,431.24666235182383,,356.59535700764104,320.0483169409109,,428.5109655236961,252.7689427908487,,,432.7291767123776
236,1338.9547246778138,986.3667910249443,,470.75488244366954,640.0729926389516,410.1758808573559,,1409.0354841121518,801.8187208680486,,1029.5978489514232,511.63175251131156,,,756.6992146880992
810,905.2133888575636,437.46329026854255,,340.634498009596,493.7041187971672,480.8191542293643,,913.2872596893935,457.4889389930205,,509.8225932915487,127.10690858024921,,,566.0634218201733
1526,1812.5943087884123,1173.489361371869,629.75679542881,922.0097133139697,410.89058246263164,675.4340595127592,1229.185040907224,1578.2414058598242,1442.0753254230963,583.3036325350445,1018.6651872583043,805.3219624909889,648.8283884684554,294.3100082226658,643.0852522678383
2064,1565.4098083527804,1066.2482852572648,,570.3124682930065,1237.2059773556416,931.8341309115829,,1233.7025214138916,662.0971826397515,,599.092332886854,763.7442370297757,,,929.8476483398844
1980,376.0771388642451,349.41127146392023,,416.30680277494616,374.7266235136127,303.0663773560266,,186.1686531644167,263.92111289822526,,293.38491203822247,304.71677772641226,,,349.94036161950646
1775,222.38374817100356,442.78185578304937,,224.95109365592765,163.78286097348064,346.7028209549562,,148.86327118199642,238.5471131234882,,381.27649967917563,415.1133445273721,,,269.7868807358527
302,338.5196806037688,274.72278954750885,361.41352149686855,233.52532477524477,422.20662771338164,204.14198467276688,408.21825099056576,213.64241466179413,379.9484284161916,277.5003630160832,150.6677866513997,407.5790430765019,196.83273617170224,281.7839185769355,290.3940175590872
1645,708.3344414079132,412.9167278352213,,239.30025193075818,246.98917723709025,390.2384911312708,,491.46976532211323,536.5384209027216,,186.9036084678828,300.702847589272,,,151.4589207214147
1323,882.4679645379724,371.53204631855857,423.634224703904,356.6775719327448,345.3889411960288,594.1704733241761,529.8579623700265,691.3886910267498,613.6307311540079,93.08070979906005,404.2997680073806,308.7032960008696,416.7845016551455,299.2401358204964,232.0882964503271
2156,412.1824727179204,293.36685198944934,,319.2746963741131,455.25338827695657,381.4456085930068,,186.5779835860546,247.32166980010942,,284.65105000953304,336.92053638912233,,,293.3798022708078
2308,376.94822874085537,288.58918480623015,,192.43741443908942,332.0503008324898,152.76431993994976,,248.4885745063992,223.77756508459143,,230.65662381914396,160.94385135547202,,,298.36007463937517
618,451.9003577949193,316.3077757619072,,246.5535645288127,328.8215985398315,152.32794571809285,,222.16105140027338,218.6392921695038,,99.86531850606873,110.75526409977006,,,150.8413218856349
325,822.2027821231998,264.0158110263857,,234.03994276545907,260.6587823010768,585.7097428369495,,608.0290307346125,612.2267777203066,,51.590627971647116,133.55516173674937,,,127.55297431540939
2108,264.76969165173557,213.2094741056504,,213.8085264646789,680.2497829402975,89.26239919896686,,90.31077468818916,433.79098142051885,,33.77077520537562,500.4310292264891,,,502.8327966880239
1964,592.6484282890168,496.9987153685912,,423.9243313742328,522.9437471421747,472.71670696061665,,212.60083276094412,220.82516454640773,,361.6267233333472,418.3514763883697,,,279.4189757108348
611,751.0977637926975,419.2400911825233,,324.2891699370132,597.5453738937739,512.466614458575,,600.4165461626152,358.97375653934,,258.9976629340109,393.21542298327927,,,460.5089660382406
1641,628.1156637409706,,,263.2982216457311,393.22586636367737,,,510.9929676051124,317.4638807460532,,,,,,343.245191916232
2056,872.6392290888944,544.1334543517191,,484.29766915350723,1043.4702668246164,594.0851851859039,,771.9547882945157,883.3577292250724,,317.41042119382087,533.7613598652329,,,787.2563301475952
598,626.8110337646654,522.1191576006756,,223.97020906173503,597.6063977518268,160.12608119085525,,508.3007958980604,274.07310080256343,,458.9224232597267,189.98276003000638,,,543.195477556311
