ndimage_ID,GLYMA_17G195900_-_vs_-_GLYMA_05G216000,GLYMA_17G195900_-_vs_-_GLYMA_17G185800,GLYMA_17G195900_-_vs_-_GLYMA_05G203100,GLYMA_17G195900_-_vs_-_GLYMA_15G210100,GLYMA_17G195900_-_vs_-_GLYMA_05G092200,GLYMA_05G216000_-_vs_-_GLYMA_17G185800,GLYMA_05G216000_-_vs_-_GLYMA_05G203100,GLYMA_05G216000_-_vs_-_GLYMA_15G210100,GLYMA_05G216000_-_vs_-_GLYMA_05G092200,GLYMA_17G185800_-_vs_-_GLYMA_05G203100,GLYMA_17G185800_-_vs_-_GLYMA_15G210100,GLYMA_17G185800_-_vs_-_GLYMA_05G092200,GLYMA_05G203100_-_vs_-_GLYMA_15G210100,GLYMA_05G203100_-_vs_-_GLYMA_05G092200,GLYMA_15G210100_-_vs_-_GLYMA_05G092200
742,265.6557284870289,,,170.8607689069167,353.918162658959,,,240.44645764955175,246.3108397963941,,,,,,278.88806024445216
842,389.19423559499455,348.5621202153622,,325.0127663170706,387.4774021691067,341.5841168129939,,334.98015050839706,331.37636076820854,,363.23926178553876,126.80331482566496,,,441.81656459474436
2052,532.9567115457852,317.82531016895484,,305.1082838219052,570.3312975890829,262.80657019853015,,276.23940378387147,521.8027987399979,,70.93696551373934,412.80802339291495,,,463.8109459219379
1145,697.3145229601981,305.29590905551623,253.81001792418792,209.05365269946773,251.98965631317066,767.0211245639139,696.4722158849966,522.275875293878,680.1867043942439,132.80188395821835,285.2151473784493,162.59948547291492,209.00913524851595,198.68266437266962,232.46582119801468
896,406.5362554115717,538.2491150316971,,232.5239263247392,199.16189866034443,650.7753311756089,,219.27286393006278,349.0347689712451,,507.05004754726684,459.20718391584336,,,203.8756341724829
2152,818.7336235531668,322.3216844622133,,357.2523639081946,626.6012576948336,621.4477670964882,,588.033896786063,663.9681111388186,,114.18948285103778,434.27601449868064,,,477.63028423386027
558,604.2136761808513,216.52503141127306,,234.07779814684318,367.2718536178671,442.3636022912723,,484.52209897402196,492.1778831643054,,100.70177275880614,283.00813814923885,,,374.76346061561037
751,716.4569223758998,416.10227037528693,,387.32832175889973,568.7477219926182,566.4507185365142,,610.6602961098392,328.8921087352709,,509.09612754767,400.77484034322913,,,541.9505178233758
746,356.1217107498859,214.76199390403588,,192.04040513398948,310.86416081968764,315.27731332267956,,290.27813733234996,268.9605207595432,,309.2704891933671,208.22663036100806,,,351.8197921425645
236,988.4214721504222,762.0455750483715,,395.4464829017501,521.1012253227609,330.42214654091754,,1017.395091333898,621.80468507212,,777.691283268621,391.3470126006603,,,623.7085176964109
810,640.0825256820384,309.33325906906543,,306.55483269752284,349.10153030120574,352.0935374605445,,691.2482795315384,357.6701012852386,,360.49901291856537,99.17141877334457,,,400.26728415070556
1526,1316.3591844175833,857.89651365299,446.6867572659122,726.5501931444936,308.6060295427379,495.3394015157353,885.0578089432385,1195.6445006146905,1061.7022334068647,438.57437784329255,751.1266809175098,599.7960340536972,468.8994274457305,210.85603222617925,499.2407704643961
2064,1113.9677140201434,801.5298382110172,,447.27545135049223,919.7294909116135,793.9335544059672,,947.9660951879138,524.5953140312968,,452.8081630984484,611.8018504128615,,,725.6621374055834
1980,297.4299663403505,248.8537486327879,,340.2403085516602,303.8779098766879,215.11920756244993,,164.70310232991315,221.2081788976678,,208.6671891088891,218.68123849492224,,,293.4297103319674
1775,173.62464701909892,336.919860516485,,191.04981871672248,139.0839802198696,267.8166147958577,,119.9581969305761,191.63048363325646,,279.6106931475541,300.7314079906205,,,216.4797439060763
302,268.2356972732978,222.50827141938055,255.5579518629458,176.8360096041961,337.5084873720515,198.39168449215714,289.3865947390244,159.39858872030698,327.1595494764362,196.22238847040106,123.161509145039,307.75846798919474,139.18176250651328,199.2513196550691,237.3413453537868
1645,540.9534381121225,296.30061795966543,,178.5375828493278,210.06508953496606,288.8665267030236,,382.02738277108506,435.76122700175904,,152.74343077514067,239.8310967717751,,,119.02235397781114
1323,676.7431767150455,264.57436188724233,306.85907374140237,287.04304074853405,277.25482713181185,442.7327574078912,383.5765166653753,595.7913564934345,511.97718883517666,69.20591673036868,291.94228151285716,224.49491053210147,298.10803324118245,222.60165344988098,211.62944176380404
2156,355.28474517623454,211.94628077976137,,250.73227262310056,384.4313212731718,279.42855100494734,,158.1649960453792,215.70593426734894,,205.25955566629446,280.5156666106827,,,251.41242146770878
2308,323.42448276873483,228.6181422733863,,170.2434562180155,254.66998159639243,125.9771707181306,,223.80282143570975,185.10088686748676,,177.4552562751893,137.70176291635795,,,236.31100520245934
618,346.72692293773946,250.70743963393585,,196.20184243247613,268.29441780314073,146.5827625246253,,192.2643953887473,176.12888189128557,,78.24449654854061,92.45016777989343,,,120.69695488708658
325,618.1172815068633,197.31159137795507,,177.55641413912753,214.45342006164492,451.2310189210067,,467.4023825431933,477.57618390294704,,41.412862379079044,108.48802658964718,,,98.19703882624145
2108,201.46234007340516,154.6422442646686,,161.24832684661914,505.3258307248816,77.45793144632272,,78.50563130151696,329.2158068798685,,30.763500123416858,384.28075278055996,,,389.8182273545894
1964,504.29219994162236,356.7417352501073,,332.83494529335053,433.94863886279325,357.7637771050326,,184.49512684977404,186.49997056153055,,272.8161266550861,303.7459920959908,,,228.3244265136043
