ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,number_nuclei,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
1,0,15008,0,15008,15008,15008,101810335,48426,101761909,0.9995243508431634,9,7734.7,7218.63,7733.72,7218.41,1
2,5889,6201,1249,1610,312,361,80309,1820,78489,0.977337533775791,1,6048.68,1429.52,6048.15,1429.07,2
3,6005,7082,1438,2064,1077,626,342965,0,342965,1.0,0,6541.2,1737.14,6540.81,1736.8,3
4,4775,5738,1484,2056,963,572,349390,2649,346741,0.992418214602593,1,5241.33,1754.37,5240.83,1753.85,4
5,6742,7044,1508,1682,302,174,32134,0,32134,1.0,0,6917.7,1587.14,6916.97,1586.75,5
6,5636,6013,1554,1829,377,275,69951,0,69951,1.0,0,5851.58,1685.44,5850.76,1684.81,6
7,7039,7468,1557,1817,429,260,71239,0,71239,1.0,0,7239.73,1676.18,7239.37,1675.96,7
8,6830,7090,1640,1815,260,175,32862,0,32862,1.0,0,6959.21,1727.62,6958.72,1727.12,8
9,7588,7851,1647,1882,263,235,36794,0,36794,1.0,0,7701.14,1761.81,7700.85,1761.24,9
10,7505,9147,1697,2666,1642,969,695394,3480,691914,0.9949956427579185,1,8376.57,2136.57,8375.69,2136.13,10
11,7276,7595,1728,2123,319,395,75688,0,75688,1.0,0,7445.81,1912.27,7445.31,1911.82,11
12,7046,7357,1731,2043,311,312,58470,0,58470,1.0,0,7197.24,1881.52,7197.11,1881.4,12
13,6184,6346,1770,1881,162,111,12168,0,12168,1.0,0,6268.7,1829.39,6268.12,1828.85,13
14,4477,4667,1772,1965,190,193,26141,0,26141,1.0,0,4566.39,1872.84,4565.96,1872.28,14
15,5872,6475,1775,2119,603,344,136155,0,136155,1.0,0,6148.43,1950.26,6148.11,1949.79,15
16,4636,4874,1802,2047,238,245,38508,1450,37058,0.9623454866521243,1,4749.56,1919.86,4749.12,1919.35,16
17,5648,5900,1805,2038,252,233,40785,0,40785,1.0,0,5772.18,1924.94,5771.65,1924.35,17
