ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
1,0,10720,0,15008,10720,15008,73929209,299169,73630040,0.9959533044645452,3497.39,7809.51,3500.07,7806.96,1
2,8358,8707,566,970,349,404,88895,0,88895,1.0,8538.53,763.14,8535.38,763.2,2
3,8420,10257,746,2195,1837,1449,1300751,4809,1295942,0.9963029050141033,9386.26,1371.12,9383.01,1371.22,3
4,6828,7094,821,1195,266,374,52947,234,52713,0.9955804861465238,6978.26,979.0,6975.15,979.75,4
5,7726,8514,851,2358,788,1507,654845,689,654156,0.9989478426192457,8162.58,1460.2,8159.4,1460.85,5
6,7270,7614,930,1533,344,603,136431,0,136431,1.0,7420.0,1222.8,7417.0,1222.72,6
7,5830,6134,986,1508,304,522,90543,0,90543,1.0,5960.66,1260.38,5957.59,1260.22,7
8,6863,7703,996,1960,840,964,389361,0,389361,1.0,7243.51,1529.4,7240.22,1529.0,8
9,7528,7919,1209,1791,391,582,143692,0,143692,1.0,7717.42,1462.93,7714.37,1463.46,9
10,6100,6497,1281,1955,397,674,121127,0,121127,1.0,6288.04,1651.49,6284.42,1650.88,10
11,8479,8570,1286,1455,91,169,10045,0,10045,1.0,8530.06,1376.85,8527.11,1376.66,11
12,8170,9727,1401,3583,1557,2182,1566524,8111,1558413,0.9948222944557504,8965.79,2415.03,8962.57,2415.58,12
13,7425,7552,1407,1565,127,158,8643,0,8643,1.0,7506.38,1478.21,7503.12,1478.93,13
14,5738,6172,1431,1766,434,335,100261,755,99506,0.9924696542025314,5943.55,1596.08,5940.6,1596.33,14
15,5408,5793,1474,1915,385,441,85228,907,84321,0.9893579574787629,5629.66,1673.18,5626.72,1673.56,15
16,6170,6272,1546,1628,102,82,4730,0,4730,1.0,6225.46,1582.89,6222.36,1582.97,16
17,7533,8082,1651,2405,549,754,258703,0,258703,1.0,7840.57,2033.76,7837.38,2033.9,17
18,5448,6267,1680,2490,819,810,393053,321,392732,0.999183316244883,5889.34,2075.39,5886.18,2075.58,18
19,9308,10202,1759,3220,894,1461,581878,0,581878,1.0,9763.24,2412.55,9760.3,2412.53,19
20,6155,6722,1834,2705,567,871,254877,4030,250847,0.9841884516845381,6450.2,2297.29,6446.83,2296.99,20
21,6983,7567,1856,2922,584,1066,356430,0,356430,1.0,7300.71,2332.3,7297.46,2333.01,21
22,8361,8517,1885,2005,156,120,7403,415,6988,0.943941645278941,8446.85,1948.6,8443.63,1948.78,22
23,6198,6382,1929,2088,184,159,18958,0,18958,1.0,6282.18,2003.26,6279.2,2003.57,23
24,9205,9544,1972,2351,339,379,72853,4871,67982,0.9331393353739722,9372.1,2158.63,9368.78,2158.59,24
25,10063,10502,1974,2525,439,551,164311,0,164311,1.0,10292.5,2262.8,10289.26,2262.88,25
26,7373,7984,2081,3142,611,1061,318059,3990,314069,0.9874551576908687,7667.96,2615.18,7664.51,2615.56,26
27,10426,10718,2199,2796,292,597,102846,0,102846,1.0,10608.58,2430.66,10605.07,2431.16,28
28,7947,8399,2239,2623,452,384,97391,0,97391,1.0,8178.41,2429.56,8175.2,2429.79,29
29,5745,6372,2244,3235,627,991,371001,72,370929,0.999805930442236,6075.79,2715.27,6072.7,2716.04,30
30,4978,5232,2274,2520,254,246,41437,402,41035,0.9902985254724039,5107.32,2414.19,5104.18,2414.39,31
31,6513,7012,2279,2860,499,581,162446,0,162446,1.0,6799.78,2578.93,6796.32,2578.95,32
32,8315,8849,2353,2880,534,527,193612,0,193612,1.0,8574.54,2600.4,8571.55,2600.82,33
33,7918,7992,2371,2460,74,89,3257,0,3257,1.0,7962.13,2412.17,7959.12,2412.5,34
34,4873,4954,2382,2453,81,71,3443,547,2896,0.8411269241940168,4911.76,2421.26,4908.52,2421.54,35
35,9778,10242,2386,2976,464,590,181629,230,181399,0.9987336823965336,9999.53,2641.25,9996.5,2641.53,36
36,5405,5859,2409,3063,454,654,175911,0,175911,1.0,5618.98,2721.09,5615.9,2721.05,37
37,5165,5502,2471,2993,337,522,89725,0,89725,1.0,5365.87,2690.52,5362.59,2690.98,38
38,9920,10718,2486,3619,798,1133,510335,0,510335,1.0,10296.33,3026.76,10293.15,3027.15,39
39,4898,5187,2491,2628,289,137,22036,0,22036,1.0,5047.66,2559.82,5044.37,2560.03,40
40,7686,8412,2536,3630,726,1094,431280,949,430331,0.9977995733630124,8039.64,3015.25,8036.45,3015.86,41
41,6838,7409,2594,3350,571,756,287993,0,287993,1.0,7156.8,2944.49,7153.68,2944.64,42
42,6213,7327,2606,4000,1114,1394,818597,4178,814419,0.994896145478178,6728.27,3334.25,6724.82,3334.26,43
43,7758,7867,2746,2823,109,77,5599,0,5599,1.0,7818.75,2783.81,7815.64,2784.11,44
44,3776,4302,2789,3185,526,396,127231,355,126876,0.9972097994985499,4057.73,2981.15,4054.39,2981.21,46
45,10680,10718,2789,2949,38,160,4820,0,4820,1.0,10704.74,2866.36,10701.31,2865.77,45
46,8188,8723,2806,3295,535,489,178481,0,178481,1.0,8476.28,3065.69,8473.31,3065.85,47
47,5433,6069,2916,3535,636,619,262437,0,262437,1.0,5768.33,3209.42,5765.12,3209.75,48
48,3483,3908,2991,3555,425,564,121159,5264,115895,0.9565529593344283,3735.7,3219.74,3732.55,3220.39,49
49,7258,7892,3016,3780,634,764,315033,174,314859,0.999447676910038,7564.14,3417.95,7561.03,3418.05,50
50,10378,10718,3019,3581,340,562,153424,0,153424,1.0,10565.41,3301.77,10561.77,3301.94,51
51,3453,5317,3091,4760,1864,1669,1530751,332,1530419,0.9997831129948633,4394.7,3901.8,4391.59,3901.77,52
52,9385,10154,3096,3830,769,734,307120,0,307120,1.0,9764.4,3462.3,9761.3,3462.44,53
53,5823,6519,3131,3930,696,799,298847,0,298847,1.0,6163.78,3534.97,6160.57,3535.2,54
54,9463,9532,3174,3270,69,96,3596,0,3596,1.0,9495.15,3213.09,9492.07,3213.08,55
55,8028,8597,3186,3770,569,584,195999,0,195999,1.0,8325.3,3495.26,8322.0,3495.35,56
56,4291,10718,3196,11435,6427,8239,20092308,268185,19824123,0.986652354722016,7883.6,7422.69,7879.4,7422.35,57
57,9878,9952,3240,3368,74,128,6051,0,6051,1.0,9923.91,3308.96,9920.72,3309.3,58
58,6323,6422,3271,3380,99,109,5575,33,5542,0.9940807174887892,6369.41,3329.9,6366.38,3329.85,59
59,3200,3802,3326,3743,602,417,112801,5740,107061,0.9491139262949797,3518.56,3542.18,3515.04,3542.39,60
60,3628,3639,3327,3340,11,13,96,0,96,1.0,3735.7,3219.74,3633.94,3332.55,2000
61,5186,5889,3351,3870,703,519,230128,0,230128,1.0,5519.55,3621.18,5516.29,3621.4,61
62,10115,10522,3369,4118,407,749,132502,0,132502,1.0,10332.59,3759.3,10329.11,3760.0,62
63,4628,4867,3429,3793,239,364,42516,0,42516,1.0,4756.07,3598.3,4752.79,3598.6,63
64,4628,4702,3466,3508,74,42,1829,0,1829,1.0,4667.24,3483.26,4664.45,3483.14,64
65,9143,9590,3477,4070,447,593,165833,0,165833,1.0,9353.16,3773.54,9350.02,3773.75,65
66,10165,10718,3529,4405,553,876,237309,4077,233232,0.9828198677673413,10516.26,3982.18,10512.71,3982.62,66
67,7543,8262,3539,3979,719,440,151987,919,151068,0.9939534302275852,7901.73,3763.52,7898.89,3763.61,67
68,10683,10718,3574,3655,35,81,2113,0,2113,1.0,10706.86,3610.49,10703.35,3610.22,68
69,10100,10247,3593,3758,147,165,13885,0,13885,1.0,10185.33,3665.52,10181.89,3665.92,69
70,8446,8532,3645,3745,86,100,4864,0,4864,1.0,8495.46,3700.32,8492.32,3700.07,70
71,9401,10272,3646,4155,871,509,222012,0,222012,1.0,9788.48,3904.54,9785.92,3904.81,71
72,2998,3923,3716,4970,925,1254,604659,5594,599065,0.990748504528999,3379.84,4269.45,3376.86,4270.27,72
73,5070,6392,3746,4710,1322,964,765706,955,764751,0.9987527850114796,5637.94,4259.31,5635.73,4259.63,73
74,6310,6420,3751,3850,110,99,5970,0,5970,1.0,6371.65,3804.76,6368.72,3804.69,74
75,5793,6497,3791,4160,704,369,102084,0,102084,1.0,6229.61,3945.46,6225.21,3946.38,75
76,9868,10417,3966,4550,549,584,170405,0,170405,1.0,10129.35,4251.58,10126.09,4251.62,76
77,9153,9657,3979,4490,504,511,134019,0,134019,1.0,9404.77,4220.89,9401.32,4221.1,77
78,9498,10222,4064,4678,724,614,204923,0,204923,1.0,9838.15,4392.03,9835.08,4392.08,78
79,10350,10718,4082,4696,368,614,122521,0,122521,1.0,10590.44,4433.77,10586.63,4434.03,79
80,4618,5117,4121,4900,499,779,160258,174,160084,0.9989142507706323,4868.92,4493.27,4865.82,4493.65,80
81,3443,4242,4130,4853,799,723,321983,3663,318320,0.9886236229863067,3826.52,4536.21,3823.33,4536.42,81
82,2598,2868,4316,4674,270,358,50495,456,50039,0.9909694029111793,2742.53,4492.4,2739.1,4491.86,82
83,9268,9557,4341,4740,289,399,50541,0,50541,1.0,9423.82,4562.88,9420.39,4563.09,83
84,4983,5082,4404,4475,99,71,4186,1034,3152,0.7529861442904922,5031.75,4435.69,5028.75,4435.78,84
85,5803,5924,4416,4650,121,234,11300,0,11300,1.0,5866.03,4522.26,5862.43,4522.87,85
86,4753,5239,4426,5103,486,677,165167,7536,157631,0.9543734523240115,5024.62,4768.69,5021.55,4768.86,86
87,9446,10084,4501,4890,638,389,142739,0,142739,1.0,9742.95,4679.68,9739.88,4680.01,87
88,10073,10669,4511,4853,596,342,97700,0,97700,1.0,10326.71,4667.47,10323.81,4667.75,88
89,2628,3124,4539,5075,496,536,167649,1219,166430,0.9927288561220168,2882.22,4822.59,2879.18,4822.97,89
90,5458,5822,4615,4872,364,257,50524,0,50524,1.0,5658.0,4756.18,5654.92,4756.02,90
91,4296,4939,4636,5328,643,692,254573,0,254573,1.0,4615.68,4991.99,4612.56,4992.36,91
92,10656,10718,4659,4780,62,121,4964,0,4964,1.0,10698.04,4717.34,10694.67,4717.69,92
93,3745,4523,4706,5563,778,857,373306,0,373306,1.0,4125.23,5150.31,4121.87,5150.2,94
94,9898,10309,4706,5258,411,552,79881,957,78924,0.9880196792729184,10141.67,4995.69,10138.49,4995.56,93
95,3341,3994,4716,5237,653,521,197318,270,197048,0.9986316504322971,3672.53,4972.88,3669.43,4972.59,95
96,5778,5802,4716,4747,24,31,439,0,439,1.0,5658.0,4756.18,5788.9,4731.39,2001
97,10243,10718,4729,5290,475,561,173506,664,172842,0.9961730430071583,10503.91,4958.08,10500.38,4958.45,97
98,5718,5934,4746,5220,216,474,52703,0,52703,1.0,5827.71,4976.42,5824.92,4978.74,96
99,9688,10227,4759,4989,539,230,68002,0,68002,1.0,9986.84,4867.96,9983.48,4867.97,98
100,2988,3464,4809,5428,476,619,175652,0,175652,1.0,3209.22,5106.77,3206.45,5106.86,99
101,2333,2702,4826,5250,369,424,87924,0,87924,1.0,2502.66,5056.4,2499.66,5056.16,100
102,8468,8594,4849,4963,126,114,7459,1731,5728,0.7679313580908969,8537.5,4902.58,8533.8,4902.7,101
103,8333,8429,4863,4973,96,110,7403,438,6965,0.9408347967040389,8383.74,4918.19,8380.55,4918.38,102
104,8425,8469,4864,4898,44,34,1179,608,571,0.48430873621713316,8447.96,4880.35,8444.49,4880.7,103
105,8418,8524,4885,4955,106,70,4263,2884,1379,0.32348111658456485,8467.54,4921.47,8464.09,4921.58,104
106,8258,8347,4894,4975,89,81,4520,0,4520,1.0,8306.63,4932.55,8303.42,4932.3,105
107,8181,8290,4926,5041,109,115,5657,396,5261,0.9299982322785929,8240.61,4980.81,8236.93,4981.38,107
108,8550,8662,4926,5061,112,135,6863,0,6863,1.0,8608.79,4997.57,8605.2,4997.16,106
109,8423,8532,4934,5065,109,131,7647,0,7647,1.0,8487.81,4989.15,8484.84,4989.3,108
110,8343,8492,4951,5091,149,140,11180,66,11114,0.9940966010733453,8426.97,5028.72,8423.58,5028.71,109
111,8520,8573,4955,5025,53,70,2291,0,2291,1.0,8544.69,4989.5,8541.13,4989.82,110
112,8216,8399,4964,5080,183,116,13169,0,13169,1.0,8310.85,5027.25,8307.73,5027.28,111
113,4555,5844,4986,5930,1289,944,553717,658,553059,0.9988116673318681,5179.38,5461.7,5175.75,5462.2,112
114,8503,8588,5000,5090,85,90,3837,0,3837,1.0,8552.25,5046.57,8549.38,5046.31,113
115,2388,3122,5009,5488,734,479,193441,0,193441,1.0,2778.52,5254.93,2775.19,5255.2,114
116,8133,8183,5014,5065,50,51,1647,540,1107,0.6721311475409836,8158.97,5038.28,8155.61,5038.59,115
117,8626,8702,5024,5120,76,96,5373,0,5373,1.0,8669.08,5069.38,8665.89,5068.99,116
118,8068,8199,5035,5178,131,143,11874,1107,10767,0.9067710965133906,8136.06,5110.64,8133.26,5110.63,117
119,8168,8347,5039,5250,179,211,18606,100,18506,0.9946253896592497,8255.25,5132.66,8251.8,5132.86,118
120,8470,8697,5045,5216,227,171,18480,0,18480,1.0,8599.65,5124.72,8596.53,5124.58,119
121,10095,10424,5063,5360,329,297,55947,816,55131,0.9854147675478578,10278.02,5200.0,10274.7,5200.11,121
