total_number,cyto_number,nuclei_number,ratio,gene
45,45,0,1.0,BAC45727
54,54,0,1.0,BAC46169
517,506,11,0.9787234042553191,BAC47034
32,32,0,1.0,BAC47856
37,36,1,0.972972972972973,BAC48395
32,32,0,1.0,BAC51072
19,0,19,0.0,BAC51722
72,71,1,0.9861111111111112,BAC52602
28,26,2,0.9285714285714286,BAC52793
103,101,2,0.9805825242718447,BAC52805
13354,11933,1421,0.8935899355998203,CYP93A1
3353,3132,221,0.9340888756337609,G4DT
3697,2989,708,0.8084933730051393,GLYMA_01G019200
129,99,30,0.7674418604651163,GLYMA_01G156200
115,70,45,0.6086956521739131,GLYMA_01G164600
114,102,12,0.8947368421052632,GLYMA_01G187400
2763,2237,526,0.8096272167933406,GLYMA_02G003700
317,190,127,0.5993690851735016,GLYMA_02G149100
19,0,19,0.0,GLYMA_02G201100
11862,11481,381,0.9678806272129489,GLYMA_03G029900
406,314,92,0.7733990147783252,GLYMA_03G079500
38,38,0,1.0,GLYMA_04G010600
1946,1800,146,0.9249743062692704,GLYMA_04G063800
49,35,14,0.7142857142857143,GLYMA_04G208400
193,165,28,0.8549222797927462,GLYMA_04G227200
2914,2029,885,0.6962937542896362,GLYMA_05G023700
180435,167306,13129,0.9272369551361986,GLYMA_05G092200
464,414,50,0.8922413793103449,GLYMA_05G203100
64310,61257,3053,0.9525268232001244,GLYMA_05G216000
430,282,148,0.6558139534883721,GLYMA_06G002000
3519,3265,254,0.9278204035237283,GLYMA_06G065000
740,618,122,0.8351351351351352,GLYMA_06G090100
40002,38304,1698,0.9575521223938803,GLYMA_06G168300
2109,2026,83,0.9606448553816975,GLYMA_06G235500
169,108,61,0.6390532544378699,GLYMA_06G256000
213,150,63,0.704225352112676,GLYMA_06G259400
232,66,166,0.28448275862068967,GLYMA_06G294200
17,0,17,0.0,GLYMA_06G318000
285,145,140,0.5087719298245614,GLYMA_07G006500
28,28,0,1.0,GLYMA_07G130800
69,68,1,0.9855072463768116,GLYMA_07G231500
2686,2515,171,0.9363365599404319,GLYMA_08G011100
33,26,7,0.7878787878787878,GLYMA_08G021700
6505,4389,2116,0.6747117601844734,GLYMA_08G125800
286,131,155,0.458041958041958,GLYMA_08G314900
25,25,0,1.0,GLYMA_09G013100
283,162,121,0.5724381625441696,GLYMA_09G099900
374,320,54,0.8556149732620321,GLYMA_09G127000
276,145,131,0.5253623188405797,GLYMA_09G150000
245,206,39,0.8408163265306122,GLYMA_09G160400
3040,2361,679,0.7766447368421052,GLYMA_09G216800
18,17,1,0.9444444444444444,GLYMA_10G028200
21,21,0,1.0,GLYMA_10G028300
5951,4381,1570,0.7361787934800874,GLYMA_10G070200
565,528,37,0.9345132743362832,GLYMA_10G125000
452,405,47,0.8960176991150443,GLYMA_10G139200
1102,1002,100,0.9092558983666061,GLYMA_10G229400
45393,37612,7781,0.8285859053157976,GLYMA_11G008000
835,696,139,0.8335329341317366,GLYMA_11G078300
279,149,130,0.5340501792114696,GLYMA_11G221200
30,30,0,1.0,GLYMA_11G235600
299,234,65,0.782608695652174,GLYMA_11G243100
5735,5185,550,0.9040976460331299,GLYMA_12G027400
87,77,10,0.8850574712643678,GLYMA_12G154300
3,0,3,0.0,GLYMA_13G046800
128,122,6,0.953125,GLYMA_13G091600
336,241,95,0.7172619047619048,GLYMA_13G261000
739,694,45,0.939106901217862,GLYMA_13G334500
36,23,13,0.6388888888888888,GLYMA_14G204500
176,118,58,0.6704545454545454,GLYMA_14G218700
964,656,308,0.6804979253112033,GLYMA_15G008500
676,638,38,0.9437869822485208,GLYMA_15G040000
42621,41047,1574,0.9630698481968982,GLYMA_15G169100
667,621,46,0.9310344827586207,GLYMA_15G179500
605,517,88,0.8545454545454545,GLYMA_15G210100
627,398,229,0.6347687400318979,GLYMA_15G245800
99,68,31,0.6868686868686869,GLYMA_15G274200
464,431,33,0.9288793103448276,GLYMA_16G039800
903,216,687,0.23920265780730898,GLYMA_16G106800
3602,3331,271,0.924764019988895,GLYMA_16G165900
150,144,6,0.96,GLYMA_17G068700
43,43,0,1.0,GLYMA_17G133100
288,229,59,0.7951388888888888,GLYMA_17G180400
184,175,9,0.9510869565217391,GLYMA_17G185600
1765,1687,78,0.9558073654390935,GLYMA_17G185800
81,78,3,0.9629629629629629,GLYMA_17G195900
327,294,33,0.8990825688073395,GLYMA_17G235000
263,239,24,0.908745247148289,GLYMA_18G043200
107,96,11,0.897196261682243,GLYMA_18G062100
316,251,65,0.7943037974683544,GLYMA_18G153100
1401,1227,174,0.8758029978586723,GLYMA_18G197400
523,511,12,0.9770554493307839,GLYMA_19G096100
268,161,107,0.6007462686567164,GLYMA_19G255500
83,63,20,0.7590361445783133,GLYMA_20G054000
163,87,76,0.5337423312883436,GLYMA_20G061300
202,174,28,0.8613861386138614,GLYMA_20G135300
84,79,5,0.9404761904761905,GLYMA_20G151700
