ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
1,0,10720,0,15008,10720,15008,63611800,183821,63427979,0.9971102688494902,7209.57,7213.38,7206.54,7213.6,1
2,2342,2616,904,1231,274,327,55578,0,55578,1.0,2495.5,1067.27,2494.58,1067.25,2
3,2062,3026,958,1812,964,854,396202,1322,394880,0.9966633182063694,2524.64,1392.12,2524.47,1391.38,3
4,2978,3266,1129,1519,288,390,71653,0,71653,1.0,3136.52,1323.29,3136.09,1323.34,4
5,3326,3517,1162,1302,191,140,10179,0,10179,1.0,3405.3,1228.34,3405.74,1228.59,5
6,913,1600,1230,1617,687,387,149310,0,149310,1.0,1279.1,1412.47,1277.3,1411.84,7
7,3240,3649,1231,1571,409,340,91722,0,91722,1.0,3413.01,1408.53,3412.58,1408.01,8
8,1840,2180,1279,1574,340,295,58600,0,58600,1.0,2010.57,1427.71,2010.27,1426.93,9
9,2493,2861,1367,1695,368,328,75559,2829,72730,0.9625590598075676,2651.45,1532.94,2650.98,1532.37,10
10,1008,1404,1409,1865,396,456,110679,4236,106443,0.9617271569132356,1192.44,1642.16,1192.06,1641.65,11
11,2720,3447,1433,2382,727,949,337824,0,337824,1.0,3013.08,1889.56,3013.24,1889.96,12
12,3127,3577,1455,2077,450,622,157666,3675,153991,0.9766912333667372,3313.19,1780.98,3312.59,1779.96,14
13,3892,4010,1466,1559,118,93,6469,0,6469,1.0,3948.85,1517.54,3948.4,1516.98,15
14,3856,4130,1494,1769,274,275,44836,0,44836,1.0,3996.78,1643.91,3995.75,1642.96,16
15,561,1168,1520,2333,607,813,213744,1140,212604,0.9946665169548619,867.32,1973.21,866.94,1971.91,18
16,1735,2250,1538,2058,515,520,165906,0,165906,1.0,1952.18,1802.86,1951.88,1802.51,19
17,1361,1607,1587,1773,246,186,18983,0,18983,1.0,1453.88,1676.69,1454.26,1675.85,20
18,1373,1789,1632,2033,416,401,114302,0,114302,1.0,1590.83,1839.69,1590.48,1839.24,21
19,2372,2833,1663,2105,461,442,131445,0,131445,1.0,2598.24,1887.9,2597.91,1887.53,22
20,3348,3714,1724,2157,366,433,86038,4726,81312,0.9450707826774216,3545.86,1923.87,3545.18,1923.72,23
21,3632,4279,1726,2722,647,996,370716,0,370716,1.0,3961.62,2246.46,3961.16,2245.66,24
22,878,1452,1734,2701,574,967,322923,0,322923,1.0,1173.78,2237.29,1173.4,2236.45,25
23,5631,5848,1781,2165,217,384,40705,71,40634,0.9982557425377717,5727.1,1964.33,5726.49,1964.18,26
24,1776,2607,1797,2529,831,732,348225,0,348225,1.0,2178.89,2189.37,2178.51,2188.81,27
25,5249,5532,1843,2159,283,316,49133,6,49127,0.9998778824822421,5384.77,2008.71,5384.15,2008.25,28
26,4675,5278,1937,2805,603,868,275756,2675,273081,0.9902993951174226,4994.3,2407.58,4994.01,2406.61,29
27,1330,1854,1986,2464,524,478,171019,0,171019,1.0,1583.04,2196.83,1582.59,2196.47,30
28,286,697,1988,2429,411,441,99193,0,99193,1.0,519.79,2214.23,519.07,2213.67,31
29,1819,1887,2007,2101,68,94,2609,0,2609,1.0,1858.12,2052.48,1857.26,2051.68,32
30,5398,5674,2009,2317,276,308,58131,0,58131,1.0,5537.82,2167.16,5537.34,2166.68,33
31,3388,3826,2010,2496,438,486,95844,0,95844,1.0,3639.79,2246.53,3639.08,2246.01,34
32,5578,5909,2022,2375,331,353,58377,2877,55500,0.9507168919266149,5768.93,2191.58,5768.2,2191.35,35
33,2479,2954,2053,2524,475,471,121224,0,121224,1.0,2725.73,2271.99,2725.25,2271.74,36
34,5873,6368,2057,2435,495,378,107018,4681,102337,0.9562596946308097,6097.22,2231.4,6097.42,2230.96,37
35,5138,5460,2093,2601,322,508,103430,0,103430,1.0,5300.68,2358.7,5300.06,2358.17,38
36,2889,2943,2163,2274,54,111,3901,0,3901,1.0,2914.32,2217.98,2913.95,2217.74,39
37,0,979,2188,2886,979,698,368648,0,368648,1.0,411.43,2524.11,411.82,2523.39,40
38,2790,3395,2189,3052,605,863,255322,0,255322,1.0,3046.9,2624.85,3047.11,2623.87,41
39,628,743,2191,2336,115,145,6035,0,6035,1.0,699.45,2280.01,698.31,2278.99,42
40,3153,3819,2239,2876,666,637,260320,0,260320,1.0,3450.56,2556.28,3450.21,2555.91,43
41,6160,6415,2261,2744,255,483,52283,0,52283,1.0,6301.19,2463.68,6300.79,2464.36,44
42,5647,6106,2264,2919,459,655,207960,6532,201428,0.9685901134833622,5874.79,2619.27,5874.29,2618.76,45
43,5365,5732,2289,2748,367,459,122879,0,122879,1.0,5562.74,2514.89,5562.17,2514.55,46
44,2322,2891,2302,2754,569,452,152533,1947,150586,0.9872355490287348,2583.76,2550.55,2583.34,2549.8,47
45,1292,2047,2331,3081,755,750,300006,0,300006,1.0,1618.91,2649.07,1618.53,2648.81,48
46,2849,2897,2365,2442,48,77,2544,0,2544,1.0,2872.92,2404.01,2872.41,2403.63,49
47,6028,6312,2393,2779,284,386,64117,0,64117,1.0,6161.22,2578.98,6160.62,2578.77,50
48,6417,7089,2431,3391,672,960,367499,6557,360942,0.9821577745789785,6797.54,2952.3,6796.95,2951.76,51
49,6354,6746,2445,2926,392,481,138965,0,138965,1.0,6555.75,2679.65,6555.15,2679.2,52
50,1853,2856,2468,3293,1003,825,374991,0,374991,1.0,2259.02,2858.59,2259.74,2858.95,53
51,646,1112,2512,2927,466,415,99607,3930,95677,0.9605449416205688,864.7,2686.99,864.21,2686.86,54
52,7052,7423,2512,2897,371,385,60503,0,60503,1.0,7220.25,2716.8,7220.28,2716.94,55
53,5006,5442,2555,3014,436,459,129596,225,129371,0.9982638353035588,5236.88,2796.17,5236.29,2795.78,56
54,0,219,2570,2949,219,379,47095,0,47095,1.0,84.72,2804.48,84.85,2803.82,57
55,3452,4003,2618,3139,551,521,172659,0,172659,1.0,3782.54,2880.48,3781.49,2879.8,58
56,3958,4537,2641,3159,579,518,174551,0,174551,1.0,4212.6,2915.02,4212.42,2914.41,59
57,823,1476,2652,3272,653,620,269710,2101,267609,0.9922101516443588,1142.84,2985.61,1142.56,2984.98,60
58,139,438,2671,3227,299,556,95870,0,95870,1.0,277.32,2958.02,276.73,2957.14,61
59,6029,6605,2679,3751,576,1072,336174,0,336174,1.0,6309.18,3197.02,6308.63,3196.38,62
60,3970,4096,2688,2792,126,104,5616,0,5616,1.0,4041.65,2737.64,4040.54,2736.84,63
61,5280,6189,2714,3709,909,995,442043,0,442043,1.0,5738.92,3209.26,5738.36,3208.34,64
62,2474,2920,2725,3231,446,506,136263,0,136263,1.0,2707.96,2953.18,2707.45,2952.86,65
63,6327,6364,2731,2783,37,52,1186,0,1186,1.0,6346.01,2758.07,6345.65,2757.53,66
64,6944,7231,2770,3065,287,295,52493,52,52441,0.999009391728421,7092.94,2916.62,7092.6,2916.33,67
65,364,885,2797,3289,521,492,168162,0,168162,1.0,640.47,3027.68,639.63,3027.16,68
66,3136,3772,2823,3595,636,772,300802,0,300802,1.0,3423.29,3163.18,3422.95,3162.78,69
67,7181,7466,2823,3171,285,348,68783,4355,64428,0.9366849366849367,7319.19,3004.54,7318.64,3003.76,70
68,1379,1986,2833,3518,607,685,263223,0,263223,1.0,1717.97,3171.12,1717.29,3170.73,71
69,5580,6073,2871,3109,493,238,68112,0,68112,1.0,5844.74,2977.79,5843.9,2977.35,72
70,0,519,2905,4263,519,1358,439753,1736,438017,0.9960523293758087,193.43,3681.5,193.67,3680.54,73
