ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,number_nuclei,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
1,0,15008,0,10720,15008,10720,91578755,259484,91319271,0.997166548071111,0,8018.98,5854.09,8018.43,5850.8,1
2,4383,4896,0,599,513,599,183209,0,183209,1.0,0,4623.62,277.23,4623.01,277.0,2
3,4848,5020,0,144,172,144,12764,0,12764,1.0,0,4917.68,49.01,4916.85,49.81,3
4,4830,5411,0,488,581,488,196168,5941,190227,0.9697147343093675,0,5121.9,225.67,5121.47,225.64,4
5,5307,5779,0,301,472,301,93459,0,93459,1.0,0,5518.18,125.15,5517.58,125.33,5
6,5680,6171,0,434,491,434,110081,0,110081,1.0,0,5915.84,167.85,5915.34,167.97,6
7,6033,6497,0,210,464,210,64123,0,64123,1.0,0,6273.79,89.46,6272.95,89.58,7
8,6141,6741,0,818,600,818,253893,1155,252738,0.9954508395268873,1,6467.68,435.02,6466.97,434.89,8
9,6669,7260,0,208,591,208,92599,0,92599,1.0,0,6962.27,83.9,6961.52,84.04,9
10,8094,8794,0,285,700,285,121766,0,121766,1.0,0,8428.06,100.02,8427.61,100.41,10
11,8700,9215,0,660,515,660,170442,0,170442,1.0,0,8919.31,331.57,8919.17,331.77,11
12,8861,9236,0,73,375,73,17379,0,17379,1.0,0,9052.95,26.14,9052.19,26.31,12
13,9018,9443,0,548,425,548,160703,0,160703,1.0,0,9214.98,243.79,9214.49,243.81,13
14,9394,9896,0,286,502,286,103868,0,103868,1.0,0,9623.64,121.48,9623.01,121.9,14
15,9844,9942,0,66,98,66,3384,0,3384,1.0,0,9897.01,28.73,9895.86,28.88,15
16,9622,10511,0,726,889,726,371443,0,371443,1.0,0,10044.15,303.71,10043.09,304.21,16
17,10721,11151,0,200,430,200,45494,0,45494,1.0,0,10947.34,65.28,10946.88,65.61,17
18,11109,11720,0,318,611,318,105399,0,105399,1.0,0,11471.15,108.41,11470.36,108.7,18
19,11695,12459,0,418,764,418,156287,0,156287,1.0,0,12084.01,174.1,12083.86,174.47,19
20,12049,12286,0,84,237,84,9115,0,9115,1.0,0,12182.6,24.93,12181.86,25.16,20
21,10849,11445,63,813,596,750,316983,0,316983,1.0,0,11154.61,438.93,11154.11,438.49,21
22,11382,11832,109,559,450,450,88986,0,88986,1.0,0,11597.86,348.99,11597.52,348.45,22
23,5843,6395,135,692,552,557,143700,19,143681,0.9998677800974252,0,6117.63,387.4,6116.97,386.88,23
24,6607,7011,139,507,404,368,94472,0,94472,1.0,0,6801.98,303.32,6801.71,303.27,24
25,8403,8801,140,559,398,419,100254,0,100254,1.0,0,8627.03,334.42,8626.52,333.8,25
26,8150,8548,174,616,398,442,95953,2218,93735,0.9768845163778099,1,8339.91,403.05,8339.23,402.16,26
27,12576,12680,178,279,104,101,3815,0,3815,1.0,0,12626.57,231.14,12625.93,231.03,27
28,5428,5893,183,455,465,272,69644,0,69644,1.0,0,5711.17,322.85,5709.8,322.46,28
29,11629,12152,191,744,523,553,194585,0,194585,1.0,0,11907.28,459.92,11906.69,459.52,29
30,3987,4409,218,586,422,368,108881,0,108881,1.0,0,4208.57,395.43,4208.12,394.74,31
31,9165,9741,220,1128,576,908,296912,1828,295084,0.9938432936358248,1,9479.48,633.21,9478.96,632.85,32
32,12504,12804,250,693,300,443,66726,0,66726,1.0,0,12650.81,447.53,12650.35,448.07,33
33,5388,5449,282,331,61,49,1786,0,1786,1.0,0,5418.93,308.08,5418.4,307.66,34
34,10137,10647,291,931,510,640,168422,0,168422,1.0,0,10364.83,661.92,10364.31,660.71,35
35,4442,5008,322,829,566,507,104330,4687,99643,0.9550752420205119,0,4689.04,566.05,4688.79,565.58,36
36,5221,5604,323,506,383,183,47753,0,47753,1.0,0,5418.07,419.15,5417.66,418.66,37
37,2591,2983,331,621,392,290,67243,0,67243,1.0,0,2767.23,489.74,2766.74,489.14,38
38,3949,4014,350,437,65,87,3386,0,3386,1.0,0,3986.86,396.04,3986.34,395.42,39
39,12076,12616,370,784,540,414,142384,0,142384,1.0,0,12324.37,565.59,12324.05,564.94,40
40,3663,4138,389,809,475,420,111115,0,111115,1.0,0,3928.71,622.44,3927.78,622.02,41
41,5066,5880,413,791,814,378,159049,0,159049,1.0,0,5463.41,581.66,5462.87,580.99,42
42,3183,3317,433,548,134,115,6808,0,6808,1.0,0,3256.58,499.78,3256.02,499.5,43
43,4613,5119,436,835,506,399,101892,3696,98196,0.9637262984336357,0,4881.51,639.58,4880.75,639.25,44
44,6625,7049,446,776,424,330,79916,362,79554,0.9954702437559437,0,6828.9,607.09,6828.45,606.7,45
45,7922,8092,465,567,170,102,10402,0,10402,1.0,0,8011.29,523.48,8010.5,522.93,46
46,8484,8699,467,649,215,182,24071,0,24071,1.0,0,8593.45,565.7,8592.81,565.46,47
47,2929,3427,479,834,498,355,98276,0,98276,1.0,0,3200.01,644.56,3199.26,643.94,48
48,12742,12812,489,574,70,85,3087,0,3087,1.0,0,12778.12,529.63,12777.69,529.33,49
49,11258,11815,491,1132,557,641,226305,0,226305,1.0,0,11534.76,811.54,11534.04,811.22,51
50,3494,3752,492,741,258,249,29457,0,29457,1.0,0,3628.38,615.17,3627.79,614.76,50
51,4110,4431,500,752,321,252,48371,0,48371,1.0,0,4274.57,634.37,4274.05,633.75,52
52,5889,6242,502,916,353,414,70564,1244,69320,0.9823706139107761,0,6065.97,709.16,6065.34,709.02,53
53,5547,6074,537,1249,527,712,215440,3059,212381,0.985801151132566,1,5787.41,904.74,5787.47,904.04,54
54,4159,4528,547,958,369,411,57279,0,57279,1.0,0,4352.07,788.34,4351.91,786.94,55
55,9590,10180,554,1148,590,594,203386,0,203386,1.0,0,9872.52,851.12,9872.48,850.29,56
56,2561,3233,572,1217,672,645,222545,1290,221255,0.9942034195331282,1,2879.11,851.26,2878.35,850.71,57
57,12265,12661,599,1122,396,523,115821,0,115821,1.0,0,12475.06,871.06,12474.58,870.43,58
58,2038,2720,609,1249,682,640,237770,62,237708,0.9997392438070404,0,2364.64,962.48,2364.4,961.61,59
59,4893,5376,613,1299,483,686,208745,0,208745,1.0,0,5131.87,948.1,5131.67,948.0,60
60,3435,3812,663,1169,377,506,100451,0,100451,1.0,0,3613.66,901.96,3613.09,901.73,61
61,11677,12327,668,1192,650,524,215879,0,215879,1.0,0,11994.14,934.45,11993.7,933.86,62
62,3697,4228,685,1149,531,464,122732,0,122732,1.0,0,3968.45,915.22,3968.0,914.74,63
63,5813,5906,690,755,93,65,2889,0,2889,1.0,0,5852.46,715.63,5852.11,715.31,64
64,5275,5595,694,1293,320,599,107324,0,107324,1.0,0,5433.89,982.22,5433.46,981.45,65
65,3228,3574,705,993,346,288,41556,0,41556,1.0,0,3425.68,837.44,3424.75,837.09,66
66,10897,11367,739,1292,470,553,166272,0,166272,1.0,0,11139.43,1039.24,11138.89,1038.46,67
67,6012,6271,747,1023,259,276,34344,1,34343,0.999970882832518,0,6142.94,877.42,6142.4,877.21,68
68,5311,5421,760,837,110,77,5016,0,5016,1.0,0,5358.9,799.25,5358.61,798.8,69
69,4340,5008,769,1398,668,629,222658,0,222658,1.0,0,4725.84,1044.72,4724.66,1044.41,70
70,9785,10304,827,1230,519,403,92864,0,92864,1.0,0,10074.18,1030.23,10073.34,1030.26,71
71,2893,3505,853,1560,612,707,257326,0,257326,1.0,0,3234.43,1189.25,3233.82,1188.8,72
72,3358,4762,905,2179,1404,1274,1001869,0,1001869,1.0,0,3989.81,1483.72,3990.04,1483.13,73
73,11271,11948,1002,1675,677,673,260842,0,260842,1.0,0,11579.06,1338.85,11578.72,1338.28,74
74,5450,5666,1010,1259,216,249,25138,0,25138,1.0,0,5569.38,1136.17,5568.43,1136.15,75
75,2151,3218,1065,1876,1067,811,485652,0,485652,1.0,0,2638.11,1433.29,2637.92,1432.99,76
76,5234,5797,1127,1579,563,452,104153,3738,100415,0.9641104912964581,2,5518.08,1347.5,5517.43,1346.94,77
77,1789,2218,1152,1525,429,373,87723,0,87723,1.0,0,2021.38,1327.8,2021.11,1327.46,79
78,4927,5319,1205,1707,392,502,98267,0,98267,1.0,0,5092.17,1411.44,5091.71,1410.94,80
79,4737,5048,1271,1819,311,548,83955,0,83955,1.0,0,4897.98,1544.39,4897.63,1543.48,81
80,13371,13607,1275,1528,236,253,35319,0,35319,1.0,0,13476.6,1381.5,13475.92,1381.09,82
81,7657,7922,1277,1562,265,285,32356,1399,30957,0.9567622697490419,0,7781.48,1399.24,7781.51,1399.52,83
