total_number,cyto_number,nuclei_number,ratio,gene
46,45,1,0.9782608695652174,BAC45727
28,28,0,1.0,BAC46169
399,395,4,0.9899749373433584,BAC47034
18,18,0,1.0,BAC47856
20,0,20,0.0,BAC48395
22,22,0,1.0,BAC51072
13,0,13,0.0,BAC51722
60,60,0,1.0,BAC52602
28,27,1,0.9642857142857143,BAC52793
74,74,0,1.0,BAC52805
15873,15565,308,0.9805959805959806,CYP93A1
3350,3325,25,0.9925373134328358,G4DT
5474,5244,230,0.957983193277311,GLYMA_01G019200
129,129,0,1.0,GLYMA_01G156200
103,91,12,0.883495145631068,GLYMA_01G164600
40,37,3,0.925,GLYMA_01G187400
3707,3409,298,0.9196115457243054,GLYMA_02G003700
299,226,73,0.7558528428093646,GLYMA_02G149100
10,10,0,1.0,GLYMA_02G201100
14198,13844,354,0.9750669108325116,GLYMA_03G029900
232,223,9,0.9612068965517241,GLYMA_03G079500
26,0,26,0.0,GLYMA_04G010600
1999,1956,43,0.9784892446223111,GLYMA_04G063800
39,39,0,1.0,GLYMA_04G208400
148,142,6,0.9594594594594594,GLYMA_04G227200
3690,3218,472,0.8720867208672086,GLYMA_05G023700
216980,210979,6001,0.9723430730942944,GLYMA_05G092200
637,564,73,0.8854003139717426,GLYMA_05G203100
63076,60728,2348,0.9627750650009512,GLYMA_05G216000
504,400,104,0.7936507936507936,GLYMA_06G002000
3798,3730,68,0.9820958399157451,GLYMA_06G065000
883,835,48,0.9456398640996603,GLYMA_06G090100
54974,54133,841,0.9847018590606469,GLYMA_06G168300
3064,3041,23,0.9924934725848564,GLYMA_06G235500
206,102,104,0.49514563106796117,GLYMA_06G256000
227,204,23,0.8986784140969163,GLYMA_06G259400
267,192,75,0.7191011235955056,GLYMA_06G294200
8,0,8,0.0,GLYMA_06G318000
221,107,114,0.4841628959276018,GLYMA_07G006500
17,17,0,1.0,GLYMA_07G130800
59,54,5,0.9152542372881356,GLYMA_07G231500
3094,2924,170,0.945054945054945,GLYMA_08G011100
24,22,2,0.9166666666666666,GLYMA_08G021700
8328,6329,1999,0.7599663784822286,GLYMA_08G125800
235,124,111,0.5276595744680851,GLYMA_08G314900
20,0,20,0.0,GLYMA_09G013100
369,322,47,0.8726287262872628,GLYMA_09G099900
534,494,40,0.9250936329588015,GLYMA_09G127000
313,265,48,0.8466453674121406,GLYMA_09G150000
281,230,51,0.8185053380782918,GLYMA_09G160400
3730,3574,156,0.9581769436997319,GLYMA_09G216800
6,0,6,0.0,GLYMA_10G028200
16,16,0,1.0,GLYMA_10G028300
4781,4488,293,0.938715749843129,GLYMA_10G070200
672,643,29,0.9568452380952381,GLYMA_10G125000
700,637,63,0.91,GLYMA_10G139200
1177,1160,17,0.9855564995751912,GLYMA_10G229400
59053,53665,5388,0.9087599275227338,GLYMA_11G008000
578,538,40,0.9307958477508651,GLYMA_11G078300
271,216,55,0.7970479704797048,GLYMA_11G221200
19,18,1,0.9473684210526315,GLYMA_11G235600
395,302,93,0.7645569620253164,GLYMA_11G243100
6846,6584,262,0.9617294770669004,GLYMA_12G027400
97,78,19,0.8041237113402062,GLYMA_12G154300
9,0,9,0.0,GLYMA_13G046800
145,136,9,0.9379310344827586,GLYMA_13G091600
416,350,66,0.8413461538461539,GLYMA_13G261000
862,850,12,0.9860788863109049,GLYMA_13G334500
26,21,5,0.8076923076923077,GLYMA_14G204500
163,122,41,0.7484662576687117,GLYMA_14G218700
1277,844,433,0.6609240407204385,GLYMA_15G008500
838,832,6,0.9928400954653938,GLYMA_15G040000
66978,66409,569,0.9915046731762668,GLYMA_15G169100
686,674,12,0.9825072886297376,GLYMA_15G179500
643,489,154,0.76049766718507,GLYMA_15G210100
856,701,155,0.8189252336448598,GLYMA_15G245800
74,52,22,0.7027027027027027,GLYMA_15G274200
559,535,24,0.9570661896243292,GLYMA_16G039800
614,211,403,0.34364820846905536,GLYMA_16G106800
4560,4303,257,0.943640350877193,GLYMA_16G165900
140,134,6,0.9571428571428572,GLYMA_17G068700
30,30,0,1.0,GLYMA_17G133100
383,340,43,0.8877284595300261,GLYMA_17G180400
239,238,1,0.99581589958159,GLYMA_17G185600
2072,2048,24,0.9884169884169884,GLYMA_17G185800
53,51,2,0.9622641509433962,GLYMA_17G195900
331,313,18,0.945619335347432,GLYMA_17G235000
283,276,7,0.9752650176678446,GLYMA_18G043200
90,85,5,0.9444444444444444,GLYMA_18G062100
354,326,28,0.9209039548022598,GLYMA_18G153100
1406,1389,17,0.9879089615931721,GLYMA_18G197400
514,511,3,0.9941634241245136,GLYMA_19G096100
228,224,4,0.9824561403508771,GLYMA_19G255500
84,84,0,1.0,GLYMA_20G054000
138,131,7,0.9492753623188406,GLYMA_20G061300
27,27,0,1.0,GLYMA_20G135300
70,69,1,0.9857142857142858,GLYMA_20G151700
